사용월,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
202201,9호선2~3단계,둔촌오륜,301,293,594
202201,9호선2~3단계,봉은사,6418,6599,13017
202201,9호선2~3단계,삼성중앙,1369,1342,2711
202201,9호선2~3단계,삼전,2776,2658,5434
202201,9호선2~3단계,석촌,3312,2852,6164
202201,9호선2~3단계,석촌고분,2375,2318,4693
202201,9호선2~3단계,선정릉,1905,2062,3967
202201,9호선2~3단계,송파나루,2349,2546,4895
202201,9호선2~3단계,언주,2197,2177,4374
202201,9호선2~3단계,올림픽공원,5633,5455,11088
202201,9호선2~3단계,종합운동장,1485,1472,2957
202201,9호선2~3단계,중앙보훈병원,2192,2310,4502
202201,9호선2~3단계,한성백제,931,822,1753
202201,9호선2~3단계,둔촌오륜,350,392,742
202201,9호선2~3단계,봉은사,5861,6141,12002
202201,9호선2~3단계,삼성중앙,1491,1670,3161
202201,9호선2~3단계,삼전,2926,3136,6062
202201,9호선2~3단계,석촌,3756,3520,7276
202201,9호선2~3단계,석촌고분,2520,2735,5255
202201,9호선2~3단계,선정릉,2156,2523,4679
202201,9호선2~3단계,송파나루,2618,2984,5602
202201,9호선2~3단계,언주,2613,2890,5503
202201,9호선2~3단계,올림픽공원,4392,4333,8725
202201,9호선2~3단계,종합운동장,1651,1751,3402
202201,9호선2~3단계,중앙보훈병원,2746,2709,5455
202201,9호선2~3단계,한성백제,1049,1079,2128
202201,9호선2~3단계,둔촌오륜,515,503,1018
202201,9호선2~3단계,봉은사,10003,10604,20607
202201,9호선2~3단계,삼성중앙,2892,2939,5831
202201,9호선2~3단계,삼전,4666,4439,9105
202201,9호선2~3단계,석촌,6232,5191,11423
202201,9호선2~3단계,석촌고분,3960,3947,7907
202201,9호선2~3단계,선정릉,4286,4756,9042
202201,9호선2~3단계,송파나루,4038,4355,8393
202201,9호선2~3단계,언주,6150,6102,12252
202201,9호선2~3단계,올림픽공원,5353,5273,10626
202201,9호선2~3단계,종합운동장,2869,2618,5487
202201,9호선2~3단계,중앙보훈병원,4210,3915,8125
202201,9호선2~3단계,한성백제,1684,1441,3125
202201,9호선2~3단계,둔촌오륜,433,454,887
202201,9호선2~3단계,봉은사,7333,7496,14829
202201,9호선2~3단계,삼성중앙,1732,1836,3568
202201,9호선2~3단계,삼전,3293,3228,6521
202201,9호선2~3단계,석촌,4468,3915,8383
202201,9호선2~3단계,석촌고분,2762,2812,5574
202201,9호선2~3단계,선정릉,2663,3034,5697
202201,9호선2~3단계,송파나루,2968,3216,6184
202201,9호선2~3단계,언주,3596,3593,7189
202201,9호선2~3단계,올림픽공원,4372,4281,8653
202201,9호선2~3단계,종합운동장,2227,2009,4236
202201,9호선2~3단계,중앙보훈병원,2981,2858,5839
202201,9호선2~3단계,한성백제,1203,1131,2334
202201,9호선2~3단계,둔촌오륜,511,558,1069
202201,9호선2~3단계,봉은사,9878,10558,20436
202201,9호선2~3단계,삼성중앙,2982,3053,6035
202201,9호선2~3단계,삼전,4735,4520,9255
202201,9호선2~3단계,석촌,6175,5199,11374
202201,9호선2~3단계,석촌고분,4154,4022,8176
202201,9호선2~3단계,선정릉,4373,4860,9233
202201,9호선2~3단계,송파나루,4074,4467,8541
202201,9호선2~3단계,언주,6203,6173,12376
202201,9호선2~3단계,올림픽공원,3415,3411,6826
202201,9호선2~3단계,종합운동장,2730,2656,5386
202201,9호선2~3단계,중앙보훈병원,4360,4120,8480
202201,9호선2~3단계,한성백제,1622,1394,3016
202201,9호선2~3단계,둔촌오륜,443,467,910
202201,9호선2~3단계,봉은사,7590,7345,14935
202201,9호선2~3단계,삼성중앙,1827,2021,3848
202201,9호선2~3단계,삼전,3391,3372,6763
202201,9호선2~3단계,석촌,4274,3719,7993
202201,9호선2~3단계,석촌고분,2807,2960,5767
202201,9호선2~3단계,선정릉,2778,3016,5794
202201,9호선2~3단계,송파나루,3062,3250,6312
202201,9호선2~3단계,언주,3767,3787,7554
202201,9호선2~3단계,올림픽공원,2603,2771,5374
202201,9호선2~3단계,종합운동장,2027,1854,3881
202201,9호선2~3단계,중앙보훈병원,3083,3000,6083
202201,9호선2~3단계,한성백제,1210,1083,2293
202201,9호선2~3단계,둔촌오륜,599,636,1235
202201,9호선2~3단계,봉은사,12248,13094,25342
202201,9호선2~3단계,삼성중앙,2921,3160,6081
202201,9호선2~3단계,삼전,4905,4607,9512
202201,9호선2~3단계,석촌,6472,5585,12057
202201,9호선2~3단계,석촌고분,4166,4056,8222
202201,9호선2~3단계,선정릉,4602,5143,9745
202201,9호선2~3단계,송파나루,4097,4368,8465
202201,9호선2~3단계,언주,6014,6172,12186
202201,9호선2~3단계,올림픽공원,5832,5730,11562
202201,9호선2~3단계,종합운동장,3065,2700,5765
202201,9호선2~3단계,중앙보훈병원,4434,4212,8646
202201,9호선2~3단계,한성백제,1634,1420,3054
202201,9호선2~3단계,둔촌오륜,480,474,954
202201,9호선2~3단계,봉은사,7946,8186,16132
202201,9호선2~3단계,삼성중앙,1731,1852,3583
202201,9호선2~3단계,삼전,3493,3376,6869
202201,9호선2~3단계,석촌,4541,3906,8447
202201,9호선2~3단계,석촌고분,2894,2859,5753
202201,9호선2~3단계,선정릉,2757,3059,5816
202201,9호선2~3단계,송파나루,3061,3378,6439
202201,9호선2~3단계,언주,3593,3674,7267
202201,9호선2~3단계,올림픽공원,4157,4230,8387
202201,9호선2~3단계,종합운동장,1954,1817,3771
202201,9호선2~3단계,중앙보훈병원,3153,3071,6224
202201,9호선2~3단계,한성백제,1221,1178,2399
202201,9호선2~3단계,둔촌오륜,477,461,938
202201,9호선2~3단계,봉은사,7093,7178,14271
202201,9호선2~3단계,삼성중앙,2348,2275,4623
202201,9호선2~3단계,삼전,4314,3753,8067
202201,9호선2~3단계,석촌,5211,4265,9476
202201,9호선2~3단계,석촌고분,3607,3210,6817
202201,9호선2~3단계,선정릉,3381,3468,6849
202201,9호선2~3단계,송파나루,3460,3455,6915
202201,9호선2~3단계,언주,4010,3707,7717
202201,9호선2~3단계,올림픽공원,4638,4335,8973
202201,9호선2~3단계,종합운동장,2378,2203,4581
202201,9호선2~3단계,중앙보훈병원,3365,3136,6501
202201,9호선2~3단계,한성백제,1462,1096,2558
