사용월,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
202201,경강선,경기광주,2922,3062,5984
202201,경강선,곤지암,1251,1182,2433
202201,경강선,부발,1223,1233,2456
202201,경강선,삼동,749,681,1430
202201,경강선,세종대왕릉,161,195,356
202201,경강선,신둔도예촌,589,579,1168
202201,경강선,여주,1329,1328,2657
202201,경강선,이매,519,317,836
202201,경강선,이천,1644,1720,3364
202201,경강선,초월,1169,1135,2304
202201,경강선,판교,1427,1260,2687
202201,경강선,경기광주,3581,3390,6971
202201,경강선,곤지암,1333,1454,2787
202201,경강선,부발,1652,2166,3818
202201,경강선,삼동,918,922,1840
202201,경강선,세종대왕릉,223,198,421
202201,경강선,신둔도예촌,817,710,1527
202201,경강선,여주,1918,1566,3484
202201,경강선,이매,563,449,1012
202201,경강선,이천,1957,2065,4022
202201,경강선,초월,1415,1415,2830
202201,경강선,판교,2469,2330,4799
202201,경강선,경기광주,5003,4825,9828
202201,경강선,곤지암,1697,1654,3351
202201,경강선,부발,2077,1757,3834
202201,경강선,삼동,1310,1314,2624
202201,경강선,세종대왕릉,240,286,526
202201,경강선,신둔도예촌,1037,988,2025
202201,경강선,여주,1906,1918,3824
202201,경강선,이매,731,574,1305
202201,경강선,이천,2547,2515,5062
202201,경강선,초월,2056,1966,4022
202201,경강선,판교,2884,2867,5751
202201,경강선,경기광주,3637,3541,7178
202201,경강선,곤지암,1414,1369,2783
202201,경강선,부발,1472,2087,3559
202201,경강선,삼동,961,932,1893
202201,경강선,세종대왕릉,210,214,424
202201,경강선,신둔도예촌,787,760,1547
202201,경강선,여주,1678,1528,3206
202201,경강선,이매,593,393,986
202201,경강선,이천,1841,2034,3875
202201,경강선,초월,1408,1483,2891
202201,경강선,판교,2485,2385,4870
202201,경강선,경기광주,5029,4777,9806
202201,경강선,곤지암,1886,1801,3687
202201,경강선,부발,2104,1701,3805
202201,경강선,삼동,1371,1344,2715
202201,경강선,세종대왕릉,271,331,602
202201,경강선,신둔도예촌,1071,987,2058
202201,경강선,여주,1907,1989,3896
202201,경강선,이매,750,562,1312
202201,경강선,이천,2480,2620,5100
202201,경강선,초월,2111,1945,4056
202201,경강선,판교,2858,2853,5711
202201,경강선,경기광주,3587,3551,7138
202201,경강선,곤지암,1429,1445,2874
202201,경강선,부발,1435,2054,3489
202201,경강선,삼동,982,1033,2015
202201,경강선,세종대왕릉,203,209,412
202201,경강선,신둔도예촌,756,741,1497
202201,경강선,여주,1661,1450,3111
202201,경강선,이매,545,420,965
202201,경강선,이천,1923,2053,3976
202201,경강선,초월,1465,1510,2975
202201,경강선,판교,2395,2225,4620
202201,경강선,경기광주,5086,4886,9972
202201,경강선,곤지암,1788,1722,3510
202201,경강선,부발,2024,1676,3700
202201,경강선,삼동,1486,1370,2856
202201,경강선,세종대왕릉,267,289,556
202201,경강선,신둔도예촌,1059,999,2058
202201,경강선,여주,1773,1879,3652
202201,경강선,이매,738,567,1305
202201,경강선,이천,2595,2599,5194
202201,경강선,초월,2121,1885,4006
202201,경강선,판교,2906,2783,5689
202201,경강선,경기광주,3585,3615,7200
202201,경강선,곤지암,1367,1390,2757
202201,경강선,부발,1389,1913,3302
202201,경강선,삼동,999,939,1938
202201,경강선,세종대왕릉,205,196,401
202201,경강선,신둔도예촌,798,757,1555
202201,경강선,여주,1693,1587,3280
202201,경강선,이매,619,410,1029
202201,경강선,이천,1779,1964,3743
202201,경강선,초월,1468,1445,2913
202201,경강선,판교,2329,2269,4598
202201,경강선,경기광주,4397,4301,8698
202201,경강선,곤지암,1664,1619,3283
202201,경강선,부발,1515,1465,2980
202201,경강선,삼동,1229,1187,2416
202201,경강선,세종대왕릉,189,239,428
202201,경강선,신둔도예촌,869,922,1791
202201,경강선,여주,1561,2048,3609
202201,경강선,이매,742,482,1224
202201,경강선,이천,2198,2371,4569
202201,경강선,초월,1789,1745,3534
202201,경강선,판교,2664,2415,5079
202201,경강선,경기광주,3144,3329,6473
202201,경강선,곤지암,1517,1493,3010
202201,경강선,부발,1145,1205,2350
202201,경강선,삼동,879,818,1697
202201,경강선,세종대왕릉,207,271,478
202201,경강선,신둔도예촌,626,706,1332
202201,경강선,여주,1433,1859,3292
202201,경강선,이매,601,366,967
202201,경강선,이천,1672,1974,3646
202201,경강선,초월,1301,1260,2561
202201,경강선,판교,2083,1946,4029
202202,경강선,경기광주,4272,4145,8417
202202,경강선,곤지암,1486,1429,2915
202202,경강선,부발,1517,1361,2878
202202,경강선,삼동,1239,1131,2370
202202,경강선,세종대왕릉,174,177,351
202202,경강선,신둔도예촌,835,803,1638
202202,경강선,여주,1526,1609,3135
202202,경강선,이매,656,499,1155
202202,경강선,이천,2021,2054,4075
202202,경강선,초월,1776,1648,3424
202202,경강선,판교,2506,2494,5000
202202,경강선,경기광주,2928,3082,6010
202202,경강선,곤지암,1214,1265,2479
202202,경강선,부발,1057,1717,2774
202202,경강선,삼동,865,869,1734
202202,경강선,세종대왕릉,154,140,294
202202,경강선,신둔도예촌,624,641,1265
202202,경강선,여주,1341,1266,2607
202202,경강선,이매,502,350,852
202202,경강선,이천,1504,1687,3191
202202,경강선,초월,1239,1230,2469
202202,경강선,판교,2071,1837,3908
202202,경강선,경기광주,4720,4512,9232
202202,경강선,곤지암,1734,1703,3437
202202,경강선,부발,1822,1500,3322
202202,경강선,삼동,1342,1320,2662
202202,경강선,세종대왕릉,249,289,538
202202,경강선,신둔도예촌,966,940,1906
202202,경강선,여주,1693,1782,3475
202202,경강선,이매,721,565,1286
202202,경강선,이천,2370,2496,4866
202202,경강선,초월,1987,1863,3850
202202,경강선,판교,2735,2699,5434
202202,경강선,경기광주,3343,3354,6697
202202,경강선,곤지암,1304,1499,2803
202202,경강선,부발,1279,1939,3218
202202,경강선,삼동,856,881,1737
202202,경강선,세종대왕릉,216,214,430
202202,경강선,신둔도예촌,731,700,1431
202202,경강선,여주,1600,1485,3085
202202,경강선,이매,568,389,957
202202,경강선,이천,1771,1858,3629
202202,경강선,초월,1319,1391,2710
202202,경강선,판교,2150,2104,4254
202202,경강선,경기광주,4567,4470,9037
202202,경강선,곤지암,1589,1660,3249
202202,경강선,부발,1779,1483,3262
202202,경강선,삼동,1283,1268,2551
202202,경강선,세종대왕릉,212,242,454
202202,경강선,신둔도예촌,928,878,1806
202202,경강선,여주,1694,1807,3501
202202,경강선,이매,651,509,1160
202202,경강선,이천,2267,2257,4524
202202,경강선,초월,1936,1796,3732
202202,경강선,판교,2822,2670,5492
202202,경강선,경기광주,3134,3171,6305
202202,경강선,곤지암,1283,1318,2601
202202,경강선,부발,1129,1764,2893
202202,경강선,삼동,829,855,1684
202202,경강선,세종대왕릉,185,180,365
202202,경강선,신둔도예촌,666,645,1311
202202,경강선,여주,1516,1392,2908
202202,경강선,이매,522,376,898
202202,경강선,이천,1545,1774,3319
202202,경강선,초월,1305,1289,2594
202202,경강선,판교,2028,1965,3993
202202,경강선,경기광주,4289,4091,8380
202202,경강선,곤지암,1497,1662,3159
202202,경강선,부발,1761,1405,3166
202202,경강선,삼동,1232,1174,2406
202202,경강선,세종대왕릉,250,235,485
202202,경강선,신둔도예촌,925,907,1832
202202,경강선,여주,1626,1872,3498
202202,경강선,이매,646,488,1134
202202,경강선,이천,2154,2190,4344
202202,경강선,초월,1862,1758,3620
202202,경강선,판교,2610,2483,5093
202202,경강선,경기광주,3229,3147,6376
202202,경강선,곤지암,1317,1298,2615
202202,경강선,부발,1166,1625,2791
202202,경강선,삼동,944,911,1855
202202,경강선,세종대왕릉,247,228,475
202202,경강선,신둔도예촌,699,693,1392
202202,경강선,여주,1560,1569,3129
202202,경강선,이매,535,404,939
202202,경강선,이천,1732,1882,3614
202202,경강선,초월,1285,1281,2566
202202,경강선,판교,2142,1997,4139
202203,경강선,경기광주,4453,4209,8662
202203,경강선,곤지암,1463,1494,2957
202203,경강선,부발,1777,1426,3203
202203,경강선,삼동,1212,1182,2394
202203,경강선,세종대왕릉,226,248,474
202203,경강선,신둔도예촌,933,876,1809
202203,경강선,여주,1890,2103,3993
202203,경강선,이매,660,522,1182
202203,경강선,이천,2126,2237,4363
202203,경강선,초월,1890,1672,3562
202203,경강선,판교,2588,2528,5116
202203,경강선,경기광주,3142,3082,6224
202203,경강선,곤지암,1141,1305,2446
202203,경강선,부발,1141,1740,2881
202203,경강선,삼동,891,881,1772
202203,경강선,세종대왕릉,216,205,421
202203,경강선,신둔도예촌,694,726,1420
202203,경강선,여주,1564,1463,3027
202203,경강선,이매,539,438,977
202203,경강선,이천,1540,1755,3295
