사용월,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
202201,경부선,가산디지털단지,3643,5070,8713
202201,경부선,관악,3254,3061,6315
202201,경부선,광명,1527,1276,2803
202201,경부선,구로,7339,7617,14956
202201,경부선,군포,2476,2230,4706
202201,경부선,금정,10218,10393,20611
202201,경부선,금천구청,4596,4650,9246
202201,경부선,남영,3089,3046,6135
202201,경부선,노량진,5028,4908,9936
202201,경부선,당정,2205,2137,4342
202201,경부선,대방,4284,4259,8543
202201,경부선,독산,4704,4655,9359
202201,경부선,두정,2964,2944,5908
202201,경부선,명학,2482,2353,4835
202201,경부선,병점,7334,7617,14951
202201,경부선,서동탄,502,526,1028
202201,경부선,서울,3983,1105,5088
202201,경부선,서정리,3572,3493,7065
202201,경부선,석수,3675,3478,7153
202201,경부선,성균관대,5914,6247,12161
202201,경부선,성환,1878,1795,3673
202201,경부선,세류,1498,1549,3047
202201,경부선,세마,1243,1182,2425
202201,경부선,송탄,2889,2713,5602
202201,경부선,수원,24644,25858,50502
202201,경부선,신길,3252,2893,6145
202201,경부선,신도림,1490,1275,2765
202201,경부선,안양,10329,10440,20769
202201,경부선,영등포,24257,24411,48668
202201,경부선,오산,6174,6117,12291
202201,경부선,오산대,1757,1558,3315
202201,경부선,용산,22345,22394,44739
202201,경부선,의왕,3292,3300,6592
202201,경부선,직산,395,364,759
202201,경부선,진위,627,568,1195
202201,경부선,천안,3883,4082,7965
202201,경부선,평택,8433,8221,16654
202201,경부선,평택지제,1715,1621,3336
202201,경부선,화서,2910,2947,5857
202201,경부선,가산디지털단지,3867,5643,9510
202201,경부선,관악,3757,3347,7104
202201,경부선,광명,2595,1546,4141
202201,경부선,구로,7787,7701,15488
202201,경부선,군포,2443,2453,4896
202201,경부선,금정,11130,11646,22776
202201,경부선,금천구청,5324,5153,10477
202201,경부선,남영,3803,4235,8038
202201,경부선,노량진,4725,4806,9531
202201,경부선,당정,2616,2553,5169
202201,경부선,대방,4796,5467,10263
202201,경부선,독산,4949,5259,10208
202201,경부선,두정,3286,3617,6903
202201,경부선,명학,2575,2598,5173
202201,경부선,병점,7829,8665,16494
202201,경부선,서동탄,649,679,1328
202201,경부선,서울,8276,1456,9732
202201,경부선,서정리,3595,5927,9522
202201,경부선,석수,4205,4071,8276
202201,경부선,성균관대,6249,6931,13180
202201,경부선,성환,1798,2287,4085
202201,경부선,세류,1703,1653,3356
202201,경부선,세마,1408,1381,2789
202201,경부선,송탄,2976,3876,6852
202201,경부선,수원,30134,28307,58441
202201,경부선,신길,3700,3570,7270
202201,경부선,신도림,1692,1663,3355
202201,경부선,안양,11263,10822,22085
202201,경부선,영등포,29293,28250,57543
202201,경부선,오산,6742,7507,14249
202201,경부선,오산대,1728,1681,3409
202201,경부선,용산,31414,24205,55619
202201,경부선,의왕,3474,3592,7066
202201,경부선,직산,479,543,1022
202201,경부선,진위,742,709,1451
202201,경부선,천안,5021,4792,9813
202201,경부선,평택,9807,10202,20009
202201,경부선,평택지제,2340,2132,4472
202201,경부선,화서,3259,3126,6385
202201,경부선,가산디지털단지,5682,7715,13397
202201,경부선,관악,5526,5209,10735
202201,경부선,광명,2323,2138,4461
202201,경부선,구로,11896,12113,24009
202201,경부선,군포,3976,3665,7641
202201,경부선,금정,17076,17248,34324
202201,경부선,금천구청,7673,7592,15265
202201,경부선,남영,5237,5389,10626
202201,경부선,노량진,7562,6941,14503
202201,경부선,당정,3711,3584,7295
202201,경부선,대방,7166,7152,14318
202201,경부선,독산,8499,8428,16927
202201,경부선,두정,4607,4661,9268
202201,경부선,명학,4943,4790,9733
202201,경부선,병점,11415,11201,22616
202201,경부선,서동탄,954,919,1873
202201,경부선,서울,5739,1763,7502
202201,경부선,서정리,6187,5181,11368
202201,경부선,석수,6183,5861,12044
202201,경부선,성균관대,9566,9626,19192
202201,경부선,성환,2369,2243,4612
202201,경부선,세류,2257,2333,4590
202201,경부선,세마,2062,1896,3958
202201,경부선,송탄,4177,3937,8114
202201,경부선,수원,34497,37024,71521
202201,경부선,신길,5640,4742,10382
202201,경부선,신도림,3024,2759,5783
202201,경부선,안양,16471,16321,32792
202201,경부선,영등포,37213,38603,75816
202201,경부선,오산,8635,8215,16850
202201,경부선,오산대,2544,2275,4819
202201,경부선,용산,30336,31646,61982
202201,경부선,의왕,5800,5531,11331
202201,경부선,직산,554,558,1112
202201,경부선,진위,961,804,1765
202201,경부선,천안,5226,5339,10565
202201,경부선,평택,11611,11144,22755
202201,경부선,평택지제,2770,2586,5356
202201,경부선,화서,4787,4890,9677
202201,경부선,가산디지털단지,4089,5640,9729
202201,경부선,관악,4210,3921,8131
202201,경부선,광명,2197,1610,3807
