사용월,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
202201,경인선,간석,2500,2449,4949
202201,경인선,개봉,8815,9030,17845
202201,경인선,구일,2408,2385,4793
202201,경인선,도원,1306,1401,2707
202201,경인선,도화,1894,1826,3720
202201,경인선,동암,7406,7824,15230
202201,경인선,동인천,7494,7323,14817
202201,경인선,백운,3037,3105,6142
202201,경인선,부개,3717,3559,7276
202201,경인선,부천,18252,18977,37229
202201,경인선,부평,19542,21240,40782
202201,경인선,소사,3831,3896,7727
202201,경인선,송내,9835,9716,19551
202201,경인선,역곡,11594,11696,23290
202201,경인선,오류동,5400,5191,10591
202201,경인선,온수,2784,2648,5432
202201,경인선,인천,3511,2837,6348
202201,경인선,제물포,4285,4358,8643
202201,경인선,주안,9520,8463,17983
202201,경인선,중동,3811,3747,7558
202201,경인선,간석,2806,2670,5476
202201,경인선,개봉,9742,9885,19627
202201,경인선,구일,2605,2624,5229
202201,경인선,도원,1322,1328,2650
202201,경인선,도화,2108,1959,4067
202201,경인선,동암,8331,8074,16405
202201,경인선,동인천,8117,7665,15782
202201,경인선,백운,3332,3209,6541
202201,경인선,부개,4052,3840,7892
202201,경인선,부천,19755,19126,38881
202201,경인선,부평,20403,20198,40601
202201,경인선,소사,4246,3986,8232
202201,경인선,송내,10961,10437,21398
202201,경인선,역곡,12503,12243,24746
202201,경인선,오류동,6108,5888,11996
202201,경인선,온수,3014,2883,5897
202201,경인선,인천,3053,2451,5504
202201,경인선,제물포,4641,4373,9014
202201,경인선,주안,9878,8635,18513
202201,경인선,중동,4264,3989,8253
202201,경인선,간석,4002,3826,7828
202201,경인선,개봉,14884,14603,29487
202201,경인선,구일,4140,3977,8117
202201,경인선,도원,1691,1813,3504
202201,경인선,도화,2938,2705,5643
202201,경인선,동암,11086,11694,22780
202201,경인선,동인천,10645,10412,21057
202201,경인선,백운,4666,4631,9297
202201,경인선,부개,5788,5309,11097
202201,경인선,부천,26735,27345,54080
202201,경인선,부평,26712,28883,55595
202201,경인선,소사,6376,6234,12610
202201,경인선,송내,16584,16472,33056
202201,경인선,역곡,18468,18177,36645
202201,경인선,오류동,8385,7829,16214
