사용월,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
202201,경춘선,가평,1183,1126,2309
202201,경춘선,갈매,996,977,1973
202201,경춘선,강촌,304,319,623
202201,경춘선,굴봉산,118,122,240
202201,경춘선,금곡,643,614,1257
202201,경춘선,김유정,207,200,407
202201,경춘선,남춘천,1573,1664,3237
202201,경춘선,대성리,391,247,638
202201,경춘선,마석,1805,1841,3646
202201,경춘선,백양리,326,255,581
202201,경춘선,별내,1348,1285,2633
202201,경춘선,사릉,1227,1256,2483
202201,경춘선,상천,151,146,297
202201,경춘선,신내,652,648,1300
202201,경춘선,천마산,800,805,1605
202201,경춘선,청평,1089,1001,2090
202201,경춘선,춘천,976,904,1880
202201,경춘선,퇴계원,1457,1421,2878
202201,경춘선,평내호평,2636,2550,5186
202201,경춘선,가평,1277,955,2232
202201,경춘선,갈매,1167,1047,2214
202201,경춘선,강촌,409,343,752
202201,경춘선,굴봉산,120,164,284
202201,경춘선,금곡,704,667,1371
202201,경춘선,김유정,292,243,535
202201,경춘선,남춘천,2315,2209,4524
202201,경춘선,대성리,359,239,598
202201,경춘선,마석,1994,1943,3937
202201,경춘선,백양리,234,167,401
202201,경춘선,별내,1547,1514,3061
202201,경춘선,사릉,1329,1356,2685
202201,경춘선,상천,256,182,438
202201,경춘선,신내,715,735,1450
202201,경춘선,천마산,927,917,1844
202201,경춘선,청평,1144,966,2110
202201,경춘선,춘천,1174,952,2126
202201,경춘선,퇴계원,1729,1499,3228
202201,경춘선,평내호평,2856,2644,5500
202201,경춘선,가평,1287,1337,2624
202201,경춘선,갈매,1871,1587,3458
202201,경춘선,강촌,413,430,843
202201,경춘선,굴봉산,142,196,338
202201,경춘선,금곡,1072,931,2003
202201,경춘선,김유정,299,342,641
202201,경춘선,남춘천,2137,2323,4460
202201,경춘선,대성리,407,368,775
202201,경춘선,마석,3028,3065,6093
202201,경춘선,백양리,366,309,675
202201,경춘선,별내,2261,2158,4419
202201,경춘선,사릉,2027,1975,4002
202201,경춘선,상천,256,213,469
202201,경춘선,신내,1119,1126,2245
202201,경춘선,천마산,1239,1252,2491
202201,경춘선,청평,1278,1331,2609
202201,경춘선,춘천,1239,1130,2369
202201,경춘선,퇴계원,2366,2181,4547
202201,경춘선,평내호평,4127,3954,8081
202201,경춘선,가평,1163,1055,2218
202201,경춘선,갈매,1293,1139,2432
202201,경춘선,강촌,455,407,862
202201,경춘선,굴봉산,126,142,268
202201,경춘선,금곡,719,692,1411
202201,경춘선,김유정,300,305,605
202201,경춘선,남춘천,1805,1870,3675
202201,경춘선,대성리,420,299,719
202201,경춘선,마석,2042,2007,4049
202201,경춘선,백양리,303,256,559
202201,경춘선,별내,1702,1547,3249
202201,경춘선,사릉,1375,1369,2744
202201,경춘선,상천,279,233,512
202201,경춘선,신내,772,798,1570
202201,경춘선,천마산,928,922,1850
202201,경춘선,청평,1167,1035,2202
202201,경춘선,춘천,1087,929,2016
202201,경춘선,퇴계원,1765,1577,3342
202201,경춘선,평내호평,3028,2865,5893
202201,경춘선,가평,1302,1358,2660
202201,경춘선,갈매,1831,1523,3354
202201,경춘선,강촌,374,465,839
202201,경춘선,굴봉산,182,224,406
202201,경춘선,금곡,1015,926,1941
202201,경춘선,김유정,369,382,751
202201,경춘선,남춘천,2268,2289,4557
202201,경춘선,대성리,344,332,676
202201,경춘선,마석,2654,2646,5300
202201,경춘선,백양리,397,309,706
202201,경춘선,별내,2163,2089,4252
202201,경춘선,사릉,1985,1927,3912
202201,경춘선,상천,208,206,414
202201,경춘선,신내,1049,1012,2061
202201,경춘선,천마산,1193,1211,2404
202201,경춘선,청평,1180,1381,2561
202201,경춘선,춘천,1249,1185,2434
202201,경춘선,퇴계원,2380,2202,4582
202201,경춘선,평내호평,4183,3964,8147
202201,경춘선,가평,1311,1118,2429
202201,경춘선,갈매,1228,1118,2346
202201,경춘선,강촌,466,402,868
202201,경춘선,굴봉산,179,152,331
202201,경춘선,금곡,772,670,1442
202201,경춘선,김유정,364,362,726
202201,경춘선,남춘천,1971,1990,3961
202201,경춘선,대성리,349,283,632
202201,경춘선,마석,2148,2014,4162
202201,경춘선,백양리,365,277,642
202201,경춘선,별내,1614,1639,3253
202201,경춘선,사릉,1464,1394,2858
202201,경춘선,상천,295,181,476
202201,경춘선,신내,771,797,1568
202201,경춘선,천마산,959,900,1859
202201,경춘선,청평,1238,991,2229
202201,경춘선,춘천,1233,1009,2242
202201,경춘선,퇴계원,1752,1693,3445
202201,경춘선,평내호평,3132,2941,6073
202201,경춘선,가평,1270,1478,2748
202201,경춘선,갈매,1929,1626,3555
202201,경춘선,강촌,473,529,1002
202201,경춘선,굴봉산,141,169,310
202201,경춘선,금곡,1014,998,2012
202201,경춘선,김유정,352,400,752
202201,경춘선,남춘천,2854,2905,5759
202201,경춘선,대성리,402,422,824
202201,경춘선,마석,2897,2761,5658
202201,경춘선,백양리,411,388,799
202201,경춘선,별내,2279,2203,4482
202201,경춘선,사릉,2099,1915,4014
202201,경춘선,상천,232,213,445
202201,경춘선,신내,1100,1050,2150
202201,경춘선,천마산,1286,1250,2536
202201,경춘선,청평,1297,1465,2762
202201,경춘선,춘천,1187,1185,2372
202201,경춘선,퇴계원,2509,2191,4700
202201,경춘선,평내호평,4200,3973,8173
202201,경춘선,가평,1351,1163,2514
202201,경춘선,갈매,1409,1201,2610
202201,경춘선,강촌,497,373,870
202201,경춘선,굴봉산,174,187,361
202201,경춘선,금곡,818,796,1614
202201,경춘선,김유정,345,347,692
202201,경춘선,남춘천,1934,1923,3857
202201,경춘선,대성리,432,346,778
202201,경춘선,마석,2604,2614,5218
202201,경춘선,백양리,301,262,563
202201,경춘선,별내,1779,1691,3470
202201,경춘선,사릉,1543,1526,3069
202201,경춘선,상천,251,224,475
202201,경춘선,신내,863,896,1759
202201,경춘선,천마산,986,989,1975
202201,경춘선,청평,1277,1058,2335
202201,경춘선,춘천,1280,1092,2372
202201,경춘선,퇴계원,1872,1776,3648
202201,경춘선,평내호평,3232,3036,6268
202201,경춘선,가평,1204,1523,2727
202201,경춘선,갈매,1530,1290,2820
202201,경춘선,강촌,453,396,849
202201,경춘선,굴봉산,137,205,342
202201,경춘선,금곡,912,859,1771
202201,경춘선,김유정,226,301,527
202201,경춘선,남춘천,1904,2318,4222
202201,경춘선,대성리,352,403,755
202201,경춘선,마석,2378,2398,4776
202201,경춘선,백양리,329,270,599
202201,경춘선,별내,1903,1755,3658
202201,경춘선,사릉,1780,1731,3511
202201,경춘선,상천,191,174,365
202201,경춘선,신내,877,770,1647
202201,경춘선,천마산,1096,1124,2220
202201,경춘선,청평,1148,1361,2509
202201,경춘선,춘천,1016,1201,2217
202201,경춘선,퇴계원,2098,1937,4035
202201,경춘선,평내호평,3569,3483,7052
202201,경춘선,가평,1095,1220,2315
202201,경춘선,갈매,1127,994,2121
202201,경춘선,강촌,301,388,689
202201,경춘선,굴봉산,119,127,246
202201,경춘선,금곡,704,695,1399
