사용월,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
202201,공항철도 1호선,검암,2523,2697,5220
202201,공항철도 1호선,계양,3715,3735,7450
202201,공항철도 1호선,공덕,805,1177,1982
202201,공항철도 1호선,공항화물청사,1055,1057,2112
202201,공항철도 1호선,김포공항,8828,4204,13032
202201,공항철도 1호선,디지털미디어시티,2655,2457,5112
202201,공항철도 1호선,마곡나루,1551,1591,3142
202201,공항철도 1호선,서울,4845,4299,9144
202201,공항철도 1호선,영종,1904,1839,3743
202201,공항철도 1호선,운서,4110,4080,8190
202201,공항철도 1호선,인천공항1터미널,3601,3377,6978
202201,공항철도 1호선,인천공항2터미널,1684,1522,3206
202201,공항철도 1호선,청라국제도시,2333,2353,4686
202201,공항철도 1호선,홍대입구,6979,6898,13877
202201,공항철도 1호선,검암,3023,2966,5989
202201,공항철도 1호선,계양,4421,4159,8580
202201,공항철도 1호선,공덕,933,1293,2226
202201,공항철도 1호선,공항화물청사,887,926,1813
202201,공항철도 1호선,김포공항,10988,5498,16486
202201,공항철도 1호선,디지털미디어시티,2741,2965,5706
202201,공항철도 1호선,마곡나루,1673,1976,3649
202201,공항철도 1호선,서울,7609,5335,12944
202201,공항철도 1호선,영종,2032,1896,3928
202201,공항철도 1호선,운서,4037,4513,8550
202201,공항철도 1호선,인천공항1터미널,3129,3391,6520
202201,공항철도 1호선,인천공항2터미널,1791,1714,3505
202201,공항철도 1호선,청라국제도시,2640,2440,5080
202201,공항철도 1호선,홍대입구,8011,7906,15917
202201,공항철도 1호선,검암,3989,4035,8024
202201,공항철도 1호선,계양,6389,5921,12310
202201,공항철도 1호선,공덕,1392,2190,3582
202201,공항철도 1호선,공항화물청사,1226,1197,2423
202201,공항철도 1호선,김포공항,10576,5713,16289
202201,공항철도 1호선,디지털미디어시티,4574,4292,8866
202201,공항철도 1호선,마곡나루,2867,3065,5932
202201,공항철도 1호선,서울,6410,6441,12851
202201,공항철도 1호선,영종,2571,2531,5102
202201,공항철도 1호선,운서,5404,5563,10967
202201,공항철도 1호선,인천공항1터미널,3317,3437,6754
202201,공항철도 1호선,인천공항2터미널,2010,1720,3730
202201,공항철도 1호선,청라국제도시,3832,3851,7683
202201,공항철도 1호선,홍대입구,11262,10856,22118
202201,공항철도 1호선,검암,3127,3097,6224
202201,공항철도 1호선,계양,4629,4557,9186
202201,공항철도 1호선,공덕,1054,1565,2619
202201,공항철도 1호선,공항화물청사,916,968,1884
202201,공항철도 1호선,김포공항,10438,5715,16153
202201,공항철도 1호선,디지털미디어시티,3022,3035,6057
202201,공항철도 1호선,마곡나루,1903,2169,4072
202201,공항철도 1호선,서울,6686,5804,12490
202201,공항철도 1호선,영종,2081,2008,4089
202201,공항철도 1호선,운서,4511,4795,9306
202201,공항철도 1호선,인천공항1터미널,3238,3235,6473
202201,공항철도 1호선,인천공항2터미널,1772,1614,3386
202201,공항철도 1호선,청라국제도시,2963,2777,5740
202201,공항철도 1호선,홍대입구,9031,8378,17409
202201,공항철도 1호선,검암,4201,4102,8303
202201,공항철도 1호선,계양,6543,6157,12700
202201,공항철도 1호선,공덕,1387,2385,3772
202201,공항철도 1호선,공항화물청사,1157,1191,2348
202201,공항철도 1호선,김포공항,10842,5485,16327
202201,공항철도 1호선,디지털미디어시티,4710,4394,9104
202201,공항철도 1호선,마곡나루,2856,3091,5947
202201,공항철도 1호선,서울,6948,7002,13950
202201,공항철도 1호선,영종,2536,2531,5067
202201,공항철도 1호선,운서,5486,5509,10995
202201,공항철도 1호선,인천공항1터미널,3241,3349,6590
202201,공항철도 1호선,인천공항2터미널,1917,1788,3705
202201,공항철도 1호선,청라국제도시,3887,3768,7655
202201,공항철도 1호선,홍대입구,12420,12262,24682
202201,공항철도 1호선,검암,3177,3175,6352
202201,공항철도 1호선,계양,4720,4750,9470
202201,공항철도 1호선,공덕,1143,1565,2708
202201,공항철도 1호선,공항화물청사,906,1012,1918
202201,공항철도 1호선,김포공항,10713,5540,16253
202201,공항철도 1호선,디지털미디어시티,3237,3231,6468
202201,공항철도 1호선,마곡나루,2022,2203,4225
202201,공항철도 1호선,서울,6946,6178,13124
202201,공항철도 1호선,영종,2167,2039,4206
202201,공항철도 1호선,운서,4653,4928,9581
202201,공항철도 1호선,인천공항1터미널,3152,3286,6438
202201,공항철도 1호선,인천공항2터미널,1771,1619,3390
202201,공항철도 1호선,청라국제도시,2884,2873,5757
202201,공항철도 1호선,홍대입구,9826,9062,18888
202201,공항철도 1호선,검암,4352,4304,8656
202201,공항철도 1호선,계양,6486,6151,12637
202201,공항철도 1호선,공덕,1544,2376,3920
202201,공항철도 1호선,공항화물청사,1215,1221,2436
202201,공항철도 1호선,김포공항,11070,5386,16456
202201,공항철도 1호선,디지털미디어시티,5108,4700,9808
202201,공항철도 1호선,마곡나루,2996,3341,6337
202201,공항철도 1호선,서울,6980,7121,14101
202201,공항철도 1호선,영종,2599,2644,5243
202201,공항철도 1호선,운서,5607,5722,11329
202201,공항철도 1호선,인천공항1터미널,3002,3238,6240
202201,공항철도 1호선,인천공항2터미널,1655,1555,3210
202201,공항철도 1호선,청라국제도시,4016,3977,7993
202201,공항철도 1호선,홍대입구,12357,12190,24547
202201,공항철도 1호선,검암,3110,3164,6274
202201,공항철도 1호선,계양,4759,4717,9476
202201,공항철도 1호선,공덕,1024,1536,2560
202201,공항철도 1호선,공항화물청사,893,989,1882
202201,공항철도 1호선,김포공항,11057,5690,16747
202201,공항철도 1호선,디지털미디어시티,3538,3558,7096
202201,공항철도 1호선,마곡나루,2156,2436,4592
202201,공항철도 1호선,서울,6657,5921,12578
202201,공항철도 1호선,영종,2251,2047,4298
202201,공항철도 1호선,운서,4630,4811,9441
202201,공항철도 1호선,인천공항1터미널,2859,2980,5839
202201,공항철도 1호선,인천공항2터미널,1575,1649,3224
202201,공항철도 1호선,청라국제도시,2974,2922,5896
202201,공항철도 1호선,홍대입구,9840,9195,19035
202201,공항철도 1호선,검암,3410,3400,6810
202201,공항철도 1호선,계양,5170,5008,10178
202201,공항철도 1호선,공덕,1173,1543,2716
202201,공항철도 1호선,공항화물청사,1176,1218,2394
202201,공항철도 1호선,김포공항,10886,6290,17176
202201,공항철도 1호선,디지털미디어시티,3834,3231,7065
202201,공항철도 1호선,마곡나루,2126,2149,4275
202201,공항철도 1호선,서울,4540,5493,10033
202201,공항철도 1호선,영종,2166,2142,4308
202201,공항철도 1호선,운서,4919,4591,9510
202201,공항철도 1호선,인천공항1터미널,2779,3094,5873
202201,공항철도 1호선,인천공항2터미널,1591,1473,3064
202201,공항철도 1호선,청라국제도시,3010,3039,6049
202201,공항철도 1호선,홍대입구,9117,8551,17668
202201,공항철도 1호선,검암,2748,2745,5493
202201,공항철도 1호선,계양,3979,3899,7878
202201,공항철도 1호선,공덕,918,1157,2075
202201,공항철도 1호선,공항화물청사,908,861,1769
202201,공항철도 1호선,김포공항,8874,5263,14137
202201,공항철도 1호선,디지털미디어시티,2770,2382,5152
202201,공항철도 1호선,마곡나루,1568,1605,3173
202201,공항철도 1호선,서울,3695,4628,8323
202201,공항철도 1호선,영종,1745,1715,3460
202201,공항철도 1호선,운서,4019,3837,7856
202201,공항철도 1호선,인천공항1터미널,2780,2983,5763
202201,공항철도 1호선,인천공항2터미널,1567,1552,3119
202201,공항철도 1호선,청라국제도시,2280,2224,4504
202201,공항철도 1호선,홍대입구,7202,6627,13829
202202,공항철도 1호선,검암,3384,3533,6917
202202,공항철도 1호선,계양,5426,5202,10628
202202,공항철도 1호선,공덕,1326,2045,3371
202202,공항철도 1호선,공항화물청사,1224,1253,2477
202202,공항철도 1호선,김포공항,10421,4875,15296
202202,공항철도 1호선,디지털미디어시티,3991,3742,7733
202202,공항철도 1호선,마곡나루,2382,2548,4930
202202,공항철도 1호선,서울,5693,5323,11016
202202,공항철도 1호선,영종,2150,2148,4298
202202,공항철도 1호선,운서,4898,4954,9852
202202,공항철도 1호선,인천공항1터미널,2653,2970,5623
202202,공항철도 1호선,인천공항2터미널,1673,1700,3373
202202,공항철도 1호선,청라국제도시,3310,3142,6452
202202,공항철도 1호선,홍대입구,10237,10417,20654
202202,공항철도 1호선,검암,2769,2859,5628
202202,공항철도 1호선,계양,3999,4070,8069
202202,공항철도 1호선,공덕,931,1280,2211
202202,공항철도 1호선,공항화물청사,887,936,1823
202202,공항철도 1호선,김포공항,10724,4776,15500
202202,공항철도 1호선,디지털미디어시티,2984,2962,5946
202202,공항철도 1호선,마곡나루,1758,1998,3756
202202,공항철도 1호선,서울,5533,4575,10108
202202,공항철도 1호선,영종,1718,1728,3446
202202,공항철도 1호선,운서,4045,4338,8383
202202,공항철도 1호선,인천공항1터미널,2670,2869,5539
202202,공항철도 1호선,인천공항2터미널,1580,1554,3134
202202,공항철도 1호선,청라국제도시,2460,2463,4923
202202,공항철도 1호선,홍대입구,7832,7537,15369
202202,공항철도 1호선,검암,4100,4123,8223
202202,공항철도 1호선,계양,5885,5652,11537
202202,공항철도 1호선,공덕,1335,2129,3464
202202,공항철도 1호선,공항화물청사,1239,1167,2406
202202,공항철도 1호선,김포공항,11123,5356,16479
202202,공항철도 1호선,디지털미디어시티,4633,4340,8973
202202,공항철도 1호선,마곡나루,2849,3050,5899
202202,공항철도 1호선,서울,6125,6014,12139
202202,공항철도 1호선,영종,2554,2518,5072
202202,공항철도 1호선,운서,5386,5501,10887
202202,공항철도 1호선,인천공항1터미널,2990,3301,6291
202202,공항철도 1호선,인천공항2터미널,1713,1645,3358
202202,공항철도 1호선,청라국제도시,3630,3506,7136
202202,공항철도 1호선,홍대입구,10652,10230,20882
202202,공항철도 1호선,검암,3079,3041,6120
202202,공항철도 1호선,계양,4384,4223,8607
202202,공항철도 1호선,공덕,1029,1513,2542
202202,공항철도 1호선,공항화물청사,899,968,1867
202202,공항철도 1호선,김포공항,10387,5554,15941
202202,공항철도 1호선,디지털미디어시티,3036,2985,6021
202202,공항철도 1호선,마곡나루,2014,2262,4276
202202,공항철도 1호선,서울,6022,5271,11293
202202,공항철도 1호선,영종,2072,2018,4090
202202,공항철도 1호선,운서,4255,4643,8898
202202,공항철도 1호선,인천공항1터미널,2964,3149,6113
202202,공항철도 1호선,인천공항2터미널,1584,1549,3133
202202,공항철도 1호선,청라국제도시,2670,2538,5208
202202,공항철도 1호선,홍대입구,8616,7870,16486
202202,공항철도 1호선,검암,3748,3864,7612
202202,공항철도 1호선,계양,5828,5561,11389
202202,공항철도 1호선,공덕,1330,2169,3499
202202,공항철도 1호선,공항화물청사,1220,1238,2458
202202,공항철도 1호선,김포공항,10694,5157,15851
202202,공항철도 1호선,디지털미디어시티,4724,4372,9096
202202,공항철도 1호선,마곡나루,2576,2769,5345
202202,공항철도 1호선,서울,6170,6026,12196
202202,공항철도 1호선,영종,2420,2392,4812
202202,공항철도 1호선,운서,5227,5290,10517
202202,공항철도 1호선,인천공항1터미널,2734,3063,5797
202202,공항철도 1호선,인천공항2터미널,1724,1654,3378
202202,공항철도 1호선,청라국제도시,3467,3435,6902
202202,공항철도 1호선,홍대입구,10320,10264,20584
202202,공항철도 1호선,검암,2899,2917,5816
202202,공항철도 1호선,계양,4175,4109,8284
202202,공항철도 1호선,공덕,1103,1573,2676
202202,공항철도 1호선,공항화물청사,878,953,1831
202202,공항철도 1호선,김포공항,10599,5349,15948
202202,공항철도 1호선,디지털미디어시티,3253,3179,6432
202202,공항철도 1호선,마곡나루,1784,2042,3826
202202,공항철도 1호선,서울,5989,5078,11067
202202,공항철도 1호선,영종,1899,1820,3719
202202,공항철도 1호선,운서,4199,4523,8722
202202,공항철도 1호선,인천공항1터미널,2808,2988,5796
202202,공항철도 1호선,인천공항2터미널,1535,1506,3041
202202,공항철도 1호선,청라국제도시,2478,2450,4928
202202,공항철도 1호선,홍대입구,8405,7626,16031
202202,공항철도 1호선,검암,3660,3799,7459
202202,공항철도 1호선,계양,5752,5398,11150
202202,공항철도 1호선,공덕,1357,2098,3455
202202,공항철도 1호선,공항화물청사,1205,1199,2404
202202,공항철도 1호선,김포공항,10800,5299,16099
202202,공항철도 1호선,디지털미디어시티,4745,4292,9037
202202,공항철도 1호선,마곡나루,2353,2652,5005
202202,공항철도 1호선,서울,5998,6269,12267
202202,공항철도 1호선,영종,2388,2454,4842
202202,공항철도 1호선,운서,5148,5147,10295
202202,공항철도 1호선,인천공항1터미널,2884,3144,6028
202202,공항철도 1호선,인천공항2터미널,1740,1708,3448
202202,공항철도 1호선,청라국제도시,3206,3179,6385
202202,공항철도 1호선,홍대입구,9529,9338,18867
202202,공항철도 1호선,검암,2993,3084,6077
202202,공항철도 1호선,계양,4444,4342,8786
202202,공항철도 1호선,공덕,1017,1367,2384
