사용월,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
202201,경춘선,가평,12443,12333,24776
202201,경춘선,갈매,14381,12502,26883
202201,경춘선,강촌,4145,4052,8197
202201,경춘선,굴봉산,1438,1688,3126
202201,경춘선,금곡,8373,7848,16221
202201,경춘선,김유정,3058,3213,6271
202201,경춘선,남춘천,20415,21434,41849
202201,경춘선,대성리,3811,3180,6991
202201,경춘선,마석,23418,23221,46639
202201,경춘선,백양리,3470,2846,6316
202201,경춘선,별내,18008,17205,35213
202201,경춘선,사릉,16097,15761,31858
202201,경춘선,상천,2327,1939,4266
202201,경춘선,신내,8579,8477,17056
202201,경춘선,천마산,10305,10236,20541
202201,경춘선,청평,11763,11646,23409
202201,경춘선,춘천,11324,10642,21966
202201,경춘선,퇴계원,19519,17983,37502
202201,경춘선,평내호평,33586,32012,65598
202202,경춘선,가평,10146,10108,20254
202202,경춘선,갈매,11447,10165,21612
202202,경춘선,강촌,3420,3314,6734
202202,경춘선,굴봉산,1259,1414,2673
202202,경춘선,금곡,6691,6470,13161
202202,경춘선,김유정,2860,2847,5707
202202,경춘선,남춘천,16362,16457,32819
202202,경춘선,대성리,3351,2923,6274
202202,경춘선,마석,18046,17607,35653
202202,경춘선,백양리,2568,2171,4739
202202,경춘선,별내,14203,13421,27624
202202,경춘선,사릉,12833,12711,25544
202202,경춘선,상천,1868,1646,3514
202202,경춘선,신내,7411,7174,14585
202202,경춘선,천마산,8033,8112,16145
202202,경춘선,청평,9225,9140,18365
202202,경춘선,춘천,8579,7755,16334
202202,경춘선,퇴계원,15246,14304,29550
202202,경춘선,평내호평,26201,25086,51287
202203,경춘선,가평,9102,8738,17840
202203,경춘선,갈매,11391,9829,21220
202203,경춘선,강촌,3218,3136,6354
202203,경춘선,굴봉산,1038,994,2032
202203,경춘선,금곡,6481,6144,12625
202203,경춘선,김유정,2557,2648,5205
202203,경춘선,남춘천,16084,18214,34298
202203,경춘선,대성리,3622,3029,6651
202203,경춘선,마석,17702,17278,34980
202203,경춘선,백양리,868,835,1703
202203,경춘선,별내,14006,12982,26988
202203,경춘선,사릉,11556,11275,22831
202203,경춘선,상천,2112,1739,3851
202203,경춘선,신내,7377,6938,14315
202203,경춘선,천마산,7904,7775,15679
202203,경춘선,청평,8896,8578,17474
202203,경춘선,춘천,8908,8631,17539
202203,경춘선,퇴계원,14791,13425,28216
202203,경춘선,평내호평,25784,24610,50394
202204,경춘선,가평,19105,18698,37803
202204,경춘선,갈매,16427,14139,30566
202204,경춘선,강촌,7477,7189,14666
202204,경춘선,굴봉산,2597,2651,5248
202204,경춘선,금곡,9942,9306,19248
202204,경춘선,김유정,5072,5697,10769
202204,경춘선,남춘천,25460,27964,53424
202204,경춘선,대성리,10158,10221,20379
202204,경춘선,마석,29632,28741,58373
202204,경춘선,백양리,1350,1292,2642
202204,경춘선,별내,19531,17973,37504
202204,경춘선,사릉,15000,14644,29644
202204,경춘선,상천,5103,4454,9557
202204,경춘선,신내,10951,10682,21633
202204,경춘선,천마산,12158,12051,24209
202204,경춘선,청평,17269,16298,33567
202204,경춘선,춘천,18719,15934,34653
202204,경춘선,퇴계원,22046,19849,41895
202204,경춘선,평내호평,38804,37410,76214
202205,경춘선,가평,26359,23260,49619
202205,경춘선,갈매,17346,14998,32344
202205,경춘선,강촌,9806,8165,17971
202205,경춘선,굴봉산,2549,2382,4931
202205,경춘선,금곡,10506,10040,20546
202205,경춘선,김유정,5808,6350,12158
202205,경춘선,남춘천,30359,34936,65295
202205,경춘선,대성리,26395,16712,43107
202205,경춘선,마석,32295,31200,63495
202205,경춘선,백양리,1697,1533,3230
202205,경춘선,별내,20836,19317,40153
202205,경춘선,사릉,16072,15496,31568
202205,경춘선,상천,5843,4513,10356
202205,경춘선,신내,11673,11578,23251
202205,경춘선,천마산,12723,12512,25235
202205,경춘선,청평,22891,19383,42274
202205,경춘선,춘천,22885,19012,41897
202205,경춘선,퇴계원,23662,21368,45030
202205,경춘선,평내호평,42035,40403,82438
202206,경춘선,가평,22942,23331,46273
202206,경춘선,갈매,15070,12999,28069
202206,경춘선,강촌,7040,6411,13451
202206,경춘선,굴봉산,3033,2796,5829
202206,경춘선,금곡,9342,8777,18119
202206,경춘선,김유정,4633,5477,10110
202206,경춘선,남춘천,25131,27564,52695
202206,경춘선,대성리,13618,11271,24889
202206,경춘선,마석,26301,25771,52072
202206,경춘선,백양리,1153,1080,2233
202206,경춘선,별내,18163,17055,35218
202206,경춘선,사릉,13548,13244,26792
202206,경춘선,상천,4425,3559,7984
202206,경춘선,신내,10302,9759,20061
202206,경춘선,천마산,11177,10649,21826
202206,경춘선,청평,18800,17847,36647
202206,경춘선,춘천,19135,15552,34687
202206,경춘선,퇴계원,20124,18290,38414
202206,경춘선,평내호평,35488,34366,69854
202207,경춘선,가평,32418,32075,64493
202207,경춘선,갈매,17183,14683,31866
202207,경춘선,강촌,8335,6837,15172
202207,경춘선,굴봉산,2313,1867,4180
202207,경춘선,금곡,10265,9497,19762
202207,경춘선,김유정,4352,4710,9062
202207,경춘선,남춘천,29290,30534,59824
202207,경춘선,대성리,16148,12202,28350
202207,경춘선,마석,31209,30326,61535
202207,경춘선,백양리,1582,1399,2981
202207,경춘선,별내,20741,19458,40199
202207,경춘선,사릉,14899,14780,29679
202207,경춘선,상천,4317,3778,8095
202207,경춘선,신내,11782,11784,23566
202207,경춘선,천마산,12421,11765,24186
202207,경춘선,청평,22917,21111,44028
202207,경춘선,춘천,19637,16213,35850
202207,경춘선,퇴계원,23174,21489,44663
202207,경춘선,평내호평,40847,39712,80559
202208,경춘선,가평,28088,29792,57880
202208,경춘선,갈매,13442,11620,25062
202208,경춘선,강촌,6388,5485,11873
202208,경춘선,굴봉산,1889,1546,3435
202208,경춘선,금곡,8355,7772,16127
202208,경춘선,김유정,3666,3869,7535
202208,경춘선,남춘천,23374,24545,47919
202208,경춘선,대성리,10374,8810,19184
202208,경춘선,마석,24602,24361,48963
202208,경춘선,백양리,1338,1045,2383
202208,경춘선,별내,16265,15201,31466
202208,경춘선,사릉,11966,11615,23581
202208,경춘선,상천,3643,3232,6875
202208,경춘선,신내,9469,9105,18574
202208,경춘선,천마산,9605,9205,18810
202208,경춘선,청평,18001,17224,35225
202208,경춘선,춘천,15882,13590,29472
202208,경춘선,퇴계원,18163,16404,34567
202208,경춘선,평내호평,32743,31653,64396
202209,경춘선,가평,22281,22472,44753
202209,경춘선,갈매,13719,11937,25656
202209,경춘선,강촌,6700,5740,12440
202209,경춘선,굴봉산,1838,1670,3508
202209,경춘선,금곡,8592,7973,16565
202209,경춘선,김유정,4089,4752,8841
202209,경춘선,남춘천,24778,27461,52239
202209,경춘선,대성리,14505,9979,24484
202209,경춘선,마석,25755,25052,50807
202209,경춘선,백양리,1822,1731,3553
202209,경춘선,별내,16243,15006,31249
202209,경춘선,사릉,12762,12372,25134
202209,경춘선,상천,4297,3699,7996
202209,경춘선,신내,9603,9048,18651
202209,경춘선,천마산,10308,9815,20123
202209,경춘선,청평,16826,15372,32198
202209,경춘선,춘천,17705,15407,33112
202209,경춘선,퇴계원,18788,16752,35540
202209,경춘선,평내호평,32702,31426,64128
202210,경춘선,가평,34729,35212,69941
202210,경춘선,갈매,19773,16927,36700
