사용월,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
202201,안산선,고잔,3162,3166,6328
202201,안산선,대야미,2182,1982,4164
202201,안산선,반월,1970,1970,3940
202201,안산선,산본,6805,6259,13064
202201,안산선,상록수,7257,7467,14724
202201,안산선,수리산,1548,1470,3018
202201,안산선,신길온천,869,821,1690
202201,안산선,안산,7473,7880,15353
202201,안산선,오이도,5359,5296,10655
202201,안산선,정왕,4086,4310,8396
202201,안산선,중앙,9574,9814,19388
202201,안산선,초지,1778,1866,3644
202201,안산선,한대앞,4099,4233,8332
202201,안산선,고잔,3616,3179,6795
202201,안산선,대야미,2394,2096,4490
202201,안산선,반월,2035,2075,4110
202201,안산선,산본,7632,6913,14545
202201,안산선,상록수,7844,7605,15449
202201,안산선,수리산,1707,1701,3408
202201,안산선,신길온천,991,896,1887
202201,안산선,안산,8478,7527,16005
202201,안산선,오이도,4978,4911,9889
202201,안산선,정왕,4372,4918,9290
202201,안산선,중앙,10335,9847,20182
202201,안산선,초지,2001,1852,3853
202201,안산선,한대앞,4433,4229,8662
202201,안산선,고잔,5712,5600,11312
202201,안산선,대야미,3638,3145,6783
202201,안산선,반월,3010,2788,5798
202201,안산선,산본,11638,12483,24121
202201,안산선,상록수,11507,11720,23227
202201,안산선,수리산,2541,2335,4876
202201,안산선,신길온천,1244,1188,2432
202201,안산선,안산,8376,8474,16850
202201,안산선,오이도,6576,6806,13382
202201,안산선,정왕,5818,5839,11657
202201,안산선,중앙,14741,15184,29925
202201,안산선,초지,3015,3069,6084
202201,안산선,한대앞,6725,6578,13303
202201,안산선,고잔,4035,3817,7852
202201,안산선,대야미,2525,2314,4839
202201,안산선,반월,2262,2204,4466
202201,안산선,산본,8032,8553,16585
202201,안산선,상록수,8296,8188,16484
202201,안산선,수리산,1821,1877,3698
202201,안산선,신길온천,979,958,1937
202201,안산선,안산,7911,7542,15453
202201,안산선,오이도,5068,4940,10008
202201,안산선,정왕,4453,5002,9455
202201,안산선,중앙,10621,10594,21215
202201,안산선,초지,2053,2098,4151
202201,안산선,한대앞,4685,4748,9433
202201,안산선,고잔,6090,5851,11941
202201,안산선,대야미,3433,3100,6533
202201,안산선,반월,3149,2984,6133
202201,안산선,산본,11572,12325,23897
202201,안산선,상록수,11105,11260,22365
202201,안산선,수리산,2679,2451,5130
202201,안산선,신길온천,1215,1200,2415
202201,안산선,안산,8467,8826,17293
202201,안산선,오이도,6586,6637,13223
202201,안산선,정왕,5747,5808,11555
202201,안산선,중앙,14733,15271,30004
202201,안산선,초지,3121,3230,6351
202201,안산선,한대앞,6517,6517,13034
202201,안산선,고잔,4027,3746,7773
202201,안산선,대야미,2561,2307,4868
202201,안산선,반월,2156,2192,4348
202201,안산선,산본,8014,8563,16577
202201,안산선,상록수,8365,8264,16629
202201,안산선,수리산,1834,1821,3655
202201,안산선,신길온천,943,936,1879
202201,안산선,안산,8229,7709,15938
202201,안산선,오이도,4945,4974,9919
202201,안산선,정왕,4373,4901,9274
202201,안산선,중앙,10802,10677,21479
202201,안산선,초지,2221,2163,4384
202201,안산선,한대앞,4792,4722,9514
202201,안산선,고잔,6147,6153,12300
202201,안산선,대야미,3560,3058,6618
202201,안산선,반월,3103,2963,6066
202201,안산선,산본,11816,12575,24391
202201,안산선,상록수,11706,11758,23464
202201,안산선,수리산,2645,2371,5016
202201,안산선,신길온천,1298,1212,2510
202201,안산선,안산,8541,8656,17197
202201,안산선,오이도,6608,6921,13529
202201,안산선,정왕,5803,5985,11788
202201,안산선,중앙,15709,15847,31556
202201,안산선,초지,3235,3203,6438
202201,안산선,한대앞,6636,6621,13257
202201,안산선,고잔,4076,3917,7993
202201,안산선,대야미,2637,2441,5078
202201,안산선,반월,2341,2310,4651
202201,안산선,산본,8186,8755,16941
202201,안산선,상록수,8363,8235,16598
202201,안산선,수리산,1912,1957,3869
202201,안산선,신길온천,1028,975,2003
202201,안산선,안산,8156,7754,15910
202201,안산선,오이도,5032,5028,10060
202201,안산선,정왕,4775,5135,9910
202201,안산선,중앙,11291,11076,22367
202201,안산선,초지,2271,2224,4495
202201,안산선,한대앞,4738,4858,9596
202201,안산선,고잔,4433,4282,8715
202201,안산선,대야미,3033,2752,5785
202201,안산선,반월,2774,2575,5349
202201,안산선,산본,10017,10358,20375
202201,안산선,상록수,9553,9906,19459
202201,안산선,수리산,2353,2044,4397
