사용월,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
202201,장항선,배방,577,558,1135
202201,장항선,봉명,401,354,755
202201,장항선,신창,606,603,1209
202201,장항선,쌍용,819,791,1610
202201,장항선,아산,1705,1503,3208
202201,장항선,온양온천,2469,2493,4962
202201,장항선,탕정,197,180,377
202201,장항선,배방,634,706,1340
202201,장항선,봉명,439,443,882
202201,장항선,신창,709,864,1573
202201,장항선,쌍용,1021,983,2004
202201,장항선,아산,3102,1797,4899
202201,장항선,온양온천,2973,2960,5933
202201,장항선,탕정,229,282,511
202201,장항선,배방,851,808,1659
202201,장항선,봉명,684,564,1248
202201,장항선,신창,802,757,1559
202201,장항선,쌍용,1334,1274,2608
202201,장항선,아산,2509,2361,4870
202201,장항선,온양온천,3260,3453,6713
202201,장항선,탕정,354,315,669
202201,장항선,배방,709,836,1545
202201,장항선,봉명,535,506,1041
202201,장항선,신창,669,783,1452
202201,장항선,쌍용,1192,1087,2279
202201,장항선,아산,2515,1810,4325
202201,장항선,온양온천,3853,3834,7687
202201,장항선,탕정,252,279,531
202201,장항선,배방,858,803,1661
202201,장항선,봉명,629,575,1204
202201,장항선,신창,790,764,1554
202201,장항선,쌍용,1435,1265,2700
202201,장항선,아산,2549,2387,4936
202201,장항선,온양온천,3388,3408,6796
202201,장항선,탕정,403,382,785
202201,장항선,배방,670,781,1451
202201,장항선,봉명,412,413,825
202201,장항선,신창,664,771,1435
202201,장항선,쌍용,1003,982,1985
202201,장항선,아산,2668,1767,4435
202201,장항선,온양온천,2733,2847,5580
202201,장항선,탕정,258,284,542
202201,장항선,배방,918,872,1790
202201,장항선,봉명,663,607,1270
202201,장항선,신창,832,722,1554
202201,장항선,쌍용,1326,1320,2646
202201,장항선,아산,2467,2407,4874
202201,장항선,온양온천,3257,3383,6640
202201,장항선,탕정,387,358,745
202201,장항선,배방,661,777,1438
202201,장항선,봉명,471,511,982
202201,장항선,신창,689,733,1422
202201,장항선,쌍용,1064,1035,2099
202201,장항선,아산,2525,1848,4373
202201,장항선,온양온천,2806,2864,5670
202201,장항선,탕정,300,282,582
202201,장항선,배방,740,768,1508
202201,장항선,봉명,641,588,1229
202201,장항선,신창,737,830,1567
202201,장항선,쌍용,1178,1151,2329
202201,장항선,아산,1884,2096,3980
202201,장항선,온양온천,3869,4090,7959
202201,장항선,탕정,336,344,680
202201,장항선,배방,505,563,1068
202201,장항선,봉명,371,378,749
202201,장항선,신창,635,802,1437
202201,장항선,쌍용,832,794,1626
202201,장항선,아산,1494,1567,3061
202201,장항선,온양온천,2507,2800,5307
202201,장항선,탕정,268,214,482
202202,장항선,배방,672,662,1334
202202,장항선,봉명,573,561,1134
202202,장항선,신창,663,643,1306
202202,장항선,쌍용,1055,950,2005
202202,장항선,아산,2001,1759,3760
202202,장항선,온양온천,2589,2743,5332
202202,장항선,탕정,333,316,649
202202,장항선,배방,524,651,1175
202202,장항선,봉명,439,441,880
202202,장항선,신창,547,637,1184
202202,장항선,쌍용,863,901,1764
202202,장항선,아산,2100,1437,3537
202202,장항선,온양온천,2209,2303,4512
202202,장항선,탕정,272,320,592
202202,장항선,배방,922,824,1746
202202,장항선,봉명,673,624,1297
202202,장항선,신창,826,781,1607
202202,장항선,쌍용,1247,1099,2346
202202,장항선,아산,2324,2203,4527
202202,장항선,온양온천,3076,3102,6178
202202,장항선,탕정,444,419,863
202202,장항선,배방,681,759,1440
202202,장항선,봉명,460,460,920
202202,장항선,신창,644,726,1370
202202,장항선,쌍용,1025,921,1946
202202,장항선,아산,2302,1724,4026
202202,장항선,온양온천,2597,2658,5255
202202,장항선,탕정,307,316,623
202202,장항선,배방,864,818,1682
202202,장항선,봉명,707,623,1330
202202,장항선,신창,854,718,1572
202202,장항선,쌍용,1324,1206,2530
202202,장항선,아산,2295,2309,4604
202202,장항선,온양온천,3597,3610,7207
202202,장항선,탕정,505,444,949
202202,장항선,배방,568,647,1215
202202,장항선,봉명,467,428,895
202202,장항선,신창,699,764,1463
202202,장항선,쌍용,913,870,1783
202202,장항선,아산,2292,1756,4048
202202,장항선,온양온천,2367,2523,4890
202202,장항선,탕정,290,332,622
202202,장항선,배방,847,737,1584
202202,장항선,봉명,667,584,1251
202202,장항선,신창,843,947,1790
202202,장항선,쌍용,1292,1145,2437
202202,장항선,아산,2335,2205,4540
202202,장항선,온양온천,2983,3059,6042
202202,장항선,탕정,432,392,824
202202,장항선,배방,674,763,1437
202202,장항선,봉명,501,516,1017
202202,장항선,신창,861,1275,2136
202202,장항선,쌍용,979,1007,1986
202202,장항선,아산,2352,1689,4041
202202,장항선,온양온천,2762,2840,5602
202202,장항선,탕정,330,320,650
202203,장항선,배방,833,797,1630
202203,장항선,봉명,633,577,1210
202203,장항선,신창,1166,1086,2252
202203,장항선,쌍용,1341,1238,2579
202203,장항선,아산,2296,2213,4509
202203,장항선,온양온천,3080,3125,6205
202203,장항선,탕정,522,411,933
202203,장항선,배방,599,743,1342
202203,장항선,봉명,440,467,907
202203,장항선,신창,816,1818,2634
202203,장항선,쌍용,982,1037,2019
202203,장항선,아산,2709,1929,4638
202203,장항선,온양온천,2589,2594,5183
202203,장항선,탕정,322,401,723
202203,장항선,배방,918,825,1743
202203,장항선,봉명,684,622,1306
202203,장항선,신창,1186,1044,2230
202203,장항선,쌍용,1508,1296,2804
202203,장항선,아산,2432,2329,4761
202203,장항선,온양온천,3121,3183,6304
202203,장항선,탕정,501,502,1003
202203,장항선,배방,576,760,1336
202203,장항선,봉명,400,425,825
202203,장항선,신창,741,1728,2469
202203,장항선,쌍용,912,1055,1967
202203,장항선,아산,2728,1780,4508
202203,장항선,온양온천,2310,2388,4698
202203,장항선,탕정,325,379,704
202203,장항선,배방,853,776,1629
202203,장항선,봉명,634,580,1214
202203,장항선,신창,1062,920,1982
202203,장항선,쌍용,1445,1284,2729
202203,장항선,아산,2390,2259,4649
202203,장항선,온양온천,3229,3332,6561
202203,장항선,탕정,457,425,882
202203,장항선,배방,646,836,1482
202203,장항선,봉명,457,428,885
202203,장항선,신창,902,1971,2873
202203,장항선,쌍용,1037,1196,2233
202203,장항선,아산,3096,2038,5134
202203,장항선,온양온천,2811,2777,5588
202203,장항선,탕정,372,469,841
202203,장항선,배방,878,847,1725
202203,장항선,봉명,615,560,1175
202203,장항선,신창,1152,984,2136
202203,장항선,쌍용,1389,1234,2623
202203,장항선,아산,2456,2503,4959
202203,장항선,온양온천,3047,3094,6141
202203,장항선,탕정,523,514,1037
202203,장항선,배방,688,853,1541
202203,장항선,봉명,500,532,1032
202203,장항선,신창,938,1993,2931
202203,장항선,쌍용,1103,1238,2341
202203,장항선,아산,3434,2153,5587
202203,장항선,온양온천,2949,2969,5918
202203,장항선,탕정,456,503,959
202204,장항선,배방,1050,998,2048
202204,장항선,봉명,683,601,1284
202204,장항선,신창,1302,1199,2501
202204,장항선,쌍용,1620,1468,3088
202204,장항선,아산,2972,2910,5882
202204,장항선,온양온천,3618,3599,7217
202204,장항선,탕정,658,562,1220
202204,장항선,배방,802,954,1756
202204,장항선,봉명,558,526,1084
202204,장항선,신창,1087,2084,3171
202204,장항선,쌍용,1163,1433,2596
202204,장항선,아산,3922,2431,6353
202204,장항선,온양온천,3278,3153,6431
202204,장항선,탕정,404,512,916
202204,장항선,배방,1080,1038,2118
202204,장항선,봉명,862,823,1685
202204,장항선,신창,1289,1280,2569
202204,장항선,쌍용,1800,1654,3454
202204,장항선,아산,3243,3091,6334
202204,장항선,온양온천,5020,5095,10115
202204,장항선,탕정,667,602,1269
202204,장항선,배방,851,984,1835
202204,장항선,봉명,612,601,1213
202204,장항선,신창,1195,2014,3209
202204,장항선,쌍용,1269,1458,2727
202204,장항선,아산,3905,2513,6418
202204,장항선,온양온천,3605,3549,7154
202204,장항선,탕정,517,576,1093
202204,장항선,배방,1107,1060,2167
202204,장항선,봉명,726,648,1374
202204,장항선,신창,1225,1173,2398
202204,장항선,쌍용,1696,1498,3194
202204,장항선,아산,3119,2985,6104
202204,장항선,온양온천,3744,3799,7543
202204,장항선,탕정,689,610,1299
202204,장항선,배방,820,955,1775
202204,장항선,봉명,535,561,1096
202204,장항선,신창,976,1500,2476
202204,장항선,쌍용,1237,1334,2571
202204,장항선,아산,3867,2575,6442
202204,장항선,온양온천,3517,3541,7058
202204,장항선,탕정,433,511,944
202204,장항선,배방,1141,1080,2221
202204,장항선,봉명,838,724,1562
202204,장항선,신창,1491,1239,2730
202204,장항선,쌍용,1724,1608,3332
202204,장항선,아산,3145,3128,6273
202204,장항선,온양온천,3905,4114,8019
202204,장항선,탕정,691,597,1288
202204,장항선,배방,893,1063,1956
202204,장항선,봉명,702,708,1410
202204,장항선,신창,1131,2371,3502
202204,장항선,쌍용,1433,1578,3011
202204,장항선,아산,4006,2466,6472
202204,장항선,온양온천,4968,4838,9806
202204,장항선,탕정,546,596,1142
202204,장항선,배방,1319,1194,2513
202204,장항선,봉명,842,790,1632
202204,장항선,신창,1562,1325,2887
202204,장항선,쌍용,1812,1625,3437
202204,장항선,아산,3577,3558,7135
202204,장항선,온양온천,4355,4376,8731
202204,장항선,탕정,731,641,1372
202205,장항선,배방,926,1173,2099
202205,장항선,봉명,664,686,1350
202205,장항선,신창,1186,2390,3576
202205,장항선,쌍용,1266,1584,2850
202205,장항선,아산,4576,2920,7496
202205,장항선,온양온천,4017,3859,7876
202205,장항선,탕정,521,660,1181
202205,장항선,배방,1136,1118,2254
202205,장항선,봉명,864,748,1612
202205,장항선,신창,1416,1333,2749
202205,장항선,쌍용,1815,1615,3430
202205,장항선,아산,3872,3300,7172
202205,장항선,온양온천,4026,4343,8369
202205,장항선,탕정,711,628,1339
202205,장항선,배방,991,1108,2099
202205,장항선,봉명,620,714,1334
202205,장항선,신창,1278,2431,3709
202205,장항선,쌍용,1443,1582,3025
202205,장항선,아산,4511,2875,7386
202205,장항선,온양온천,3838,3660,7498
202205,장항선,탕정,547,637,1184
202205,장항선,배방,1331,1350,2681
202205,장항선,봉명,999,914,1913
202205,장항선,신창,1824,1542,3366
202205,장항선,쌍용,2221,2040,4261
202205,장항선,아산,4110,3917,8027
202205,장항선,온양온천,6081,6118,12199
202205,장항선,탕정,885,765,1650
202205,장항선,배방,968,1137,2105
202205,장항선,봉명,694,688,1382
202205,장항선,신창,1286,2413,3699
202205,장항선,쌍용,1521,1732,3253
202205,장항선,아산,4721,3040,7761
202205,장항선,온양온천,3966,4074,8040
202205,장항선,탕정,584,719,1303
202205,장항선,배방,1360,1285,2645
202205,장항선,봉명,936,885,1821
202205,장항선,신창,1789,1439,3228
202205,장항선,쌍용,2073,1838,3911
202205,장항선,아산,4142,3886,8028
202205,장항선,온양온천,4814,4864,9678
202205,장항선,탕정,957,771,1728
202205,장항선,배방,1018,1224,2242
202205,장항선,봉명,680,742,1422
202205,장항선,신창,1248,2299,3547
202205,장항선,쌍용,1478,1636,3114
202205,장항선,아산,4666,2885,7551
202205,장항선,온양온천,4074,4013,8087
202205,장항선,탕정,577,688,1265
202205,장항선,배방,1203,1221,2424
202205,장항선,봉명,866,811,1677
202205,장항선,신창,1467,1344,2811
202205,장항선,쌍용,1969,1740,3709
202205,장항선,아산,3829,3681,7510
202205,장항선,온양온천,4469,4595,9064
202205,장항선,탕정,875,706,1581
202205,장항선,배방,1049,1190,2239
202205,장항선,봉명,686,697,1383
202205,장항선,신창,1112,2072,3184
202205,장항선,쌍용,1648,1878,3526
202205,장항선,아산,4550,2934,7484
202205,장항선,온양온천,5421,5354,10775
202205,장항선,탕정,619,690,1309
202206,장항선,배방,1345,1310,2655
202206,장항선,봉명,925,864,1789
202206,장항선,신창,1346,1392,2738
202206,장항선,쌍용,2045,1814,3859
202206,장항선,아산,3690,3788,7478
202206,장항선,온양온천,5884,6016,11900
202206,장항선,탕정,863,775,1638
202206,장항선,배방,845,937,1782
202206,장항선,봉명,551,561,1112
202206,장항선,신창,1037,1265,2302
202206,장항선,쌍용,1341,1347,2688
202206,장항선,아산,3172,2336,5508
202206,장항선,온양온천,3650,3576,7226
202206,장항선,탕정,542,525,1067
202206,장항선,배방,1237,1239,2476
202206,장항선,봉명,889,844,1733
202206,장항선,신창,1620,1288,2908
202206,장항선,쌍용,1895,1789,3684
202206,장항선,아산,3568,3633,7201
202206,장항선,온양온천,4402,4397,8799
202206,장항선,탕정,852,743,1595
202206,장항선,배방,914,1085,1999
202206,장항선,봉명,620,680,1300
202206,장항선,신창,1168,1556,2724
202206,장항선,쌍용,1434,1578,3012
202206,장항선,아산,3887,2445,6332
202206,장항선,온양온천,3713,3697,7410
202206,장항선,탕정,581,620,1201
202206,장항선,배방,1316,1169,2485
202206,장항선,봉명,984,874,1858
202206,장항선,신창,1368,1218,2586
202206,장항선,쌍용,2104,1808,3912
202206,장항선,아산,4004,3916,7920
202206,장항선,온양온천,4624,4735,9359
202206,장항선,탕정,902,802,1704
202206,장항선,배방,1010,1131,2141
202206,장항선,봉명,802,793,1595
202206,장항선,신창,1196,1216,2412
202206,장항선,쌍용,1645,1702,3347
202206,장항선,아산,3936,2771,6707
202206,장항선,온양온천,5396,5316,10712
202206,장항선,탕정,677,726,1403
202206,장항선,배방,1199,1158,2357
202206,장항선,봉명,862,736,1598
202206,장항선,신창,1148,1080,2228
202206,장항선,쌍용,1901,1715,3616
202206,장항선,아산,3494,3542,7036
202206,장항선,온양온천,4293,4365,8658
202206,장항선,탕정,823,704,1527
202206,장항선,배방,863,1017,1880
202206,장항선,봉명,639,631,1270
202206,장항선,신창,985,1195,2180
202206,장항선,쌍용,1375,1338,2713
202206,장항선,아산,3788,2341,6129
202206,장항선,온양온천,3632,3582,7214
202206,장항선,탕정,611,669,1280
202207,장항선,배방,1245,1164,2409
202207,장항선,봉명,774,728,1502
202207,장항선,신창,1141,1090,2231
202207,장항선,쌍용,1781,1571,3352
202207,장항선,아산,3315,3261,6576
202207,장항선,온양온천,3933,3944,7877
202207,장항선,탕정,740,703,1443
202207,장항선,배방,840,989,1829
202207,장항선,봉명,605,579,1184
202207,장항선,신창,1030,1164,2194
202207,장항선,쌍용,1297,1213,2510
202207,장항선,아산,3652,2294,5946
202207,장항선,온양온천,3424,3484,6908
202207,장항선,탕정,547,584,1131
202207,장항선,배방,1154,1152,2306
202207,장항선,봉명,946,917,1863
202207,장항선,신창,1098,1020,2118
202207,장항선,쌍용,1932,1697,3629
202207,장항선,아산,3453,3435,6888
202207,장항선,온양온천,5617,5593,11210
202207,장항선,탕정,887,760,1647
202207,장항선,배방,912,1056,1968
202207,장항선,봉명,579,615,1194
202207,장항선,신창,981,1189,2170
202207,장항선,쌍용,1279,1268,2547
202207,장항선,아산,3702,2271,5973
202207,장항선,온양온천,3493,3541,7034
202207,장항선,탕정,656,668,1324
202207,장항선,배방,1148,1076,2224
202207,장항선,봉명,845,745,1590
202207,장항선,신창,1040,1000,2040
202207,장항선,쌍용,1743,1537,3280
202207,장항선,아산,3270,3257,6527
202207,장항선,온양온천,3778,3844,7622
202207,장항선,탕정,799,734,1533
202207,장항선,배방,857,989,1846
202207,장항선,봉명,570,572,1142
202207,장항선,신창,956,1099,2055
202207,장항선,쌍용,1283,1330,2613
202207,장항선,아산,3646,2366,6012
202207,장항선,온양온천,3553,3530,7083
202207,장항선,탕정,596,634,1230
202207,장항선,배방,1168,1027,2195
202207,장항선,봉명,797,769,1566
202207,장항선,신창,1008,955,1963
202207,장항선,쌍용,1636,1510,3146
202207,장항선,아산,3249,3143,6392
202207,장항선,온양온천,3841,3849,7690
202207,장항선,탕정,824,744,1568
202207,장항선,배방,919,1001,1920
202207,장항선,봉명,688,679,1367
202207,장항선,신창,899,985,1884
202207,장항선,쌍용,1383,1360,2743
202207,장항선,아산,3301,2102,5403
202207,장항선,온양온천,4530,4610,9140
202207,장항선,탕정,607,612,1219
202207,장항선,배방,1014,918,1932
202207,장항선,봉명,708,623,1331
202207,장항선,신창,1126,1018,2144
202207,장항선,쌍용,1517,1366,2883
202207,장항선,아산,3010,3026,6036
202207,장항선,온양온천,3785,3876,7661
202207,장항선,탕정,739,623,1362
202207,장항선,배방,631,790,1421
202207,장항선,봉명,458,466,924
202207,장항선,신창,856,907,1763
202207,장항선,쌍용,1030,1086,2116
202207,장항선,아산,3129,2198,5327
202207,장항선,온양온천,3102,2924,6026
202207,장항선,탕정,430,453,883
202208,장항선,배방,942,899,1841
202208,장항선,봉명,713,658,1371
202208,장항선,신창,1012,972,1984
202208,장항선,쌍용,1462,1334,2796
202208,장항선,아산,2705,2540,5245
202208,장항선,온양온천,3462,3599,7061
202208,장항선,탕정,731,605,1336
202208,장항선,배방,754,907,1661
202208,장항선,봉명,523,588,1111
202208,장항선,신창,916,1037,1953
202208,장항선,쌍용,1115,1037,2152
202208,장항선,아산,3223,1946,5169
202208,장항선,온양온천,3134,3156,6290
202208,장항선,탕정,513,566,1079
202208,장항선,배방,969,899,1868
202208,장항선,봉명,708,627,1335
202208,장항선,신창,961,918,1879
202208,장항선,쌍용,1487,1387,2874
202208,장항선,아산,2832,2998,5830
202208,장항선,온양온천,3274,3421,6695
202208,장항선,탕정,733,564,1297
202208,장항선,배방,639,690,1329
202208,장항선,봉명,508,486,994
202208,장항선,신창,740,835,1575
202208,장항선,쌍용,1106,1106,2212
202208,장항선,아산,2605,1926,4531
202208,장항선,온양온천,4041,4036,8077
202208,장항선,탕정,475,490,965
202208,장항선,배방,1012,949,1961
202208,장항선,봉명,833,736,1569
202208,장항선,신창,1073,889,1962
202208,장항선,쌍용,1673,1494,3167
202208,장항선,아산,3110,3036,6146
202208,장항선,온양온천,3732,3887,7619
202208,장항선,탕정,828,700,1528
202208,장항선,배방,877,1056,1933
202208,장항선,봉명,572,598,1170
202208,장항선,신창,918,983,1901
202208,장항선,쌍용,1290,1250,2540
202208,장항선,아산,3406,2267,5673
202208,장항선,온양온천,3517,3587,7104
202208,장항선,탕정,584,627,1211
202208,장항선,배방,1099,1051,2150
202208,장항선,봉명,809,794,1603
202208,장항선,신창,1280,1322,2602
202208,장항선,쌍용,1753,1513,3266
202208,장항선,아산,3564,3345,6909
202208,장항선,온양온천,4109,4073,8182
202208,장항선,탕정,900,787,1687
202208,장항선,배방,906,1111,2017
202208,장항선,봉명,645,650,1295
202208,장항선,신창,1199,1869,3068
