사용월,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
202201,중앙선,구리,5372,5743,11115
202201,중앙선,국수,337,378,715
202201,중앙선,덕소,2626,2727,5353
202201,중앙선,도농,3751,3812,7563
202201,중앙선,도심,868,795,1663
202201,중앙선,망우,3549,3588,7137
202201,중앙선,상봉,2911,2736,5647
202201,중앙선,신원,110,108,218
202201,중앙선,아신,278,314,592
202201,중앙선,양수,1149,1169,2318
202201,중앙선,양원,655,680,1335
202201,중앙선,양정,277,203,480
202201,중앙선,양평,1432,1481,2913
202201,중앙선,오빈,144,142,286
202201,중앙선,용문,1171,1224,2395
202201,중앙선,운길산,689,667,1356
202201,중앙선,원덕,171,190,361
202201,중앙선,중랑,2451,2381,4832
202201,중앙선,지평,24,40,64
202201,중앙선,팔당,838,820,1658
202201,중앙선,회기,10723,10388,21111
202201,중앙선,구리,6322,6649,12971
202201,중앙선,국수,418,329,747
202201,중앙선,덕소,2794,2753,5547
202201,중앙선,도농,4316,4257,8573
202201,중앙선,도심,1013,881,1894
202201,중앙선,망우,3998,4088,8086
202201,중앙선,상봉,3269,3309,6578
202201,중앙선,신원,137,103,240
202201,중앙선,아신,362,320,682
202201,중앙선,양수,1210,1140,2350
202201,중앙선,양원,805,821,1626
202201,중앙선,양정,345,287,632
202201,중앙선,양평,1772,1522,3294
202201,중앙선,오빈,176,147,323
202201,중앙선,용문,1489,1064,2553
202201,중앙선,운길산,656,589,1245
202201,중앙선,원덕,266,200,466
202201,중앙선,중랑,2812,2804,5616
202201,중앙선,지평,36,22,58
202201,중앙선,팔당,909,949,1858
202201,중앙선,회기,11714,12684,24398
202201,중앙선,구리,9564,9842,19406
202201,중앙선,국수,522,593,1115
202201,중앙선,덕소,3993,4082,8075
202201,중앙선,도농,6471,6156,12627
202201,중앙선,도심,1369,1187,2556
202201,중앙선,망우,5951,5894,11845
202201,중앙선,상봉,4462,4427,8889
202201,중앙선,신원,203,173,376
202201,중앙선,아신,486,494,980
202201,중앙선,양수,1426,1439,2865
202201,중앙선,양원,1306,1349,2655
202201,중앙선,양정,450,374,824
202201,중앙선,양평,2965,3160,6125
202201,중앙선,오빈,236,231,467
202201,중앙선,용문,1503,1611,3114
202201,중앙선,운길산,774,726,1500
202201,중앙선,원덕,328,337,665
202201,중앙선,중랑,4050,3900,7950
202201,중앙선,지평,35,43,78
202201,중앙선,팔당,1030,1067,2097
202201,중앙선,회기,17998,17010,35008
202201,중앙선,구리,6755,7074,13829
202201,중앙선,국수,426,424,850
202201,중앙선,덕소,2889,2943,5832
202201,중앙선,도농,4409,4554,8963
202201,중앙선,도심,1025,902,1927
202201,중앙선,망우,4154,4102,8256
202201,중앙선,상봉,3396,3443,6839
202201,중앙선,신원,178,119,297
202201,중앙선,아신,388,351,739
202201,중앙선,양수,1079,1069,2148
202201,중앙선,양원,886,934,1820
202201,중앙선,양정,340,251,591
202201,중앙선,양평,1707,1609,3316
202201,중앙선,오빈,161,158,319
202201,중앙선,용문,1301,1172,2473
202201,중앙선,운길산,698,616,1314
202201,중앙선,원덕,233,208,441
202201,중앙선,중랑,3112,2964,6076
202201,중앙선,지평,52,50,102
202201,중앙선,팔당,870,935,1805
202201,중앙선,회기,13957,13859,27816
202201,중앙선,구리,9854,10054,19908
202201,중앙선,국수,532,574,1106
202201,중앙선,덕소,4086,4185,8271
202201,중앙선,도농,6522,6333,12855
202201,중앙선,도심,1468,1229,2697
202201,중앙선,망우,5958,5748,11706
202201,중앙선,상봉,4561,4566,9127
202201,중앙선,신원,164,187,351
202201,중앙선,아신,411,402,813
202201,중앙선,양수,1528,1501,3029
202201,중앙선,양원,1293,1348,2641
202201,중앙선,양정,441,395,836
202201,중앙선,양평,1997,2084,4081
202201,중앙선,오빈,231,238,469
202201,중앙선,용문,2805,2947,5752
202201,중앙선,운길산,721,790,1511
202201,중앙선,원덕,279,298,577
202201,중앙선,중랑,4089,3876,7965
202201,중앙선,지평,38,46,84
202201,중앙선,팔당,1036,1023,2059
202201,중앙선,회기,17837,16931,34768
202201,중앙선,구리,6841,7079,13920
202201,중앙선,국수,428,386,814
202201,중앙선,덕소,2947,3018,5965
202201,중앙선,도농,4625,4575,9200
202201,중앙선,도심,1021,933,1954
202201,중앙선,망우,4584,4612,9196
202201,중앙선,상봉,3389,3425,6814
202201,중앙선,신원,198,136,334
202201,중앙선,아신,353,359,712
202201,중앙선,양수,1356,1297,2653
202201,중앙선,양원,911,934,1845
202201,중앙선,양정,309,245,554
202201,중앙선,양평,1643,1585,3228
202201,중앙선,오빈,173,154,327
202201,중앙선,용문,1396,1154,2550
202201,중앙선,운길산,751,662,1413
202201,중앙선,원덕,236,212,448
202201,중앙선,중랑,3067,3037,6104
202201,중앙선,지평,34,26,60
202201,중앙선,팔당,966,949,1915
202201,중앙선,회기,13711,13768,27479
202201,중앙선,구리,9753,10080,19833
202201,중앙선,국수,478,533,1011
202201,중앙선,덕소,4003,4117,8120
202201,중앙선,도농,6554,6305,12859
202201,중앙선,도심,1357,1149,2506
202201,중앙선,망우,6207,6127,12334
202201,중앙선,상봉,4688,4599,9287
202201,중앙선,신원,183,155,338
202201,중앙선,아신,412,464,876
202201,중앙선,양수,1477,1576,3053
