사용월,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
202201,1호선,가능,38578,36876,75454
202201,1호선,가산디지털단지,45781,61888,107669
202201,1호선,간석,31958,31088,63046
202201,1호선,개봉,118024,117490,235514
202201,1호선,관악,44068,41381,85449
202201,1호선,광명,21294,17636,38930
202201,1호선,광운대,41262,41415,82677
202201,1호선,구로,93691,95384,189075
202201,1호선,구일,32530,31967,64497
202201,1호선,군포,31036,29101,60137
202201,1호선,금정,137618,140805,278423
202201,1호선,금천구청,62018,61693,123711
202201,1호선,남영,43054,44444,87498
202201,1호선,노량진,62022,58629,120651
202201,1호선,녹양,26052,25520,51572
202201,1호선,녹천,25415,21749,47164
202201,1호선,당정,29592,28824,58416
202201,1호선,대방,57554,59025,116579
202201,1호선,덕계,17049,16161,33210
202201,1호선,덕정,32197,31515,63712
202201,1호선,도봉,34570,32863,67433
202201,1호선,도봉산,70073,48077,118150
202201,1호선,도원,15192,15737,30929
202201,1호선,도화,23890,22682,46572
202201,1호선,독산,65964,65623,131587
202201,1호선,동대문,85174,83054,168228
202201,1호선,동두천,11959,14449,26408
202201,1호선,동두천중앙,20047,19663,39710
202201,1호선,동묘앞,100008,102089,202097
202201,1호선,동암,93659,95741,189400
202201,1호선,동인천,90587,88455,179042
202201,1호선,두정,38466,39766,78232
202201,1호선,망월사,43176,44729,87905
202201,1호선,명학,34648,33904,68552
202201,1호선,방학,57319,55652,112971
202201,1호선,배방,7123,7472,14595
202201,1호선,백운,38483,38630,77113
202201,1호선,병점,90389,93524,183913
202201,1호선,보산,9663,9839,19502
202201,1호선,봉명,5246,4939,10185
202201,1호선,부개,47783,45117,92900
202201,1호선,부천,222280,224363,446643
202201,1호선,부평,227595,239918,467513
202201,1호선,서동탄,7167,7488,14655
202201,1호선,서빙고,11797,12141,23938
202201,1호선,서울,291866,245182,537048
202201,1호선,서정리,45420,48943,94363
202201,1호선,석계,50335,53611,103946
202201,1호선,석수,49975,48106,98081
202201,1호선,성균관대,75794,77550,153344
202201,1호선,성환,20886,21701,42587
202201,1호선,세류,18513,19178,37691
202201,1호선,세마,16173,15220,31393
202201,1호선,소사,51968,50361,102329
202201,1호선,소요산,25905,22705,48610
202201,1호선,송내,130031,128856,258887
202201,1호선,송탄,32867,33703,66570
202201,1호선,수원,300781,308554,609335
202201,1호선,시청,73207,71994,145201
202201,1호선,신길,44864,38600,83464
202201,1호선,신도림,22656,21136,43792
202201,1호선,신설동,74746,71440,146186
202201,1호선,신이문,46768,43655,90423
202201,1호선,신창,7133,7629,14762
202201,1호선,쌍용,11204,10682,21886
202201,1호선,아산,23418,19543,42961
202201,1호선,안양,132549,131479,264028
202201,1호선,양주,46849,45494,92343
202201,1호선,역곡,149071,147758,296829
202201,1호선,영등포,312659,313104,625763
202201,1호선,오류동,69810,64589,134399
202201,1호선,오산,72848,73629,146477
202201,1호선,오산대,20204,18808,39012
202201,1호선,옥수,372,225,597
202201,1호선,온수,35495,33448,68943
202201,1호선,온양온천,31115,32132,63247
202201,1호선,왕십리,94581,105168,199749
202201,1호선,외대앞,47136,45649,92785
202201,1호선,용산,274974,271820,546794
202201,1호선,월계,36676,34330,71006
202201,1호선,응봉,10055,9118,19173
202201,1호선,의왕,42986,43048,86034
202201,1호선,의정부,136770,141050,277820
202201,1호선,이촌,20857,16431,37288
202201,1호선,인천,31412,25823,57235
202201,1호선,제기동,120402,125433,245835
202201,1호선,제물포,55074,53516,108590
202201,1호선,종각,129877,117803,247680
202201,1호선,종로3가,151933,137781,289714
202201,1호선,종로5가,115979,114980,230959
202201,1호선,주안,117010,104017,221027
202201,1호선,중동,49892,47362,97254
202201,1호선,지행,40814,40853,81667
202201,1호선,직산,4915,5020,9935
202201,1호선,진위,7743,7127,14870
202201,1호선,창동,4,0,4
202201,1호선,천안,48294,50125,98419
202201,1호선,청량리,266563,267422,533985
202201,1호선,탕정,2984,2920,5904
202201,1호선,평택,99757,100213,199970
202201,1호선,평택지제,21940,21217,43157
202201,1호선,한남,19944,19342,39286
202201,1호선,화서,39208,39318,78526
202201,1호선,회룡,72857,72749,145606
202202,1호선,가능,30383,29213,59596
202202,1호선,가산디지털단지,36596,49128,85724
202202,1호선,간석,25036,24348,49384
202202,1호선,개봉,94582,93714,188296
202202,1호선,관악,35291,33103,68394
202202,1호선,광명,16768,14078,30846
202202,1호선,광운대,32393,32531,64924
202202,1호선,구로,75554,76898,152452
202202,1호선,구일,25468,24975,50443
202202,1호선,군포,25034,23643,48677
202202,1호선,금정,108279,110540,218819
202202,1호선,금천구청,49106,48649,97755
202202,1호선,남영,34559,36659,71218
202202,1호선,노량진,45219,43344,88563
202202,1호선,녹양,20537,19721,40258
202202,1호선,녹천,20114,17162,37276
202202,1호선,당정,23418,22746,46164
202202,1호선,대방,46280,47971,94251
