사용월,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
202201,2호선,강남,82703,79988,162691
202201,2호선,강변,28008,26207,54215
202201,2호선,건대입구,31439,33647,65086
202201,2호선,교대,30745,34149,64894
202201,2호선,구로디지털단지,57836,58202,116038
202201,2호선,구의,22114,22275,44389
202201,2호선,낙성대,24670,24935,49605
202201,2호선,당산,16916,19766,36682
202201,2호선,대림,22887,23296,46183
202201,2호선,도림천,1379,1425,2804
202201,2호선,동대문역사문화공원,9536,11120,20656
202201,2호선,뚝섬,20279,21873,42152
202201,2호선,문래,20546,20798,41344
202201,2호선,방배,15296,15833,31129
202201,2호선,봉천,22172,21130,43302
202201,2호선,사당,31943,35058,67001
202201,2호선,삼성,49525,49218,98743
202201,2호선,상왕십리,13203,13173,26376
202201,2호선,서울대입구,43068,41647,84715
202201,2호선,서초,19508,18809,38317
202201,2호선,선릉,54376,47992,102368
202201,2호선,성수,35943,38199,74142
202201,2호선,시청,21695,20941,42636
202201,2호선,신답,1544,1840,3384
202201,2호선,신당,12336,12754,25090
202201,2호선,신대방,24818,24584,49402
202201,2호선,신도림,43237,42563,85800
202201,2호선,신림,58307,57981,116288
202201,2호선,신설동,2976,3215,6191
202201,2호선,신정네거리,9778,10164,19942
202201,2호선,신촌,29737,30693,60430
202201,2호선,아현,9245,8964,18209
202201,2호선,양천구청,6433,6816,13249
202201,2호선,역삼,51818,56662,108480
202201,2호선,영등포구청,21964,22510,44474
202201,2호선,왕십리,14002,12003,26005
202201,2호선,용답,2440,2510,4950
202201,2호선,용두,2135,2265,4400
202201,2호선,을지로3가,21408,21158,42566
202201,2호선,을지로4가,12086,11988,24074
202201,2호선,을지로입구,37348,37786,75134
202201,2호선,이대,11485,12493,23978
202201,2호선,잠실,61246,61197,122443
202201,2호선,잠실나루,13491,13268,26759
202201,2호선,잠실새내,19471,19395,38866
202201,2호선,종합운동장,6785,7225,14010
202201,2호선,충정로,9327,9866,19193
202201,2호선,한양대,6307,6803,13110
202201,2호선,합정,27568,28398,55966
202201,2호선,홍대입구,46517,47843,94360
202201,2호선,강남,85529,82798,168327
202201,2호선,강변,28104,26741,54845
202201,2호선,건대입구,32452,34172,66624
202201,2호선,교대,32445,36201,68646
202201,2호선,구로디지털단지,58965,59323,118288
202201,2호선,구의,22797,22551,45348
202201,2호선,낙성대,25784,25657,51441
202201,2호선,당산,17526,20400,37926
202201,2호선,대림,23123,23660,46783
202201,2호선,도림천,1391,1465,2856
202201,2호선,동대문역사문화공원,10556,11804,22360
202201,2호선,뚝섬,21197,22717,43914
202201,2호선,문래,21153,21415,42568
202201,2호선,방배,15859,16496,32355
202201,2호선,봉천,22886,21599,44485
202201,2호선,사당,34043,36815,70858
202201,2호선,삼성,50807,50835,101642
202201,2호선,상왕십리,13619,13485,27104
202201,2호선,서울대입구,45023,41320,86343
202201,2호선,서초,20690,20106,40796
202201,2호선,선릉,56679,50209,106888
202201,2호선,성수,37495,40038,77533
202201,2호선,시청,23070,22229,45299
202201,2호선,신답,1618,1915,3533
202201,2호선,신당,12945,13351,26296
202201,2호선,신대방,25371,24933,50304
202201,2호선,신도림,45116,44238,89354
202201,2호선,신림,60080,59323,119403
202201,2호선,신설동,3011,3166,6177
202201,2호선,신정네거리,10058,10468,20526
202201,2호선,신촌,30824,31535,62359
202201,2호선,아현,9557,9266,18823
202201,2호선,양천구청,6620,7013,13633
202201,2호선,역삼,54233,59720,113953
202201,2호선,영등포구청,22593,22925,45518
202201,2호선,왕십리,14276,12336,26612
202201,2호선,용답,2558,2563,5121
202201,2호선,용두,2278,2314,4592
202201,2호선,을지로3가,22074,21874,43948
202201,2호선,을지로4가,12787,12559,25346
202201,2호선,을지로입구,38512,38923,77435
202201,2호선,이대,11844,12715,24559
202201,2호선,잠실,64568,64231,128799
202201,2호선,잠실나루,14197,13780,27977
202201,2호선,잠실새내,20190,19848,40038
202201,2호선,종합운동장,6612,7023,13635
202201,2호선,충정로,9570,10005,19575
202201,2호선,한양대,6505,6818,13323
202201,2호선,합정,29103,29992,59095
202201,2호선,홍대입구,49289,49959,99248
202201,2호선,강남,85391,82379,167770
202201,2호선,강변,28475,26833,55308
202201,2호선,건대입구,33043,35323,68366
202201,2호선,교대,32733,36418,69151
202201,2호선,구로디지털단지,59242,59546,118788
202201,2호선,구의,23145,23105,46250
202201,2호선,낙성대,25887,25551,51438
202201,2호선,당산,17847,20544,38391
202201,2호선,대림,23052,23603,46655
202201,2호선,도림천,1438,1433,2871
202201,2호선,동대문역사문화공원,11270,12288,23558
202201,2호선,뚝섬,21554,23189,44743
202201,2호선,문래,21009,21382,42391
202201,2호선,방배,15866,16619,32485
202201,2호선,봉천,23214,21790,45004
202201,2호선,사당,34666,37483,72149
202201,2호선,삼성,51327,51487,102814
202201,2호선,상왕십리,13680,13352,27032
202201,2호선,서울대입구,45341,45364,90705
202201,2호선,서초,20910,20222,41132
202201,2호선,선릉,57173,50828,108001
202201,2호선,성수,37655,40372,78027
202201,2호선,시청,23273,22453,45726
202201,2호선,신답,1656,1899,3555
202201,2호선,신당,13019,13689,26708
202201,2호선,신대방,25306,24891,50197
202201,2호선,신도림,45212,44424,89636
202201,2호선,신림,60772,59804,120576
202201,2호선,신설동,3043,3168,6211
202201,2호선,신정네거리,10021,10409,20430
202201,2호선,신촌,30378,31188,61566
202201,2호선,아현,9670,9322,18992
202201,2호선,양천구청,6528,6946,13474
202201,2호선,역삼,54128,59889,114017
202201,2호선,영등포구청,22749,23126,45875
202201,2호선,왕십리,14859,12789,27648
202201,2호선,용답,2544,2648,5192
202201,2호선,용두,2287,2329,4616
202201,2호선,을지로3가,22568,22245,44813
202201,2호선,을지로4가,12630,12434,25064
202201,2호선,을지로입구,38468,39075,77543
202201,2호선,이대,12165,12863,25028
202201,2호선,잠실,64727,64090,128817
202201,2호선,잠실나루,13910,13614,27524
202201,2호선,잠실새내,20336,20349,40685
202201,2호선,종합운동장,6678,7048,13726
202201,2호선,충정로,9583,10242,19825
202201,2호선,한양대,6340,6656,12996
202201,2호선,합정,29420,30363,59783
202201,2호선,홍대입구,50074,51299,101373
202201,2호선,강남,86215,84876,171091
202201,2호선,강변,28693,27082,55775
202201,2호선,건대입구,33545,35694,69239
202201,2호선,교대,32862,36863,69725
202201,2호선,구로디지털단지,59838,59844,119682
202201,2호선,구의,23268,22898,46166
202201,2호선,낙성대,26386,26019,52405
202201,2호선,당산,17993,20798,38791
202201,2호선,대림,22873,23441,46314
202201,2호선,도림천,1366,1414,2780
202201,2호선,동대문역사문화공원,11503,12788,24291
202201,2호선,뚝섬,21789,23260,45049
202201,2호선,문래,21285,21568,42853
202201,2호선,방배,15974,16705,32679
202201,2호선,봉천,23149,21742,44891
202201,2호선,사당,35198,38257,73455
202201,2호선,삼성,51897,52051,103948
202201,2호선,상왕십리,13966,13690,27656
202201,2호선,서울대입구,45738,45341,91079
202201,2호선,서초,21016,20475,41491
202201,2호선,선릉,57573,51419,108992
202201,2호선,성수,37858,40830,78688
202201,2호선,시청,23059,22320,45379
202201,2호선,신답,1631,1879,3510
202201,2호선,신당,13257,13645,26902
202201,2호선,신대방,25768,25322,51090
202201,2호선,신도림,45958,45152,91110
202201,2호선,신림,61525,60435,121960
202201,2호선,신설동,3150,3304,6454
202201,2호선,신정네거리,10014,10393,20407
202201,2호선,신촌,31426,32056,63482
202201,2호선,아현,9623,9234,18857
202201,2호선,양천구청,6599,7084,13683
202201,2호선,역삼,54099,59750,113849
202201,2호선,영등포구청,22693,23193,45886
202201,2호선,왕십리,14976,12878,27854
202201,2호선,용답,2556,2561,5117
202201,2호선,용두,2369,2475,4844
202201,2호선,을지로3가,22071,21925,43996
202201,2호선,을지로4가,13009,12941,25950
202201,2호선,을지로입구,38778,39500,78278
202201,2호선,이대,11983,12783,24766
202201,2호선,잠실,66777,66556,133333
202201,2호선,잠실나루,14187,13784,27971
202201,2호선,잠실새내,20452,20278,40730
202201,2호선,종합운동장,6923,7337,14260
202201,2호선,충정로,9581,10007,19588
202201,2호선,한양대,6562,6864,13426
202201,2호선,합정,30267,31207,61474
202201,2호선,홍대입구,52648,53736,106384
202201,2호선,강남,90564,89305,179869
202201,2호선,강변,30382,29500,59882
202201,2호선,건대입구,35800,38542,74342
202201,2호선,교대,33746,37815,71561
202201,2호선,구로디지털단지,60359,60335,120694
202201,2호선,구의,23939,23552,47491
202201,2호선,낙성대,27262,25906,53168
202201,2호선,당산,18231,21128,39359
202201,2호선,대림,23470,23930,47400
202201,2호선,도림천,1402,1436,2838
202201,2호선,동대문역사문화공원,11715,13114,24829
202201,2호선,뚝섬,22117,23461,45578
202201,2호선,문래,21239,21538,42777
202201,2호선,방배,16036,16883,32919
202201,2호선,봉천,23682,21644,45326
202201,2호선,사당,36489,39801,76290
202201,2호선,삼성,52489,51923,104412
202201,2호선,상왕십리,14213,13699,27912
202201,2호선,서울대입구,47992,46891,94883
202201,2호선,서초,20789,19949,40738
202201,2호선,선릉,57994,51049,109043
202201,2호선,성수,37819,40772,78591
202201,2호선,시청,22937,22052,44989
202201,2호선,신답,1687,1876,3563
202201,2호선,신당,13587,14258,27845
202201,2호선,신대방,26247,25659,51906
202201,2호선,신도림,47620,47339,94959
