사용월,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
202201,경강선,경기광주,7364,7106,14470
202201,경강선,곤지암,2037,2027,4064
202201,경강선,부발,1886,1931,3817
202201,경강선,삼동,2287,2169,4456
202201,경강선,세종대왕릉,262,249,511
202201,경강선,신둔도예촌,1229,1175,2404
202201,경강선,여주,1764,1723,3487
202201,경강선,이매,1040,897,1937
202201,경강선,이천,2414,2515,4929
202201,경강선,초월,2948,2877,5825
202201,경강선,판교,4610,4535,9145
202201,경강선,경기광주,7528,7098,14626
202201,경강선,곤지암,2032,1999,4031
202201,경강선,부발,1853,1761,3614
202201,경강선,삼동,2305,2133,4438
202201,경강선,세종대왕릉,247,252,499
202201,경강선,신둔도예촌,1258,1211,2469
202201,경강선,여주,1737,1748,3485
202201,경강선,이매,1007,938,1945
202201,경강선,이천,2328,2368,4696
202201,경강선,초월,2999,2929,5928
202201,경강선,판교,4577,4518,9095
202201,경강선,경기광주,7291,7001,14292
202201,경강선,곤지암,2099,2003,4102
202201,경강선,부발,1875,1817,3692
202201,경강선,삼동,2279,2140,4419
202201,경강선,세종대왕릉,270,261,531
202201,경강선,신둔도예촌,1286,1223,2509
202201,경강선,여주,1783,1743,3526
202201,경강선,이매,1019,880,1899
202201,경강선,이천,2276,2386,4662
202201,경강선,초월,3033,2919,5952
202201,경강선,판교,4577,4531,9108
202201,경강선,경기광주,7460,7049,14509
202201,경강선,곤지암,2104,2051,4155
202201,경강선,부발,2006,1837,3843
202201,경강선,삼동,2394,2160,4554
202201,경강선,세종대왕릉,266,262,528
202201,경강선,신둔도예촌,1261,1216,2477
202201,경강선,여주,1794,1774,3568
202201,경강선,이매,1019,889,1908
202201,경강선,이천,2408,2472,4880
202201,경강선,초월,2969,2881,5850
202201,경강선,판교,4613,4571,9184
202201,경강선,경기광주,7635,7357,14992
202201,경강선,곤지암,2290,2106,4396
202201,경강선,부발,2803,1962,4765
202201,경강선,삼동,2377,2180,4557
202201,경강선,세종대왕릉,300,272,572
202201,경강선,신둔도예촌,1413,1301,2714
202201,경강선,여주,2045,2130,4175
202201,경강선,이매,1080,965,2045
202201,경강선,이천,2769,2787,5556
202201,경강선,초월,3120,2978,6098
202201,경강선,판교,4904,4781,9685
202201,경강선,경기광주,7594,7295,14889
202201,경강선,곤지암,2133,2163,4296
202201,경강선,부발,1916,1976,3892
202201,경강선,삼동,2329,2229,4558
202201,경강선,세종대왕릉,304,291,595
202201,경강선,신둔도예촌,1279,1235,2514
202201,경강선,여주,1887,1844,3731
202201,경강선,이매,1033,849,1882
202201,경강선,이천,2381,2534,4915
202201,경강선,초월,3005,2980,5985
202201,경강선,판교,4722,4561,9283
202201,경강선,경기광주,7663,7177,14840
202201,경강선,곤지암,2049,2008,4057
202201,경강선,부발,1934,1845,3779
202201,경강선,삼동,2361,2220,4581
202201,경강선,세종대왕릉,270,262,532
202201,경강선,신둔도예촌,1277,1209,2486
202201,경강선,여주,1874,1736,3610
202201,경강선,이매,1071,928,1999
202201,경강선,이천,2443,2455,4898
202201,경강선,초월,3033,2934,5967
202201,경강선,판교,4861,4725,9586
202201,경강선,경기광주,7383,6969,14352
202201,경강선,곤지암,2059,1953,4012
202201,경강선,부발,1957,1852,3809
202201,경강선,삼동,2240,2124,4364
202201,경강선,세종대왕릉,249,244,493
202201,경강선,신둔도예촌,1240,1174,2414
202201,경강선,여주,1638,1665,3303
202201,경강선,이매,1008,858,1866
202201,경강선,이천,2342,2380,4722
202201,경강선,초월,2908,2875,5783
202201,경강선,판교,4636,4505,9141
202201,경강선,경기광주,7277,7027,14304
202201,경강선,곤지암,2028,1925,3953
202201,경강선,부발,1918,1775,3693
202201,경강선,삼동,2299,2156,4455
202201,경강선,세종대왕릉,292,281,573
202201,경강선,신둔도예촌,1274,1225,2499
202201,경강선,여주,1678,1731,3409
202201,경강선,이매,1017,866,1883
202201,경강선,이천,2355,2464,4819
202201,경강선,초월,2930,2916,5846
202201,경강선,판교,4607,4521,9128
202201,경강선,경기광주,7486,7169,14655
202201,경강선,곤지암,2317,2136,4453
202201,경강선,부발,2790,2058,4848
202201,경강선,삼동,2361,2176,4537
202201,경강선,세종대왕릉,326,295,621
202201,경강선,신둔도예촌,1382,1282,2664
202201,경강선,여주,1848,1963,3811
202201,경강선,이매,1012,904,1916
202201,경강선,이천,2670,2760,5430
202201,경강선,초월,3167,2896,6063
202201,경강선,판교,4687,4790,9477
202201,경강선,경기광주,7448,7530,14978
202201,경강선,곤지암,2008,2123,4131
202201,경강선,부발,1894,1961,3855
202201,경강선,삼동,2327,2351,4678
202201,경강선,세종대왕릉,262,245,507
202201,경강선,신둔도예촌,1335,1225,2560
202201,경강선,여주,1744,1685,3429
202201,경강선,이매,1080,877,1957
202201,경강선,이천,2434,2505,4939
202201,경강선,초월,3004,3072,6076
202201,경강선,판교,4922,4550,9472
202201,경강선,경기광주,7614,7195,14809
202201,경강선,곤지암,2105,2068,4173
202201,경강선,부발,1903,1817,3720
202201,경강선,삼동,2374,2244,4618
202201,경강선,세종대왕릉,268,255,523
202201,경강선,신둔도예촌,1294,1218,2512
202201,경강선,여주,1788,1769,3557
202201,경강선,이매,1088,886,1974
202201,경강선,이천,2370,2438,4808
202201,경강선,초월,3008,2907,5915
202201,경강선,판교,4768,4711,9479
202201,경강선,경기광주,7829,7699,15528
202201,경강선,곤지암,2201,2093,4294
202201,경강선,부발,2114,1875,3989
202201,경강선,삼동,2477,2455,4932
202201,경강선,세종대왕릉,267,264,531
202201,경강선,신둔도예촌,1314,1230,2544
202201,경강선,여주,1894,1872,3766
202201,경강선,이매,1113,947,2060
202201,경강선,이천,2516,2535,5051
202201,경강선,초월,3113,3121,6234
202201,경강선,판교,5070,4821,9891
202201,경강선,경기광주,7546,7057,14603
202201,경강선,곤지암,2096,2087,4183
202201,경강선,부발,1989,1878,3867
202201,경강선,삼동,2354,2270,4624
202201,경강선,세종대왕릉,272,266,538
202201,경강선,신둔도예촌,1271,1222,2493
202201,경강선,여주,1899,1870,3769
202201,경강선,이매,1064,893,1957
202201,경강선,이천,2446,2512,4958
202201,경강선,초월,2978,2930,5908
202201,경강선,판교,4767,4681,9448
202201,경강선,경기광주,7588,7230,14818
202201,경강선,곤지암,2315,2130,4445
202201,경강선,부발,2730,1964,4694
202201,경강선,삼동,2463,2252,4715
202201,경강선,세종대왕릉,344,300,644
