사용월,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
202201,경인선,간석,5611,5333,10944
202201,경인선,개봉,19957,20253,40210
202201,경인선,구일,5711,5788,11499
202201,경인선,도원,2843,2800,5643
202201,경인선,도화,3876,3581,7457
202201,경인선,동암,13697,13586,27283
202201,경인선,동인천,12647,12005,24652
202201,경인선,백운,6380,6311,12691
202201,경인선,부개,7979,7512,15491
202201,경인선,부천,29786,29508,59294
202201,경인선,부평,27733,28874,56607
202201,경인선,소사,7956,7718,15674
202201,경인선,송내,24839,24853,49692
202201,경인선,역곡,25275,25029,50304
202201,경인선,오류동,11073,10604,21677
202201,경인선,온수,5826,5711,11537
202201,경인선,인천,3041,2241,5282
202201,경인선,제물포,9705,9193,18898
202201,경인선,주안,17175,15478,32653
202201,경인선,중동,8889,8443,17332
202201,경인선,간석,5469,5237,10706
202201,경인선,개봉,20358,20519,40877
202201,경인선,구일,5842,5927,11769
202201,경인선,도원,2891,2878,5769
202201,경인선,도화,3955,3750,7705
202201,경인선,동암,13958,13987,27945
202201,경인선,동인천,12670,11942,24612
202201,경인선,백운,6407,6435,12842
202201,경인선,부개,8000,7558,15558
202201,경인선,부천,29662,29694,59356
202201,경인선,부평,27539,28553,56092
202201,경인선,소사,7992,7733,15725
202201,경인선,송내,25518,25694,51212
202201,경인선,역곡,25609,25797,51406
202201,경인선,오류동,11182,10717,21899
202201,경인선,온수,6131,5854,11985
202201,경인선,인천,3102,2308,5410
202201,경인선,제물포,9681,9192,18873
202201,경인선,주안,17117,15532,32649
202201,경인선,중동,8887,8453,17340
202201,경인선,간석,5575,5364,10939
202201,경인선,개봉,20390,20538,40928
202201,경인선,구일,5893,5947,11840
202201,경인선,도원,2844,2863,5707
202201,경인선,도화,4077,3801,7878
202201,경인선,동암,14039,14203,28242
202201,경인선,동인천,13373,12736,26109
202201,경인선,백운,6451,6360,12811
202201,경인선,부개,8219,7702,15921
202201,경인선,부천,30538,30506,61044
202201,경인선,부평,27956,29400,57356
202201,경인선,소사,8127,7952,16079
202201,경인선,송내,25849,25891,51740
202201,경인선,역곡,25773,25827,51600
202201,경인선,오류동,11293,10878,22171
202201,경인선,온수,6118,6010,12128
202201,경인선,인천,3154,2322,5476
202201,경인선,제물포,9963,9519,19482
202201,경인선,주안,17368,15801,33169
202201,경인선,중동,8958,8488,17446
202201,경인선,간석,5479,5294,10773
202201,경인선,개봉,20518,20677,41195
202201,경인선,구일,5818,5887,11705
202201,경인선,도원,3031,3088,6119
202201,경인선,도화,4007,3741,7748
202201,경인선,동암,14077,14067,28144
202201,경인선,동인천,13491,12730,26221
202201,경인선,백운,6520,6446,12966
202201,경인선,부개,8230,7290,15520
202201,경인선,부천,30973,30742,61715
202201,경인선,부평,28167,29796,57963
202201,경인선,소사,8058,7882,15940
202201,경인선,송내,25725,25816,51541
202201,경인선,역곡,26067,26039,52106
202201,경인선,오류동,11566,10832,22398
202201,경인선,온수,6135,5955,12090
202201,경인선,인천,3204,2424,5628
202201,경인선,제물포,9602,9273,18875
202201,경인선,주안,17444,15973,33417
202201,경인선,중동,8920,8529,17449
202201,경인선,간석,5726,5324,11050
202201,경인선,개봉,20885,20914,41799
202201,경인선,구일,5938,5950,11888
202201,경인선,도원,2721,2801,5522
202201,경인선,도화,4009,3759,7768
202201,경인선,동암,14313,14668,28981
202201,경인선,동인천,13527,12799,26326
202201,경인선,백운,6546,6429,12975
202201,경인선,부개,8263,7304,15567
202201,경인선,부천,32125,33030,65155
202201,경인선,부평,29570,31917,61487
202201,경인선,소사,8035,7943,15978
202201,경인선,송내,25897,25936,51833
202201,경인선,역곡,26619,26635,53254
202201,경인선,오류동,11600,10831,22431
202201,경인선,온수,6256,6123,12379
202201,경인선,인천,3391,2629,6020
202201,경인선,제물포,10079,9647,19726
202201,경인선,주안,18212,16624,34836
202201,경인선,중동,9153,8561,17714
202201,경인선,간석,5640,5378,11018
202201,경인선,개봉,20879,20975,41854
202201,경인선,구일,5978,5969,11947
202201,경인선,도원,2582,2646,5228
202201,경인선,도화,4144,3861,8005
202201,경인선,동암,14020,13970,27990
202201,경인선,동인천,12867,12293,25160
202201,경인선,백운,6626,6569,13195
202201,경인선,부개,8278,7806,16084
202201,경인선,부천,31086,31094,62180
202201,경인선,부평,28139,29370,57509
202201,경인선,소사,8234,7919,16153
202201,경인선,송내,25624,25469,51093
202201,경인선,역곡,26472,26216,52688
202201,경인선,오류동,11623,10988,22611
202201,경인선,온수,6347,6020,12367
202201,경인선,인천,3157,2375,5532
202201,경인선,제물포,9990,9455,19445
202201,경인선,주안,17492,15935,33427
202201,경인선,중동,9149,8630,17779
202201,경인선,간석,5489,5332,10821
202201,경인선,개봉,20695,20972,41667
202201,경인선,구일,5746,5821,11567
202201,경인선,도원,2453,2461,4914
202201,경인선,도화,3842,3655,7497
202201,경인선,동암,13604,13824,27428
202201,경인선,동인천,12327,11776,24103
202201,경인선,백운,6407,6462,12869
202201,경인선,부개,8038,7572,15610
202201,경인선,부천,29959,29926,59885
202201,경인선,부평,27689,29096,56785
202201,경인선,소사,7892,7685,15577
