사용월,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
202201,분당선,가천대,5976,6939,12915
202201,분당선,강남구청,9556,10735,20291
202201,분당선,개포동,3465,3662,7127
202201,분당선,구룡,1927,1896,3823
202201,분당선,구성,4738,5045,9783
202201,분당선,기흥,8973,8614,17587
202201,분당선,대모산입구,4185,3912,8097
202201,분당선,도곡,6441,6477,12918
202201,분당선,망포,13567,13154,26721
202201,분당선,매교,2553,2557,5110
202201,분당선,매탄권선,4591,4524,9115
202201,분당선,모란,18360,18668,37028
202201,분당선,미금,14692,15545,30237
202201,분당선,보정,2265,1971,4236
202201,분당선,상갈,5002,4808,9810
202201,분당선,서울숲,9559,9730,19289
202201,분당선,서현,24174,24524,48698
202201,분당선,선릉,13385,19921,33306
202201,분당선,선정릉,7838,8364,16202
202201,분당선,수내,13032,12711,25743
202201,분당선,수서,12967,12522,25489
202201,분당선,수원,7627,6368,13995
202201,분당선,수원시청,12013,12653,24666
202201,분당선,신갈,4322,4340,8662
202201,분당선,압구정로데오,16748,17847,34595
202201,분당선,야탑,24110,24954,49064
202201,분당선,영통,7491,7627,15118
202201,분당선,오리,11181,9307,20488
202201,분당선,이매,5523,5137,10660
202201,분당선,정자,16544,17690,34234
202201,분당선,죽전,12059,13331,25390
202201,분당선,청명,4004,3977,7981
202201,분당선,태평,12833,12473,25306
202201,분당선,한티,13873,14895,28768
202201,분당선,가천대,6246,7160,13406
202201,분당선,강남구청,10087,11461,21548
202201,분당선,개포동,3642,3851,7493
202201,분당선,구룡,1925,1930,3855
202201,분당선,구성,4915,5240,10155
202201,분당선,기흥,9293,8762,18055
202201,분당선,대모산입구,4309,4109,8418
202201,분당선,도곡,6697,6632,13329
202201,분당선,망포,13925,13370,27295
202201,분당선,매교,2654,2661,5315
202201,분당선,매탄권선,4772,4654,9426
202201,분당선,모란,24117,25092,49209
202201,분당선,미금,15468,16387,31855
202201,분당선,보정,2337,2093,4430
202201,분당선,복정,1,0,1
202201,분당선,상갈,5211,4959,10170
202201,분당선,서울숲,10007,10192,20199
202201,분당선,서현,25134,25362,50496
202201,분당선,선릉,13895,20726,34621
202201,분당선,선정릉,8192,8696,16888
202201,분당선,수내,13376,13371,26747
202201,분당선,수서,13025,13109,26134
202201,분당선,수원,7561,6391,13952
202201,분당선,수원시청,12031,12930,24961
202201,분당선,신갈,4569,4474,9043
202201,분당선,압구정로데오,18591,19819,38410
202201,분당선,야탑,25318,26436,51754
202201,분당선,영통,7793,7970,15763
202201,분당선,오리,11697,9591,21288
202201,분당선,이매,5869,5443,11312
202201,분당선,정자,17272,18179,35451
202201,분당선,죽전,12697,13911,26608
202201,분당선,청명,4055,4005,8060
202201,분당선,태평,13311,12955,26266
202201,분당선,한티,14596,15573,30169
202201,분당선,가천대,6315,7208,13523
202201,분당선,강남구청,10116,11517,21633
202201,분당선,개포동,3763,3929,7692
202201,분당선,구룡,1931,1928,3859
202201,분당선,구성,4885,5207,10092
202201,분당선,기흥,9198,8830,18028
202201,분당선,대모산입구,4311,4032,8343
202201,분당선,도곡,6784,6663,13447
202201,분당선,망포,14216,13559,27775
202201,분당선,매교,2629,2690,5319
202201,분당선,매탄권선,4649,4602,9251
202201,분당선,모란,19027,19085,38112
202201,분당선,미금,15405,16180,31585
202201,분당선,보정,2376,2095,4471
202201,분당선,상갈,5277,5127,10404
202201,분당선,서울숲,10321,10516,20837
202201,분당선,서현,24652,24975,49627
202201,분당선,선릉,13813,20498,34311
202201,분당선,선정릉,8137,8660,16797
202201,분당선,수내,13517,13517,27034
202201,분당선,수서,12207,12761,24968
202201,분당선,수원,7656,6470,14126
202201,분당선,수원시청,12066,12909,24975
202201,분당선,신갈,4342,4319,8661
202201,분당선,압구정로데오,18725,19996,38721
202201,분당선,야탑,25593,26422,52015
202201,분당선,영통,7860,7938,15798
202201,분당선,오리,11715,9532,21247
202201,분당선,이매,5354,5181,10535
202201,분당선,정자,17353,18369,35722
202201,분당선,죽전,12773,13897,26670
202201,분당선,청명,4063,3944,8007
202201,분당선,태평,13110,12686,25796
202201,분당선,한티,14432,15459,29891
202201,분당선,가천대,6391,7253,13644
202201,분당선,강남구청,10272,11497,21769
202201,분당선,개포동,3636,3921,7557
202201,분당선,구룡,1960,1940,3900
202201,분당선,구성,4991,5240,10231
202201,분당선,기흥,9376,8946,18322
202201,분당선,대모산입구,4286,3999,8285
202201,분당선,도곡,6696,6675,13371
202201,분당선,망포,14292,13643,27935
202201,분당선,매교,2661,2720,5381
202201,분당선,매탄권선,4855,4759,9614
202201,분당선,모란,19063,19423,38486
202201,분당선,미금,15385,16102,31487
202201,분당선,보정,2478,2170,4648
