사용월,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
202201,경춘선,가평,28934,29305,58239
202201,경춘선,갈매,59896,52505,112401
202201,경춘선,강촌,6303,6252,12555
202201,경춘선,굴봉산,2431,2729,5160
202201,경춘선,금곡,28593,26862,55455
202201,경춘선,김유정,5069,5021,10090
202201,경춘선,남춘천,42937,44609,87546
202201,경춘선,대성리,7926,7253,15179
202201,경춘선,마석,71604,70968,142572
202201,경춘선,백양리,6294,5392,11686
202201,경춘선,별내,66829,62953,129782
202201,경춘선,사릉,62008,59714,121722
202201,경춘선,상천,3920,3615,7535
202201,경춘선,신내,39113,36608,75721
202201,경춘선,천마산,31359,29127,60486
202201,경춘선,청평,28801,28142,56943
202201,경춘선,춘천,21855,19922,41777
202201,경춘선,퇴계원,70940,65910,136850
202201,경춘선,평내호평,119225,115256,234481
202202,경춘선,가평,27732,27055,54787
202202,경춘선,갈매,51271,45055,96326
202202,경춘선,강촌,5875,5813,11688
202202,경춘선,굴봉산,2301,2651,4952
202202,경춘선,금곡,25344,23736,49080
202202,경춘선,김유정,4917,4942,9859
202202,경춘선,남춘천,39770,39599,79369
202202,경춘선,대성리,7969,7135,15104
202202,경춘선,마석,63833,63225,127058
202202,경춘선,백양리,5740,5151,10891
202202,경춘선,별내,57551,54834,112385
202202,경춘선,사릉,54681,52732,107413
202202,경춘선,상천,3775,3422,7197
202202,경춘선,신내,35431,33480,68911
202202,경춘선,천마산,28450,26427,54877
202202,경춘선,청평,26773,25356,52129
202202,경춘선,춘천,21533,18695,40228
202202,경춘선,퇴계원,61573,57458,119031
202202,경춘선,평내호평,104072,100310,204382
202203,경춘선,가평,29250,29104,58354
202203,경춘선,갈매,62352,54649,117001
202203,경춘선,강촌,7889,7840,15729
202203,경춘선,굴봉산,2256,2313,4569
202203,경춘선,금곡,31702,30705,62407
202203,경춘선,김유정,5728,6080,11808
202203,경춘선,남춘천,53787,51212,104999
202203,경춘선,대성리,9180,8447,17627
202203,경춘선,마석,82622,82250,164872
202203,경춘선,백양리,1837,1669,3506
202203,경춘선,별내,68085,65362,133447
202203,경춘선,사릉,62691,61218,123909
202203,경춘선,상천,5190,4958,10148
202203,경춘선,신내,45593,43187,88780
202203,경춘선,천마산,35655,33606,69261
202203,경춘선,청평,31061,30886,61947
202203,경춘선,춘천,30992,27293,58285
202203,경춘선,퇴계원,73242,68407,141649
202203,경춘선,평내호평,128770,127193,255963
202204,경춘선,가평,34232,35355,69587
202204,경춘선,갈매,65900,57416,123316
202204,경춘선,강촌,10167,10261,20428
202204,경춘선,굴봉산,3656,3565,7221
202204,경춘선,금곡,34331,32816,67147
202204,경춘선,김유정,7009,7597,14606
202204,경춘선,남춘천,58675,55850,114525
202204,경춘선,대성리,13007,13145,26152
202204,경춘선,마석,89073,88676,177749
202204,경춘선,백양리,2105,2159,4264
202204,경춘선,별내,69601,65545,135146
202204,경춘선,사릉,56017,54402,110419
202204,경춘선,상천,7139,6792,13931
202204,경춘선,신내,49600,46998,96598
202204,경춘선,천마산,37483,34839,72322
202204,경춘선,청평,35560,35583,71143
202204,경춘선,춘천,35056,30484,65540
