사용월,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
202201,안산선,고잔,8130,7679,15809
202201,안산선,대야미,4588,4228,8816
202201,안산선,반월,3999,3868,7867
202201,안산선,산본,14762,15838,30600
202201,안산선,상록수,14420,14771,29191
202201,안산선,수리산,4025,3312,7337
202201,안산선,신길온천,1531,1433,2964
202201,안산선,안산,10959,9883,20842
202201,안산선,오이도,7597,7139,14736
202201,안산선,정왕,7175,7717,14892
202201,안산선,중앙,16326,16577,32903
202201,안산선,초지,4178,4286,8464
202201,안산선,한대앞,8161,8126,16287
202201,안산선,고잔,8467,7965,16432
202201,안산선,대야미,4799,4390,9189
202201,안산선,반월,4047,3870,7917
202201,안산선,산본,15295,16235,31530
202201,안산선,상록수,14495,14955,29450
202201,안산선,수리산,4066,3312,7378
202201,안산선,신길온천,1593,1514,3107
202201,안산선,안산,10969,9857,20826
202201,안산선,오이도,7605,7412,15017
202201,안산선,정왕,7116,7449,14565
202201,안산선,중앙,16775,17001,33776
202201,안산선,초지,4300,4420,8720
202201,안산선,한대앞,8197,8340,16537
202201,안산선,고잔,8431,7944,16375
202201,안산선,대야미,4786,4267,9053
202201,안산선,반월,4209,3996,8205
202201,안산선,산본,15272,16442,31714
202201,안산선,상록수,14734,15163,29897
202201,안산선,수리산,3992,3243,7235
202201,안산선,신길온천,1643,1503,3146
202201,안산선,안산,10941,9830,20771
202201,안산선,오이도,7824,7652,15476
202201,안산선,정왕,7054,7455,14509
202201,안산선,중앙,16872,17376,34248
202201,안산선,초지,4353,4408,8761
202201,안산선,한대앞,8165,8334,16499
202201,안산선,고잔,8398,8081,16479
202201,안산선,대야미,4756,4350,9106
202201,안산선,반월,4035,3983,8018
202201,안산선,산본,15336,16372,31708
202201,안산선,상록수,14938,15331,30269
202201,안산선,수리산,4018,3255,7273
202201,안산선,신길온천,1586,1499,3085
202201,안산선,안산,11067,9968,21035
202201,안산선,오이도,7704,7498,15202
202201,안산선,정왕,7090,7373,14463
202201,안산선,중앙,17036,17452,34488
202201,안산선,초지,4321,4410,8731
202201,안산선,한대앞,8293,8448,16741
202201,안산선,고잔,8582,8127,16709
202201,안산선,대야미,5016,4377,9393
202201,안산선,반월,4245,4026,8271
202201,안산선,산본,15945,17339,33284
202201,안산선,상록수,15023,15693,30716
202201,안산선,수리산,4214,3327,7541
202201,안산선,신길온천,1691,1649,3340
202201,안산선,안산,11411,10307,21718
202201,안산선,오이도,8193,8059,16252
202201,안산선,정왕,7750,7890,15640
202201,안산선,중앙,17701,18687,36388
202201,안산선,초지,4350,4458,8808
202201,안산선,한대앞,8584,8832,17416
202201,안산선,고잔,8545,7860,16405
202201,안산선,대야미,4736,4308,9044
202201,안산선,반월,4116,3973,8089
202201,안산선,산본,15180,16349,31529
202201,안산선,상록수,14815,15157,29972
202201,안산선,수리산,3952,3196,7148
202201,안산선,신길온천,1715,1560,3275
202201,안산선,안산,11364,10196,21560
202201,안산선,오이도,7849,7582,15431
202201,안산선,정왕,7370,7831,15201
202201,안산선,중앙,17186,17757,34943
202201,안산선,초지,4415,4480,8895
202201,안산선,한대앞,8450,8373,16823
202201,안산선,고잔,8573,8137,16710
202201,안산선,대야미,4665,4227,8892
202201,안산선,반월,3957,3729,7686
202201,안산선,산본,15019,16209,31228
202201,안산선,상록수,14938,15471,30409
202201,안산선,수리산,3993,3252,7245
202201,안산선,신길온천,1602,1453,3055
202201,안산선,안산,11202,10154,21356
202201,안산선,오이도,7655,7309,14964
202201,안산선,정왕,7116,7630,14746
202201,안산선,중앙,16872,17336,34208
202201,안산선,초지,4375,4465,8840
202201,안산선,한대앞,8328,8310,16638
202201,안산선,고잔,8192,7741,15933
202201,안산선,대야미,4620,4168,8788
202201,안산선,반월,3823,3718,7541
202201,안산선,산본,15111,16359,31470
202201,안산선,상록수,14174,14650,28824
202201,안산선,수리산,3889,3228,7117
202201,안산선,신길온천,1618,1465,3083
202201,안산선,안산,10780,9880,20660
202201,안산선,오이도,7454,7253,14707
202201,안산선,정왕,6991,7479,14470
202201,안산선,중앙,16652,16599,33251
202201,안산선,초지,4163,4300,8463
202201,안산선,한대앞,8151,8242,16393
202201,안산선,고잔,8331,7766,16097
202201,안산선,대야미,4622,4173,8795
202201,안산선,반월,3876,3700,7576
202201,안산선,산본,15017,16233,31250
202201,안산선,상록수,14474,14862,29336
202201,안산선,수리산,3996,3215,7211
202201,안산선,신길온천,1567,1422,2989
202201,안산선,안산,10688,9602,20290
202201,안산선,오이도,7613,7450,15063
202201,안산선,정왕,7009,7316,14325
202201,안산선,중앙,16621,17222,33843
202201,안산선,초지,4303,4427,8730
202201,안산선,한대앞,7964,8040,16004
202201,안산선,고잔,8466,8035,16501
202201,안산선,대야미,4914,4326,9240
202201,안산선,반월,4027,3836,7863
202201,안산선,산본,15597,16951,32548
202201,안산선,상록수,14770,15177,29947
202201,안산선,수리산,4007,3189,7196
202201,안산선,신길온천,1573,1533,3106
202201,안산선,안산,11279,10198,21477
202201,안산선,오이도,7983,7848,15831
202201,안산선,정왕,7688,7797,15485
202201,안산선,중앙,17443,18488,35931
202201,안산선,초지,4327,4445,8772
202201,안산선,한대앞,8399,8440,16839
202201,안산선,고잔,8468,7969,16437
202201,안산선,대야미,4636,4181,8817
202201,안산선,반월,4088,3880,7968
202201,안산선,산본,14858,16069,30927
202201,안산선,상록수,14441,14907,29348
202201,안산선,수리산,3936,3232,7168
202201,안산선,신길온천,1646,1437,3083
202201,안산선,안산,11197,10121,21318
202201,안산선,오이도,7512,7290,14802
202201,안산선,정왕,7110,7694,14804
202201,안산선,중앙,16705,17191,33896
202201,안산선,초지,4249,4357,8606
202201,안산선,한대앞,8200,8205,16405
202201,안산선,고잔,8626,7999,16625
202201,안산선,대야미,4670,4243,8913
202201,안산선,반월,3939,3753,7692
202201,안산선,산본,15538,16503,32041
202201,안산선,상록수,14663,15046,29709
