사용월,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
202201,우이신설선,4.19민주묘지,2424,2346,4770
202201,우이신설선,가오리,3742,3798,7540
202201,우이신설선,보문,1321,1372,2693
202201,우이신설선,북한산보국문,5377,5290,10667
202201,우이신설선,북한산우이,2818,2548,5366
202201,우이신설선,삼양,1901,2053,3954
202201,우이신설선,삼양사거리,2324,2370,4694
202201,우이신설선,성신여대입구,2895,3279,6174
202201,우이신설선,솔밭공원,2263,2193,4456
202201,우이신설선,솔샘,5484,5208,10692
202201,우이신설선,신설동,2014,1912,3926
202201,우이신설선,정릉,4222,4004,8226
202201,우이신설선,화계,3133,2927,6060
202201,우이신설선,4.19민주묘지,2626,2480,5106
202201,우이신설선,가오리,3902,3896,7798
202201,우이신설선,보문,1370,1393,2763
202201,우이신설선,북한산보국문,5576,5514,11090
202201,우이신설선,북한산우이,2405,2143,4548
202201,우이신설선,삼양,1914,2051,3965
202201,우이신설선,삼양사거리,2316,2317,4633
202201,우이신설선,성신여대입구,3128,3396,6524
202201,우이신설선,솔밭공원,2405,2302,4707
202201,우이신설선,솔샘,5655,5448,11103
202201,우이신설선,신설동,1995,1907,3902
202201,우이신설선,정릉,4341,4097,8438
202201,우이신설선,화계,3182,2960,6142
202201,우이신설선,4.19민주묘지,2581,2487,5068
202201,우이신설선,가오리,3966,3916,7882
202201,우이신설선,보문,1410,1446,2856
202201,우이신설선,북한산보국문,5715,5546,11261
202201,우이신설선,북한산우이,2549,2315,4864
202201,우이신설선,삼양,1986,2092,4078
202201,우이신설선,삼양사거리,2358,2377,4735
202201,우이신설선,성신여대입구,3095,3449,6544
202201,우이신설선,솔밭공원,2372,2252,4624
202201,우이신설선,솔샘,5701,5375,11076
202201,우이신설선,신설동,2083,1962,4045
202201,우이신설선,정릉,4422,4173,8595
202201,우이신설선,화계,3180,2968,6148
202201,우이신설선,4.19민주묘지,2623,2531,5154
202201,우이신설선,가오리,3905,3964,7869
202201,우이신설선,보문,1420,1428,2848
202201,우이신설선,북한산보국문,5683,5511,11194
202201,우이신설선,북한산우이,2455,2219,4674
202201,우이신설선,삼양,1926,2106,4032
202201,우이신설선,삼양사거리,2362,2375,4737
202201,우이신설선,성신여대입구,3111,3413,6524
202201,우이신설선,솔밭공원,2451,2301,4752
202201,우이신설선,솔샘,5708,5384,11092
202201,우이신설선,신설동,2091,1971,4062
202201,우이신설선,정릉,4483,4147,8630
202201,우이신설선,화계,3276,3054,6330
202201,우이신설선,4.19민주묘지,2733,2587,5320
202201,우이신설선,가오리,3976,3888,7864
202201,우이신설선,보문,1493,1482,2975
202201,우이신설선,북한산보국문,5849,5522,11371
202201,우이신설선,북한산우이,2437,2250,4687
202201,우이신설선,삼양,2006,2098,4104
202201,우이신설선,삼양사거리,2467,2495,4962
202201,우이신설선,성신여대입구,3179,3626,6805
202201,우이신설선,솔밭공원,2398,2272,4670
202201,우이신설선,솔샘,5845,5334,11179
202201,우이신설선,신설동,2053,2030,4083
202201,우이신설선,정릉,4572,4191,8763
202201,우이신설선,화계,3267,3075,6342
202201,우이신설선,4.19민주묘지,2592,2577,5169
202201,우이신설선,가오리,3959,3941,7900
202201,우이신설선,보문,1443,1428,2871
202201,우이신설선,북한산보국문,5608,5437,11045
202201,우이신설선,북한산우이,2344,2117,4461
202201,우이신설선,삼양,1911,2060,3971
202201,우이신설선,삼양사거리,2428,2425,4853
202201,우이신설선,성신여대입구,3091,3430,6521
202201,우이신설선,솔밭공원,2415,2279,4694
202201,우이신설선,솔샘,5676,5404,11080
