사용월,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
202201,장항선,배방,872,854,1726
202201,장항선,봉명,1105,1064,2169
202201,장항선,신창,878,1017,1895
202201,장항선,쌍용,1628,1509,3137
202201,장항선,아산,2579,2168,4747
202201,장항선,온양온천,3026,3094,6120
202201,장항선,탕정,323,319,642
202201,장항선,배방,862,856,1718
202201,장항선,봉명,1170,1190,2360
202201,장항선,신창,822,794,1616
202201,장항선,쌍용,1785,1663,3448
202201,장항선,아산,2288,2206,4494
202201,장항선,온양온천,3988,3978,7966
202201,장항선,탕정,343,311,654
202201,장항선,배방,836,788,1624
202201,장항선,봉명,1070,1067,2137
202201,장항선,신창,779,826,1605
202201,장항선,쌍용,1610,1477,3087
202201,장항선,아산,2200,2079,4279
202201,장항선,온양온천,2928,2941,5869
202201,장항선,탕정,347,305,652
202201,장항선,배방,857,824,1681
202201,장항선,봉명,1087,1082,2169
202201,장항선,신창,803,829,1632
202201,장항선,쌍용,1646,1608,3254
202201,장항선,아산,2400,2087,4487
202201,장항선,온양온천,3021,3051,6072
202201,장항선,탕정,367,325,692
202201,장항선,배방,965,893,1858
202201,장항선,봉명,1173,1048,2221
202201,장항선,신창,1065,860,1925
202201,장항선,쌍용,1805,1656,3461
202201,장항선,아산,2825,2937,5762
202201,장항선,온양온천,3452,3475,6927
202201,장항선,탕정,395,348,743
202201,장항선,배방,920,835,1755
202201,장항선,봉명,1110,1073,2183
202201,장항선,신창,889,955,1844
202201,장항선,쌍용,1729,1607,3336
202201,장항선,아산,2558,2336,4894
202201,장항선,온양온천,3188,3266,6454
202201,장항선,탕정,339,314,653
202201,장항선,배방,862,873,1735
202201,장항선,봉명,1089,1054,2143
202201,장항선,신창,815,836,1651
202201,장항선,쌍용,1651,1492,3143
202201,장항선,아산,2281,2136,4417
202201,장항선,온양온천,2872,2960,5832
202201,장항선,탕정,332,314,646
202201,장항선,배방,848,823,1671
202201,장항선,봉명,1091,1038,2129
202201,장항선,신창,809,787,1596
202201,장항선,쌍용,1594,1476,3070
202201,장항선,아산,2372,2098,4470
202201,장항선,온양온천,2937,2994,5931
202201,장항선,탕정,378,346,724
202201,장항선,배방,836,845,1681
202201,장항선,봉명,1071,1059,2130
202201,장항선,신창,793,765,1558
202201,장항선,쌍용,1824,1637,3461
202201,장항선,아산,2450,2116,4566
202201,장항선,온양온천,2909,3025,5934
202201,장항선,탕정,366,334,700
202201,장항선,배방,982,887,1869
202201,장항선,봉명,1150,1116,2266
202201,장항선,신창,1097,897,1994
202201,장항선,쌍용,1748,1608,3356
202201,장항선,아산,2871,2925,5796
202201,장항선,온양온천,4022,4136,8158
202201,장항선,탕정,432,395,827
202201,장항선,배방,822,848,1670
202201,장항선,봉명,1113,1074,2187
202201,장항선,신창,832,907,1739
202201,장항선,쌍용,1700,1557,3257
202201,장항선,아산,2483,2206,4689
202201,장항선,온양온천,3084,3164,6248
202201,장항선,탕정,391,353,744
202201,장항선,배방,824,797,1621
202201,장항선,봉명,1124,1076,2200
202201,장항선,신창,773,830,1603
202201,장항선,쌍용,1605,1482,3087
202201,장항선,아산,2344,2146,4490
202201,장항선,온양온천,3035,3068,6103
202201,장항선,탕정,379,350,729
202201,장항선,배방,851,839,1690
202201,장항선,봉명,1160,1123,2283
202201,장항선,신창,826,813,1639
202201,장항선,쌍용,1705,1654,3359
202201,장항선,아산,2515,2172,4687
202201,장항선,온양온천,3793,3830,7623
202201,장항선,탕정,410,388,798
202201,장항선,배방,880,847,1727
