지하철역,승차총승객수,하차총승객수,총 승차인원,총 하차인원,lat,lng
고려대,2874,2802,2874,2802,37.590649686622,127.036284948669
공덕,5045,4766,5045,4766,37.5428436189268,126.95133595616
광흥창,2822,2715,2822,2715,37.5474860706906,126.931939240491
구산,2969,2258,2969,2258,37.6112122196295,126.917182386796
녹사평,2710,2610,2710,2610,37.5348314193581,126.987028473368
대흥,2752,2770,2752,2770,37.5476683544726,126.942465251709
독바위,1225,1442,1225,1442,37.6183988849915,126.932810138476
돌곶이,3505,3169,3505,3169,37.610550696559,127.056425217652
동묘앞,4065,3980,4065,3980,37.5733722075697,127.01675118037
디지털미디어시티,3843,3953,3843,3953,37.5768239035855,126.899020186183
마포구청,5295,4801,5295,4801,37.5634263131969,126.903356973848
망원,7118,7554,7118,7554,37.5560572923314,126.910033925408
버티고개,782,870,782,870,37.5480418375007,127.007084969776
보문,2841,2727,2841,2727,37.5847632748488,127.019790458317
봉화산,2943,2985,2943,2985,37.6176537624438,127.090758129505
불광,2301,2062,2301,2062,37.6102072578868,126.92998576213
삼각지,2519,1941,2519,1941,37.5345937063675,126.973011032988
상수,4796,5142,4796,5142,37.5477716665856,126.922409857908
상월곡,2265,1980,2265,1980,37.6062641394281,127.048326622029
새절,4975,5010,4975,5010,37.5918270544017,126.913911983591
석계,5057,5057,5057,5057,37.6150480846952,127.066118430844
신당,3539,3001,3539,3001,37.5656540317328,127.019540574485
안암,3170,3182,3170,3182,37.5862804833256,127.029213030111
약수,1197,1206,1197,1206,37.5545595558163,127.010822526737
역촌,1514,1880,1514,1880,37.6060390534435,126.922967946327
월곡,4090,4232,4090,4232,37.6014210523409,127.041184766468
월드컵경기장,2867,2883,2867,2883,37.569942569034,126.899033325814
응암,7342,7591,7342,7591,37.5987423282207,126.915512801302
이태원,7952,7914,7952,7914,37.534483277545,126.993721655506
증산,4364,4537,4364,4537,37.5841954778004,126.910057587886
창신,1309,1104,1309,1104,37.5800168892429,127.015211194258
청구,1258,1237,1258,1237,37.5602939125022,127.013806006802
태릉입구,2249,2439,2249,2439,37.6185137762138,127.075368429731
한강진,5417,6074,5417,6074,37.5402951544226,127.001748287649
합정,6695,6122,6695,6122,37.5501152068908,126.914638180431
화랑대,3640,3191,3640,3191,37.6198943887187,127.083744624338
효창공원앞,2388,2105,2388,2105,37.5393766399926,126.961258439813
고려대,3120,3291,3120,3291,37.590649686622,127.036284948669
공덕,5531,5440,5531,5440,37.5428436189268,126.95133595616
광흥창,3415,3501,3415,3501,37.5474860706906,126.931939240491
구산,3210,2523,3210,2523,37.6112122196295,126.917182386796
녹사평,2831,2791,2831,2791,37.5348314193581,126.987028473368
대흥,2953,3301,2953,3301,37.5476683544726,126.942465251709
독바위,1230,1526,1230,1526,37.6183988849915,126.932810138476
돌곶이,4200,4174,4200,4174,37.610550696559,127.056425217652
동묘앞,4739,4619,4739,4619,37.5733722075697,127.01675118037
디지털미디어시티,4125,4423,4125,4423,37.5768239035855,126.899020186183
마포구청,5788,5772,5788,5772,37.5634263131969,126.903356973848
망원,7652,8426,7652,8426,37.5560572923314,126.910033925408
버티고개,809,986,809,986,37.5480418375007,127.007084969776
보문,3177,3249,3177,3249,37.5847632748488,127.019790458317
봉화산,3366,3339,3366,3339,37.6176537624438,127.090758129505
불광,2574,2272,2574,2272,37.6102072578868,126.92998576213
삼각지,2536,2135,2536,2135,37.5345937063675,126.973011032988
상수,4789,5742,4789,5742,37.5477716665856,126.922409857908
상월곡,2565,2421,2565,2421,37.6062641394281,127.048326622029
새절,5473,5506,5473,5506,37.5918270544017,126.913911983591
석계,5373,5513,5373,5513,37.6150480846952,127.066118430844
신당,3218,3066,3218,3066,37.5656540317328,127.019540574485
안암,3458,4006,3458,4006,37.5862804833256,127.029213030111
약수,1382,1418,1382,1418,37.5545595558163,127.010822526737
역촌,1735,2022,1735,2022,37.6060390534435,126.922967946327
월곡,4455,4723,4455,4723,37.6014210523409,127.041184766468
월드컵경기장,2599,2599,2599,2599,37.569942569034,126.899033325814
응암,7938,8201,7938,8201,37.5987423282207,126.915512801302
이태원,7271,6801,7271,6801,37.534483277545,126.993721655506
증산,4621,4830,4621,4830,37.5841954778004,126.910057587886
창신,1373,1290,1373,1290,37.5800168892429,127.015211194258
청구,1380,1370,1380,1370,37.5602939125022,127.013806006802
태릉입구,2554,2678,2554,2678,37.6185137762138,127.075368429731
한강진,4733,5372,4733,5372,37.5402951544226,127.001748287649
합정,7529,6658,7529,6658,37.5501152068908,126.914638180431
화랑대,4146,3548,4146,3548,37.6198943887187,127.083744624338
효창공원앞,2712,2467,2712,2467,37.5393766399926,126.961258439813
고려대,6962,6818,6962,6818,37.590649686622,127.036284948669
공덕,17273,16744,17273,16744,37.5428436189268,126.95133595616
광흥창,8375,8114,8375,8114,37.5474860706906,126.931939240491
구산,6961,5385,6961,5385,37.6112122196295,126.917182386796
녹사평,4000,3956,4000,3956,37.5348314193581,126.987028473368
대흥,7202,7407,7202,7407,37.5476683544726,126.942465251709
독바위,2463,2663,2463,2663,37.6183988849915,126.932810138476
돌곶이,8639,8211,8639,8211,37.610550696559,127.056425217652
동묘앞,6101,6813,6101,6813,37.5733722075697,127.01675118037
디지털미디어시티,13226,14571,13226,14571,37.5768239035855,126.899020186183
마포구청,13313,12155,13313,12155,37.5634263131969,126.903356973848
망원,12210,13134,12210,13134,37.5560572923314,126.910033925408
버티고개,1873,1983,1873,1983,37.5480418375007,127.007084969776
보문,6594,6221,6594,6221,37.5847632748488,127.019790458317
봉화산,8407,7900,8407,7900,37.6176537624438,127.090758129505
불광,3883,3917,3883,3917,37.6102072578868,126.92998576213
삼각지,5231,4806,5231,4806,37.5345937063675,126.973011032988
상수,6945,7552,6945,7552,37.5477716665856,126.922409857908
상월곡,5713,5234,5713,5234,37.6062641394281,127.048326622029
새절,11837,11078,11837,11078,37.5918270544017,126.913911983591
석계,11245,11892,11245,11892,37.6150480846952,127.066118430844
신당,5812,6822,5812,6822,37.5656540317328,127.019540574485
안암,8854,9229,8854,9229,37.5862804833256,127.029213030111
약수,3364,3323,3364,3323,37.5545595558163,127.010822526737
역촌,3610,4250,3610,4250,37.6060390534435,126.922967946327
연신내,2,0,2,0,37.618962003178,126.921162124977
월곡,10636,10673,10636,10673,37.6014210523409,127.041184766468
월드컵경기장,3421,3602,3421,3602,37.569942569034,126.899033325814
응암,16321,16410,16321,16410,37.5987423282207,126.915512801302
이태원,8093,7947,8093,7947,37.534483277545,126.993721655506
증산,9426,9497,9426,9497,37.5841954778004,126.910057587886
창신,3159,2613,3159,2613,37.5800168892429,127.015211194258
청구,3392,3658,3392,3658,37.5602939125022,127.013806006802
태릉입구,4979,5399,4979,5399,37.6185137762138,127.075368429731
한강진,6140,6952,6140,6952,37.5402951544226,127.001748287649
합정,11344,11057,11344,11057,37.5501152068908,126.914638180431
화랑대,10857,8535,10857,8535,37.6198943887187,127.083744624338
효창공원앞,6300,5852,6300,5852,37.5393766399926,126.961258439813
고려대,7339,7222,7339,7222,37.590649686622,127.036284948669
공덕,17842,17129,17842,17129,37.5428436189268,126.95133595616
광흥창,8728,8729,8728,8729,37.5474860706906,126.931939240491
구산,7333,5703,7333,5703,37.6112122196295,126.917182386796
녹사평,4233,4194,4233,4194,37.5348314193581,126.987028473368
대흥,7329,7667,7329,7667,37.5476683544726,126.942465251709
독바위,2568,2751,2568,2751,37.6183988849915,126.932810138476
돌곶이,8913,8472,8913,8472,37.610550696559,127.056425217652
동묘앞,7318,7522,7318,7522,37.5733722075697,127.01675118037
디지털미디어시티,13520,14944,13520,14944,37.5768239035855,126.899020186183
마포구청,13748,12838,13748,12838,37.5634263131969,126.903356973848
망원,12918,13941,12918,13941,37.5560572923314,126.910033925408
버티고개,1869,2049,1869,2049,37.5480418375007,127.007084969776
보문,6799,6388,6799,6388,37.5847632748488,127.019790458317
봉화산,8658,8105,8658,8105,37.6176537624438,127.090758129505
불광,3898,3859,3898,3859,37.6102072578868,126.92998576213
삼각지,5772,5377,5772,5377,37.5345937063675,126.973011032988
상수,7491,8322,7491,8322,37.5477716665856,126.922409857908
상월곡,5890,5281,5890,5281,37.6062641394281,127.048326622029
새절,12264,11535,12264,11535,37.5918270544017,126.913911983591
석계,11665,12199,11665,12199,37.6150480846952,127.066118430844
신당,7830,8290,7830,8290,37.5656540317328,127.019540574485
안암,9613,9531,9613,9531,37.5862804833256,127.029213030111
약수,3501,3471,3501,3471,37.5545595558163,127.010822526737
역촌,3719,4404,3719,4404,37.6060390534435,126.922967946327
월곡,10803,10909,10803,10909,37.6014210523409,127.041184766468
월드컵경기장,3529,3780,3529,3780,37.569942569034,126.899033325814
응암,17051,17020,17051,17020,37.5987423282207,126.915512801302
이태원,8286,8343,8286,8343,37.534483277545,126.993721655506
증산,9621,9703,9621,9703,37.5841954778004,126.910057587886
창신,3410,2841,3410,2841,37.5800168892429,127.015211194258
청구,3651,3836,3651,3836,37.5602939125022,127.013806006802
태릉입구,5101,5554,5101,5554,37.6185137762138,127.075368429731
한강진,7421,8319,7421,8319,37.5402951544226,127.001748287649
합정,12215,11759,12215,11759,37.5501152068908,126.914638180431
화랑대,11173,8901,11173,8901,37.6198943887187,127.083744624338
효창공원앞,6629,6061,6629,6061,37.5393766399926,126.961258439813
고려대,7396,7178,7396,7178,37.590649686622,127.036284948669
공덕,17668,17131,17668,17131,37.5428436189268,126.95133595616
광흥창,8674,8487,8674,8487,37.5474860706906,126.931939240491
구산,7356,5616,7356,5616,37.6112122196295,126.917182386796
녹사평,4400,4421,4400,4421,37.5348314193581,126.987028473368
대흥,7353,7644,7353,7644,37.5476683544726,126.942465251709
독바위,2581,2762,2581,2762,37.6183988849915,126.932810138476
돌곶이,9086,8476,9086,8476,37.610550696559,127.056425217652
동묘앞,7187,7318,7187,7318,37.5733722075697,127.01675118037
디지털미디어시티,13492,14895,13492,14895,37.5768239035855,126.899020186183
마포구청,13790,12695,13790,12695,37.5634263131969,126.903356973848
망원,13186,14043,13186,14043,37.5560572923314,126.910033925408
버티고개,1824,1925,1824,1925,37.5480418375007,127.007084969776
보문,6950,6481,6950,6481,37.5847632748488,127.019790458317
봉화산,8590,8077,8590,8077,37.6176537624438,127.090758129505
불광,4122,4132,4122,4132,37.6102072578868,126.92998576213
삼각지,5929,5439,5929,5439,37.5345937063675,126.973011032988
상수,7788,8476,7788,8476,37.5477716665856,126.922409857908
상월곡,5933,5321,5933,5321,37.6062641394281,127.048326622029
새절,12184,11429,12184,11429,37.5918270544017,126.913911983591
석계,11696,12053,11696,12053,37.6150480846952,127.066118430844
신당,8606,8903,8606,8903,37.5656540317328,127.019540574485
안암,9699,9645,9699,9645,37.5862804833256,127.029213030111
약수,3468,3425,3468,3425,37.5545595558163,127.010822526737
역촌,3713,4377,3713,4377,37.6060390534435,126.922967946327
연신내,2,0,2,0,37.618962003178,126.921162124977
월곡,10960,11025,10960,11025,37.6014210523409,127.041184766468
월드컵경기장,3537,3639,3537,3639,37.569942569034,126.899033325814
응암,17158,17436,17158,17436,37.5987423282207,126.915512801302
이태원,8686,8739,8686,8739,37.534483277545,126.993721655506
증산,9721,9712,9721,9712,37.5841954778004,126.910057587886
창신,3435,2923,3435,2923,37.5800168892429,127.015211194258
청구,3585,3838,3585,3838,37.5602939125022,127.013806006802
태릉입구,5136,5650,5136,5650,37.6185137762138,127.075368429731
한강진,8466,9404,8466,9404,37.5402951544226,127.001748287649
합정,12358,12086,12358,12086,37.5501152068908,126.914638180431
화랑대,11320,8930,11320,8930,37.6198943887187,127.083744624338
효창공원앞,6696,6220,6696,6220,37.5393766399926,126.961258439813
고려대,7346,7120,7346,7120,37.590649686622,127.036284948669
공덕,17767,17189,17767,17189,37.5428436189268,126.95133595616
광흥창,8869,8507,8869,8507,37.5474860706906,126.931939240491
구산,7321,5632,7321,5632,37.6112122196295,126.917182386796
녹사평,4500,4406,4500,4406,37.5348314193581,126.987028473368
대흥,7565,7769,7565,7769,37.5476683544726,126.942465251709
독바위,2660,2782,2660,2782,37.6183988849915,126.932810138476
돌곶이,9032,8422,9032,8422,37.610550696559,127.056425217652
동묘앞,7253,7450,7253,7450,37.5733722075697,127.01675118037
디지털미디어시티,13675,14847,13675,14847,37.5768239035855,126.899020186183
마포구청,13805,12754,13805,12754,37.5634263131969,126.903356973848
망원,13440,14694,13440,14694,37.5560572923314,126.910033925408
버티고개,1877,1990,1877,1990,37.5480418375007,127.007084969776
보문,6967,6481,6967,6481,37.5847632748488,127.019790458317
봉화산,8666,8260,8666,8260,37.6176537624438,127.090758129505
불광,4123,4049,4123,4049,37.6102072578868,126.92998576213
삼각지,6052,5482,6052,5482,37.5345937063675,126.973011032988
상수,7835,8655,7835,8655,37.5477716665856,126.922409857908
상월곡,6034,5415,6034,5415,37.6062641394281,127.048326622029
새절,12307,11552,12307,11552,37.5918270544017,126.913911983591
석계,11713,12007,11713,12007,37.6150480846952,127.066118430844
신내,1,0,1,0,37.6100945305971,127.110257980303
신당,8214,8605,8214,8605,37.5656540317328,127.019540574485
안암,9558,9654,9558,9654,37.5862804833256,127.029213030111
약수,3553,3431,3553,3431,37.5545595558163,127.010822526737
역촌,3676,4470,3676,4470,37.6060390534435,126.922967946327
월곡,10914,11020,10914,11020,37.6014210523409,127.041184766468
월드컵경기장,3613,3761,3613,3761,37.569942569034,126.899033325814
응암,17117,16966,17117,16966,37.5987423282207,126.915512801302
이태원,8726,8881,8726,8881,37.534483277545,126.993721655506
증산,9906,10109,9906,10109,37.5841954778004,126.910057587886
창신,3388,2811,3388,2811,37.5800168892429,127.015211194258
청구,3681,3974,3681,3974,37.5602939125022,127.013806006802
태릉입구,5273,5739,5273,5739,37.6185137762138,127.075368429731
한강진,8139,9133,8139,9133,37.5402951544226,127.001748287649
합정,12685,12255,12685,12255,37.5501152068908,126.914638180431
화랑대,11240,8860,11240,8860,37.6198943887187,127.083744624338
효창공원앞,6767,6185,6767,6185,37.5393766399926,126.961258439813
고려대,7476,7256,7476,7256,37.590649686622,127.036284948669
공덕,18272,17640,18272,17640,37.5428436189268,126.95133595616
광흥창,8955,8652,8955,8652,37.5474860706906,126.931939240491
구산,7535,5675,7535,5675,37.6112122196295,126.917182386796
녹사평,4634,4670,4634,4670,37.5348314193581,126.987028473368
대흥,7522,7885,7522,7885,37.5476683544726,126.942465251709
