지하철역,승차총승객수,하차총승객수,총 승차인원,총 하차인원,lat,lng
검암,2523,2697,2523,2697,37.5687914198721,126.675472176848
계양,3715,3735,3715,3735,37.5716093704302,126.736023400683
공덕,805,1177,805,1177,37.5428436189268,126.95133595616
공항화물청사,1055,1057,1055,1057,37.4590307212448,126.477437882407
김포공항,8828,4204,8828,4204,37.562313207852,126.801278424065
디지털미디어시티,2655,2457,2655,2457,37.5768239035855,126.899020186183
마곡나루,1551,1591,1551,1591,37.565821296795,126.827634421592
서울역,4845,4299,4845,4299,,
영종,1904,1839,1904,1839,37.51210021776,126.524248890138
운서,4110,4080,4110,4080,37.4928503236659,126.493665547285
인천공항1터미널,3601,3377,3601,3377,37.4476109663729,126.452346738588
인천공항2터미널,1684,1522,1684,1522,37.458350712273,126.427699293474
청라국제도시,2333,2353,2333,2353,37.5551403000306,126.625410973856
홍대입구,6979,6898,6979,6898,37.5577458058734,126.926498328277
검암,3023,2966,3023,2966,37.5687914198721,126.675472176848
계양,4421,4159,4421,4159,37.5716093704302,126.736023400683
공덕,933,1293,933,1293,37.5428436189268,126.95133595616
공항화물청사,887,926,887,926,37.4590307212448,126.477437882407
김포공항,10988,5498,10988,5498,37.562313207852,126.801278424065
디지털미디어시티,2741,2965,2741,2965,37.5768239035855,126.899020186183
마곡나루,1673,1976,1673,1976,37.565821296795,126.827634421592
서울역,7609,5335,7609,5335,,
영종,2032,1896,2032,1896,37.51210021776,126.524248890138
운서,4037,4513,4037,4513,37.4928503236659,126.493665547285
인천공항1터미널,3129,3391,3129,3391,37.4476109663729,126.452346738588
인천공항2터미널,1791,1714,1791,1714,37.458350712273,126.427699293474
청라국제도시,2640,2440,2640,2440,37.5551403000306,126.625410973856
홍대입구,8011,7906,8011,7906,37.5577458058734,126.926498328277
검암,6277,6192,6277,6192,37.5687914198721,126.675472176848
계양,9692,9100,9692,9100,37.5716093704302,126.736023400683
공덕,2118,2671,2118,2671,37.5428436189268,126.95133595616
공항화물청사,2232,2374,2232,2374,37.4590307212448,126.477437882407
김포공항,11597,6778,11597,6778,37.562313207852,126.801278424065
디지털미디어시티,13893,12516,13893,12516,37.5768239035855,126.899020186183
마곡나루,8468,7970,8468,7970,37.565821296795,126.827634421592
서울역,6955,5972,6955,5972,,
영종,2771,2782,2771,2782,37.51210021776,126.524248890138
운서,5917,6075,5917,6075,37.4928503236659,126.493665547285
인천공항1터미널,3444,3690,3444,3690,37.4476109663729,126.452346738588
인천공항2터미널,2032,1953,2032,1953,37.458350712273,126.427699293474
청라국제도시,6469,5999,6469,5999,37.5551403000306,126.625410973856
홍대입구,8463,8721,8463,8721,37.5577458058734,126.926498328277
검암,6453,6288,6453,6288,37.5687914198721,126.675472176848
계양,9741,9256,9741,9256,37.5716093704302,126.736023400683
공덕,2234,2780,2234,2780,37.5428436189268,126.95133595616
공항화물청사,2324,2514,2324,2514,37.4590307212448,126.477437882407
김포공항,10970,5986,10970,5986,37.562313207852,126.801278424065
디지털미디어시티,13872,12599,13872,12599,37.5768239035855,126.899020186183
마곡나루,8652,8106,8652,8106,37.565821296795,126.827634421592
서울역,6535,5727,6535,5727,,
영종,2853,2798,2853,2798,37.51210021776,126.524248890138
운서,6035,6131,6035,6131,37.4928503236659,126.493665547285
인천공항1터미널,3527,3855,3527,3855,37.4476109663729,126.452346738588
인천공항2터미널,2009,2108,2009,2108,37.458350712273,126.427699293474
청라국제도시,6587,6219,6587,6219,37.5551403000306,126.625410973856
홍대입구,8879,9076,8879,9076,37.5577458058734,126.926498328277
검암,6436,6292,6436,6292,37.5687914198721,126.675472176848
계양,9679,9189,9679,9189,37.5716093704302,126.736023400683
공덕,2187,2775,2187,2775,37.5428436189268,126.95133595616
공항화물청사,2224,2447,2224,2447,37.4590307212448,126.477437882407
김포공항,11128,6233,11128,6233,37.562313207852,126.801278424065
디지털미디어시티,14024,12460,14024,12460,37.5768239035855,126.899020186183
마곡나루,8583,8234,8583,8234,37.565821296795,126.827634421592
서울역,6250,5837,6250,5837,,
영종,2744,2811,2744,2811,37.51210021776,126.524248890138
운서,6263,6141,6263,6141,37.4928503236659,126.493665547285
인천공항1터미널,3532,3749,3532,3749,37.4476109663729,126.452346738588
인천공항2터미널,2127,2022,2127,2022,37.458350712273,126.427699293474
청라국제도시,6556,6160,6556,6160,37.5551403000306,126.625410973856
홍대입구,8796,8848,8796,8848,37.5577458058734,126.926498328277
검암,6516,6358,6516,6358,37.5687914198721,126.675472176848
계양,9951,9342,9951,9342,37.5716093704302,126.736023400683
공덕,2204,2866,2204,2866,37.5428436189268,126.95133595616
공항화물청사,2295,2481,2295,2481,37.4590307212448,126.477437882407
김포공항,10909,6561,10909,6561,37.562313207852,126.801278424065
디지털미디어시티,14124,12741,14124,12741,37.5768239035855,126.899020186183
마곡나루,8573,8180,8573,8180,37.565821296795,126.827634421592
서울역,6785,6376,6785,6376,,
영종,2782,2848,2782,2848,37.51210021776,126.524248890138
운서,6376,6410,6376,6410,37.4928503236659,126.493665547285
인천공항1터미널,3660,3729,3660,3729,37.4476109663729,126.452346738588
인천공항2터미널,2291,2187,2291,2187,37.458350712273,126.427699293474
청라국제도시,6759,6225,6759,6225,37.5551403000306,126.625410973856
홍대입구,9087,9319,9087,9319,37.5577458058734,126.926498328277
검암,6577,6487,6577,6487,37.5687914198721,126.675472176848
계양,10059,9177,10059,9177,37.5716093704302,126.736023400683
공덕,2265,2913,2265,2913,37.5428436189268,126.95133595616
공항화물청사,2269,2399,2269,2399,37.4590307212448,126.477437882407
김포공항,13409,7120,13409,7120,37.562313207852,126.801278424065
디지털미디어시티,13673,12252,13673,12252,37.5768239035855,126.899020186183
마곡나루,8398,7744,8398,7744,37.565821296795,126.827634421592
서울역,8082,7816,8082,7816,,
영종,2944,3016,2944,3016,37.51210021776,126.524248890138
운서,6445,6355,6445,6355,37.4928503236659,126.493665547285
인천공항1터미널,3825,4093,3825,4093,37.4476109663729,126.452346738588
인천공항2터미널,2280,2094,2280,2094,37.458350712273,126.427699293474
청라국제도시,6717,6424,6717,6424,37.5551403000306,126.625410973856
홍대입구,10075,10175,10075,10175,37.5577458058734,126.926498328277
검암,3989,4035,3989,4035,37.5687914198721,126.675472176848
계양,6389,5921,6389,5921,37.5716093704302,126.736023400683
공덕,1392,2190,1392,2190,37.5428436189268,126.95133595616
공항화물청사,1226,1197,1226,1197,37.4590307212448,126.477437882407
김포공항,10576,5713,10576,5713,37.562313207852,126.801278424065
디지털미디어시티,4574,4292,4574,4292,37.5768239035855,126.899020186183
마곡나루,2867,3065,2867,3065,37.565821296795,126.827634421592
서울역,6410,6441,6410,6441,,
영종,2571,2531,2571,2531,37.51210021776,126.524248890138
운서,5404,5563,5404,5563,37.4928503236659,126.493665547285
인천공항1터미널,3317,3437,3317,3437,37.4476109663729,126.452346738588
인천공항2터미널,2010,1720,2010,1720,37.458350712273,126.427699293474
청라국제도시,3832,3851,3832,3851,37.5551403000306,126.625410973856
홍대입구,11262,10856,11262,10856,37.5577458058734,126.926498328277
