지하철역,승차총승객수,하차총승객수,총 승차인원,총 하차인원,lat,lng
보라매공원,2444,2750,2444,2750,37.4930838003695,126.919756524074
보라매병원,3958,3648,3958,3648,37.4938896313487,126.924073975494
당곡,3493,2893,3493,2893,37.4898907244889,126.927718112844
신림,2310,2526,2310,2526,37.4841196518392,126.928712092948
서원,2860,2382,2860,2382,37.478259985687,126.933262205033
서울대벤처타운,7104,6246,7104,6246,37.4720905385625,126.933969602866
관악산,8226,8205,8226,8205,37.4687413067708,126.945653230284
샛강,4002,5457,4002,5457,37.5175286381865,126.930460204563
대방,2044,1370,2044,1370,37.5128688879851,126.925248506022
서울지방병무청,2327,2284,2327,2284,37.5057661785548,126.922726823845
보라매,3069,2427,3069,2427,37.5008205922635,126.920735867544
관악산,7027,7136,7027,7136,37.4687413067708,126.945653230284
서울대벤처타운,5322,4939,5322,4939,37.4720905385625,126.933969602866
서원,2234,1984,2234,1984,37.478259985687,126.933262205033
신림,1850,2160,1850,2160,37.4841196518392,126.928712092948
당곡,2695,2417,2695,2417,37.4898907244889,126.927718112844
보라매병원,2770,2787,2770,2787,37.4938896313487,126.924073975494
보라매공원,1808,2097,1808,2097,37.4930838003695,126.919756524074
보라매,2126,1806,2126,1806,37.5008205922635,126.920735867544
서울지방병무청,1916,1846,1916,1846,37.5057661785548,126.922726823845
대방,1419,1087,1419,1087,37.5128688879851,126.925248506022
샛강,2691,3962,2691,3962,37.5175286381865,126.930460204563
샛강,2382,3083,2382,3083,37.5175286381865,126.930460204563
대방,1662,1087,1662,1087,37.5128688879851,126.925248506022
서울지방병무청,2053,2308,2053,2308,37.5057661785548,126.922726823845
보라매,2640,2193,2640,2193,37.5008205922635,126.920735867544
보라매공원,1582,1877,1582,1877,37.4930838003695,126.919756524074
보라매병원,5586,4893,5586,4893,37.4938896313487,126.924073975494
당곡,2914,2963,2914,2963,37.4898907244889,126.927718112844
신림,1724,1980,1724,1980,37.4841196518392,126.928712092948
서원,2343,2358,2343,2358,37.478259985687,126.933262205033
서울대벤처타운,5503,5970,5503,5970,37.4720905385625,126.933969602866
관악산,3908,3842,3908,3842,37.4687413067708,126.945653230284
관악산,4590,4378,4590,4378,37.4687413067708,126.945653230284
서울대벤처타운,6361,6263,6361,6263,37.4720905385625,126.933969602866
서원,2571,2371,2571,2371,37.478259985687,126.933262205033
신림,1960,2432,1960,2432,37.4841196518392,126.928712092948
당곡,3387,3113,3387,3113,37.4898907244889,126.927718112844
보라매병원,5879,5643,5879,5643,37.4938896313487,126.924073975494
보라매공원,1864,2100,1864,2100,37.4930838003695,126.919756524074
보라매,2742,2278,2742,2278,37.5008205922635,126.920735867544
서울지방병무청,2104,2273,2104,2273,37.5057661785548,126.922726823845
대방,1779,1155,1779,1155,37.5128688879851,126.925248506022
샛강,2654,3540,2654,3540,37.5175286381865,126.930460204563
샛강,2155,3375,2155,3375,37.5175286381865,126.930460204563
대방,1567,1071,1567,1071,37.5128688879851,126.925248506022
서울지방병무청,1779,1862,1779,1862,37.5057661785548,126.922726823845
