지하철역,승차총승객수,하차총승객수,총 승차인원,총 하차인원,lat,lng
신설동,791,844,791,844,37.5762451837487,127.023278761358
보문,741,656,741,656,37.5847632748488,127.019790458317
성신여대입구,1771,2160,1771,2160,37.5927179261346,127.016477649743
정릉,1969,1772,1969,1772,37.6026876819314,127.013496185509
북한산보국문,2808,2504,2808,2504,37.6121461272569,127.008208009279
솔샘,2149,2052,2149,2052,37.6202522935181,127.013408969328
삼양사거리,1183,1215,1183,1215,37.6214280999689,127.020237295242
삼양,934,985,934,985,37.626835165677,127.018198221331
화계,1597,1464,1597,1464,37.6339304770753,127.0172978051
가오리,1814,1754,1814,1754,37.641713417798,127.016940435565
4.19민주묘지,1374,1227,1374,1227,37.6494786329719,127.013478245674
솔밭공원,1073,1012,1073,1012,37.6561546882896,127.013091650663
북한산우이,2603,2554,2603,2554,37.6629661525542,127.012702176264
신설동,1028,957,1028,957,37.5762451837487,127.023278761358
보문,810,823,810,823,37.5847632748488,127.019790458317
성신여대입구,2015,2262,2015,2262,37.5927179261346,127.016477649743
정릉,2259,2013,2259,2013,37.6026876819314,127.013496185509
북한산보국문,3071,2933,3071,2933,37.6121461272569,127.008208009279
솔샘,2444,2286,2444,2286,37.6202522935181,127.013408969328
삼양사거리,1294,1316,1294,1316,37.6214280999689,127.020237295242
삼양,1053,1049,1053,1049,37.626835165677,127.018198221331
화계,1813,1727,1813,1727,37.6339304770753,127.0172978051
가오리,2048,1952,2048,1952,37.641713417798,127.016940435565
4.19민주묘지,1617,1422,1617,1422,37.6494786329719,127.013478245674
솔밭공원,1250,1206,1250,1206,37.6561546882896,127.013091650663
북한산우이,2398,2469,2398,2469,37.6629661525542,127.012702176264
북한산우이,2818,2548,2818,2548,37.6629661525542,127.012702176264
솔밭공원,2263,2193,2263,2193,37.6561546882896,127.013091650663
신설동,2014,1912,2014,1912,37.5762451837487,127.023278761358
보문,1321,1372,1321,1372,37.5847632748488,127.019790458317
성신여대입구,2895,3279,2895,3279,37.5927179261346,127.016477649743
4.19민주묘지,2424,2346,2424,2346,37.6494786329719,127.013478245674
가오리,3742,3798,3742,3798,37.641713417798,127.016940435565
화계,3133,2927,3133,2927,37.6339304770753,127.0172978051
