사용월,호선명,지하철역,출근시간 승차인원,출근시간 하차인원,09-16시 승차인원,09-16시 하차인원,퇴근시간 승차인원,퇴근시간 하차인원,새벽 승차인원,새벽 하차인원,야간 승차인원,야간 하차인원,총 승차인원,총 하차인원
202304,4호선,길음,209674,60229,248900,207777,94223,198346,10598,2034,48814,141790,517986,411830
202304,4호선,남태령,7099,11158,18013,11020,11039,5225,493,48,2484,4515,28089,26741
202304,4호선,노원,132541,53323,208161,209446,90471,204667,12408,661,85820,129172,438930,392602
202304,4호선,당고개,94486,21843,112812,79916,34778,71596,8747,33,14728,60713,230773,162505
202304,4호선,동대문,15441,116144,238323,332648,181793,58909,4763,2442,77055,38116,335582,489350
202304,4호선,동대문역사문화공원,25397,108014,177483,199928,184929,76615,5885,1546,107198,59040,315963,368528
202304,4호선,동작,5066,10809,19566,25400,13667,9951,265,237,6338,5642,31235,42088
202304,4호선,명동,27435,191554,322127,482701,309448,176826,1451,1134,211757,96446,562770,771835
202304,4호선,미아,120823,61191,185955,143328,75267,120787,11712,1720,34228,83467,352718,289706
202304,4호선,미아사거리,231049,62092,318216,248151,114789,251204,16022,2288,69641,161292,634928,473823
202304,4호선,사당,180575,87429,317401,228798,136896,226213,10820,1602,120482,130873,629278,448702
202304,4호선,삼각지,20157,38087,51283,74560,49070,51508,671,314,39981,24154,112092,137115
202304,4호선,상계,200381,49428,222832,157065,68487,170506,14573,300,40126,126754,477912,333547
202304,4호선,서울역,35128,143772,110956,245641,132220,113483,4645,911,47183,75028,197912,465352
202304,4호선,성신여대입구,119423,69262,246947,215314,128591,172097,6104,1741,101141,124135,473615,410452
202304,4호선,수유,288802,88803,403094,304694,159675,324728,22656,3004,93619,242642,808171,639143
202304,4호선,숙대입구,53835,85352,163454,169955,119062,96089,3122,830,80438,57914,300849,314051
202304,4호선,신용산,34079,138476,145296,236072,198975,102138,1411,1111,108716,40019,289502,415678
202304,4호선,쌍문,308382,52215,344373,206000,91887,272979,24207,1250,46715,211912,723677,471377
202304,4호선,이촌,35839,46863,106073,128707,66027,57012,1221,867,27512,31846,170645,208283
202304,4호선,창동,207090,71803,296393,261095,118752,235826,18757,2878,62833,161289,585073,497065
202304,4호선,총신대입구,126122,70951,224039,213373,101940,184678,6348,959,70566,96506,427075,381789
202304,4호선,충무로,33845,257557,261522,406402,317191,113373,3805,3166,178509,62837,477681,729962
202304,4호선,한성대입구,80498,60159,175131,165985,90817,99522,6737,1099,56942,76793,319308,304036
202304,4호선,혜화,47299,192989,334531,535915,304307,206686,3585,2230,298259,76650,683674,807784
202304,4호선,회현,17776,207278,292484,463732,290606,56860,1384,688,92127,24226,403771,695924
202303,4호선,길음,225914,65311,261107,221046,105541,214159,10861,2083,51096,151961,548978,440401
202303,4호선,남태령,7917,12967,17854,11174,12042,5814,544,59,3257,4356,29572,28556
202303,4호선,노원,141019,56527,217605,219893,98368,223124,12842,637,93053,134979,464519,412036
202303,4호선,당고개,100693,21345,115855,80567,35271,76613,8810,60,14831,63360,240189,165332
202303,4호선,동대문,16647,126477,255225,357317,195750,64119,5245,2538,83099,41883,360216,528215
202303,4호선,동대문역사문화공원,27361,113255,179633,204399,195670,82035,6526,1598,111971,60290,325491,379542
202303,4호선,동작,5381,10841,18701,21841,13867,9937,240,223,5601,5882,29923,38787
202303,4호선,명동,27764,207244,332606,487389,326713,186340,1820,1017,215180,95733,577370,791383
202303,4호선,미아,127141,67824,196884,151380,80965,129067,11905,2078,35964,87762,371894,309044
202303,4호선,미아사거리,247406,63001,330420,261206,123840,271197,16505,2475,73167,168648,667498,495330
202303,4호선,사당,191703,87955,331450,242770,146336,243278,10562,1680,126106,137372,659821,469777
202303,4호선,삼각지,21180,40382,52253,75400,52738,53686,720,349,41878,24860,116031,140991
202303,4호선,상계,215307,50850,228269,155252,70662,185105,14561,308,41046,135071,499183,341481
202303,4호선,서울역,37481,150217,116805,250761,141677,120136,5209,896,49654,76802,209149,478676
202303,4호선,성신여대입구,127017,76343,257363,230042,144538,187564,6316,1842,113428,129396,504124,437623
202303,4호선,수유,307800,93604,418797,310611,169230,349035,23262,3174,95420,254709,845279,662098
202303,4호선,숙대입구,56081,93645,170408,179915,132047,104349,3170,667,87292,59952,316951,334179
202303,4호선,신용산,36245,148568,152814,256078,214335,108580,1621,1008,115319,40614,305999,446268
202303,4호선,쌍문,330778,53898,357807,211893,98558,294457,24857,1243,48063,223773,761505,490807
202303,4호선,이촌,37315,52294,114913,140312,73798,57564,1330,903,25580,33122,179138,226631
202303,4호선,창동,221881,74482,310997,272540,127117,252639,19102,2995,64763,170261,616743,520278
202303,4호선,총신대입구,134401,75162,233559,222525,108911,196676,6402,895,75162,100451,449524,399033
202303,4호선,충무로,33589,277824,260286,415737,344088,118949,3702,3175,198199,61440,495776,758176
202303,4호선,한성대입구,86016,65189,181495,170270,98162,106999,6555,1102,60190,79263,334256,315824
202303,4호선,혜화,49420,210215,347016,558043,325217,229801,3783,2301,331076,79306,731295,849865
202303,4호선,회현,17514,223742,306840,488141,307699,58303,1681,701,93877,22974,419912,735558
202302,4호선,길음,188046,41403,222029,160332,77289,182326,8990,1736,35657,130816,454722,334287
202302,4호선,남태령,5738,9936,15201,9372,10760,4739,473,33,2264,3973,23676,23314
202302,4호선,노원,116565,42668,192798,204203,88836,192274,10874,610,83197,118496,403434,365977
202302,4호선,당고개,82400,17905,103605,71031,30782,66384,7591,37,13162,55929,206758,144902
202302,4호선,동대문,12592,107553,212183,310186,172926,52148,4501,2082,66566,30943,295842,450764
202302,4호선,동대문역사문화공원,20015,98761,145549,174722,167886,65860,5491,1446,90947,44161,262002,319090
202302,4호선,동작,4029,9133,14063,16355,10708,7291,210,147,3813,4498,22115,30133
202302,4호선,명동,17760,158852,234184,367690,260191,126788,1234,857,151573,62834,404751,590233
202302,4호선,미아,106271,45469,167087,127617,66971,112200,10089,1888,28013,75409,311460,250383
202302,4호선,미아사거리,205229,49632,298257,234232,109474,239988,14163,2041,66609,150867,584258,436772
202302,4호선,사당,166217,70141,291942,214732,126044,216021,9201,1344,114582,117718,581942,403935
202302,4호선,삼각지,17653,36656,47920,72521,49530,49667,631,294,39782,21241,105986,130712
202302,4호선,상계,179445,34838,199181,138000,61341,158240,12528,302,35294,118753,426448,291893
202302,4호선,서울역,30716,131117,99093,229741,124351,111612,4282,763,43130,67118,177221,428739
202302,4호선,성신여대입구,105088,47545,207545,180317,107793,159683,5307,1467,86563,108583,404503,337912
202302,4호선,수유,257000,78563,367848,273885,147931,305278,19135,2785,84639,219381,728622,574614
202302,4호선,숙대입구,46953,69078,129403,130600,103670,89295,2521,572,66177,49344,245054,249594
202302,4호선,신용산,30580,132085,139254,232932,196150,100144,1533,857,107962,35894,279329,401768
202302,4호선,쌍문,277390,44846,319314,188963,87632,256277,21259,973,42355,194394,660318,429176
202302,4호선,이촌,29773,43946,123742,161348,77204,50416,1160,813,23222,28532,177897,234639
202302,4호선,창동,182627,62005,276303,243103,113908,217761,15901,2573,57939,148980,532770,456661
202302,4호선,총신대입구,111882,63311,203704,199660,99894,172844,5342,906,65718,87181,386646,351058
202302,4호선,충무로,26943,227443,193152,316643,281922,98865,2960,3016,147143,45694,370198,592796
202302,4호선,한성대입구,71114,41483,146264,125332,69520,85581,5803,947,36311,68155,259492,235917
202302,4호선,혜화,41374,170102,305506,511828,295212,197773,2912,2052,289106,65152,638898,749134
202302,4호선,회현,13720,197627,253527,409204,270122,48460,1309,621,78270,16705,346826,624157
202301,4호선,길음,185125,40621,218869,154964,75042,179183,8560,1723,34110,128363,446664,325671
202301,4호선,남태령,5727,10604,14868,9146,10665,4707,507,72,2123,3965,23225,23787
202301,4호선,노원,114607,42430,188549,201910,88531,189116,10634,594,84474,117224,398264,362158
202301,4호선,당고개,80661,17439,102637,69816,29935,66251,7165,33,13309,54490,203772,141778
202301,4호선,동대문,11877,102253,193858,282566,157096,47444,3827,1899,60013,27404,269575,414122
202301,4호선,동대문역사문화공원,19544,98647,146725,177100,168840,64237,4871,1446,88441,42223,259581,319416
202301,4호선,동작,3797,8601,13019,14546,9599,6146,206,110,3046,4139,20068,27396
202301,4호선,명동,16839,157446,220820,345961,250908,123167,1147,879,151020,58368,389826,562654
202301,4호선,미아,105590,42988,165152,125646,65150,110852,9738,1447,28260,75190,308740,245271
202301,4호선,미아사거리,201448,48414,294192,232754,110010,235318,13624,2032,66107,148867,575371,432067
202301,4호선,사당,161438,67860,282908,205226,123001,207722,9374,1183,109033,111767,562753,386036
202301,4호선,삼각지,17366,36388,46029,67495,47706,45989,603,320,37431,20717,101429,124920
202301,4호선,상계,175945,33997,196863,136777,61344,156521,12291,269,34451,115883,419550,286926
202301,4호선,서울역,30148,127126,96027,217456,121839,104853,4034,839,41015,64454,171224,409875
202301,4호선,성신여대입구,104014,47825,206427,180974,108728,158368,5480,1531,85384,106817,401305,337147
202301,4호선,수유,252777,78279,365473,276499,149732,305054,18900,2655,85528,217081,722678,574514
202301,4호선,숙대입구,46182,65422,123269,124497,99606,86090,2557,537,62254,48311,234262,238767
202301,4호선,신용산,30203,132224,135692,228868,196199,96759,1640,893,106213,35330,273748,397315
202301,4호선,쌍문,273510,44511,320255,191360,89434,254066,20533,1062,43081,191746,657379,428679
202301,4호선,이촌,29185,40658,111509,145966,73944,48585,1195,834,22093,27945,163982,215403
202301,4호선,창동,179441,60368,273637,246253,114157,216108,16093,2614,58004,144933,527175,454168
202301,4호선,총신대입구,108469,63189,199861,199907,99204,169002,5104,895,66293,84966,379727,348957
202301,4호선,충무로,26181,222702,182422,300480,271654,92319,2790,2909,136708,43393,348101,569484
202301,4호선,한성대입구,70339,40374,144567,120762,67845,84930,5636,1034,35107,67787,255649,229957
202301,4호선,혜화,41378,168128,296029,479712,282224,181388,3106,2219,258833,63563,599346,713622
202301,4호선,회현,13677,192653,220729,357734,255849,48849,1338,579,79626,17117,315370,568083
202212,4호선,길음,200414,49660,249304,194095,90206,192172,9240,1961,42492,143732,501450,389448
202212,4호선,남태령,6380,12393,17350,10875,11281,5155,540,75,2484,4382,26754,27725
202212,4호선,노원,127806,48716,214934,228573,97560,205918,11491,602,89288,134182,443519,412073
202212,4호선,당고개,90719,20727,113610,77103,32350,71769,7757,41,14169,62639,226255,160510
202212,4호선,동대문,14164,115385,232586,333667,181987,58868,4631,2257,72074,34216,323455,485525
202212,4호선,동대문역사문화공원,22265,103259,171510,200775,184632,76561,5745,1576,107735,52316,307255,357926
202212,4호선,동작,4300,8911,13471,15395,9881,6410,319,125,3666,4674,21756,29105
202212,4호선,명동,18566,169740,278380,466163,318501,211953,1075,868,239721,81367,537742,718138
202212,4호선,미아,115714,53407,187119,142292,72609,120637,10552,1817,33127,84062,346512,281578
202212,4호선,미아사거리,222592,58345,329016,265025,123749,255289,14795,2311,73656,167274,640059,492955
202212,4호선,사당,175537,71012,322725,241970,141306,243391,9811,1417,136497,131878,644570,446277
202212,4호선,삼각지,19143,39781,54513,81235,53902,55142,700,345,44267,25524,118623,146885
202212,4호선,상계,194507,42870,220071,148920,66251,168743,13391,292,36491,130817,464460,322899
202212,4호선,서울역,32563,130275,112352,247936,131386,123431,4392,801,48296,80833,197603,459845
202212,4호선,성신여대입구,112604,60570,247758,215114,128763,174912,5582,1623,98944,124747,464888,402054
202212,4호선,수유,281567,85121,407506,308475,165522,327268,20831,2848,91436,244736,801340,641180
202212,4호선,숙대입구,50996,73888,154803,153594,112472,100246,2849,915,78954,58355,287602,286752
202212,4호선,신용산,31129,129781,155551,249936,206184,110170,1605,877,116719,41960,305004,422554
202212,4호선,쌍문,300738,52405,353156,212247,99313,272082,22161,1077,46577,217191,722632,482920
202212,4호선,이촌,33095,46623,131326,161518,75383,53233,1251,842,25848,32119,191520,241102
202212,4호선,창동,201428,68259,301083,266805,121948,232990,17240,2742,62070,166930,581821,504736
202212,4호선,총신대입구,118858,68172,221457,219490,106078,184861,5698,955,74579,98585,420592,387202
202212,4호선,충무로,29763,244829,228166,368710,306890,119223,3323,3233,176325,54675,437577,671447
202212,4호선,한성대입구,76838,51356,171687,147591,84266,98010,6417,1047,45720,77076,300662,277070
202212,4호선,혜화,45273,189286,378613,568099,311839,219903,3512,2550,307562,76588,734960,836523
202212,4호선,회현,15396,197990,277404,446584,318291,100602,1872,643,119107,32603,413779,677820
202211,4호선,길음,212584,57237,245171,207899,94200,207246,10224,2117,46722,135346,514701,402599
202211,4호선,남태령,6609,11588,17745,10641,11283,5035,476,80,2372,4281,27202,26590
202211,4호선,노원,136011,53508,207645,212089,92670,209336,12381,557,79097,124731,435134,390885
202211,4호선,당고개,95543,21794,109301,75555,31704,74086,8303,58,13041,58159,226188,155566
202211,4호선,동대문,15263,120241,229964,325451,181401,53362,4519,2419,68226,30926,317972,479037
202211,4호선,동대문역사문화공원,23003,103362,152945,184614,177192,70290,5778,1500,92862,43341,274588,332817
202211,4호선,동작,5173,10477,17177,19673,12468,8841,317,148,5223,5157,27890,35455
202211,4호선,명동,20490,183462,256610,399321,283132,137568,1094,890,166064,56091,444258,639764
202211,4호선,미아,121417,57141,181707,141142,75687,125278,11589,2004,30885,80020,345598,280307
202211,4호선,미아사거리,235174,58374,314411,248989,115792,260577,15746,2435,66822,155498,632153,465296
202211,4호선,사당,191560,81993,314181,222341,137393,233820,10845,1536,118747,124496,635333,430366
202211,4호선,삼각지,20098,41691,51134,75478,54915,51323,796,375,39083,23743,111111,141287
202211,4호선,상계,205078,45089,213051,146911,65103,177243,14159,273,36196,123572,468484,315845
202211,4호선,서울역,34564,141553,107575,240972,139602,114818,4704,964,46316,69818,193159,453307
202211,4호선,성신여대입구,120887,67021,238233,214627,134440,177623,5843,1625,100509,116111,465472,399384
202211,4호선,수유,295264,87488,391786,293483,160985,336991,22804,2736,82543,229607,792397,613314
202211,4호선,숙대입구,52617,81657,161501,167851,120639,99381,2952,578,78227,54824,295297,304910
202211,4호선,신용산,33773,140661,144357,231127,208459,101801,1454,928,105036,37808,284620,410524
202211,4호선,쌍문,313949,51355,339751,202335,93393,282601,24486,1223,42350,204173,720536,459086
202211,4호선,이촌,34709,48656,121426,152807,75709,55095,1190,837,24664,29904,181989,232204
202211,4호선,창동,214329,70473,296022,263989,117771,243359,18802,2729,58297,156145,587450,493336
202211,4호선,총신대입구,128236,72893,221575,216485,102944,189929,6288,897,69190,92753,425289,383028
202211,4호선,충무로,30229,261190,233200,387726,326886,109105,3407,3384,171261,49629,438097,701929
202211,4호선,한성대입구,80984,57794,173971,163743,91953,101095,6796,1058,52737,72067,314488,294662
202211,4호선,혜화,48072,199051,350656,548564,316734,213873,3517,2586,295508,72004,697753,822205
202211,4호선,회현,16423,207093,276029,440662,293939,59947,1802,672,90109,21932,384363,670359
202210,4호선,길음,200545,55774,253135,208456,92731,196799,10575,2216,45262,137283,509517,403729
202210,4호선,남태령,6656,10509,18418,10516,10688,5435,513,81,2410,4381,27997,25487
202210,4호선,노원,127517,53398,214432,219350,95454,201802,12661,573,81928,126068,436538,399389
202210,4호선,당고개,89886,22469,112611,78783,33423,71161,8584,68,14031,59246,225112,160566
202210,4호선,동대문,15761,118542,239898,339690,181865,55616,4650,2448,72275,31967,332584,492647
202210,4호선,동대문역사문화공원,22864,99839,161837,198844,178183,72003,6170,1495,99868,46202,290739,346380
202210,4호선,동작,5022,10361,18874,22287,13709,13893,321,182,12429,6432,36646,39262
202210,4호선,명동,23337,170412,267608,411218,272878,134513,2027,989,156160,62925,449132,645544
202210,4호선,미아,116728,56576,188195,142999,73062,119490,12052,2074,30959,81024,347934,282673
202210,4호선,미아사거리,225293,58716,328483,260610,120076,249449,15832,2332,67746,158807,637354,480465
202210,4호선,사당,175583,83091,322285,228318,137124,218591,11006,1790,117022,129606,625896,442805
202210,4호선,삼각지,19156,34891,54107,79436,46083,51063,894,674,38680,27356,112837,142357
202210,4호선,상계,192234,46255,221486,149478,65466,170301,14615,287,37897,124012,466232,320032
202210,4호선,서울역,34140,137197,108704,240344,127570,115169,4831,1185,46916,75430,194591,454156
202210,4호선,성신여대입구,115472,65165,247944,210617,132020,165096,6115,1583,97007,114153,466538,391518
202210,4호선,수유,281980,85256,404767,300573,158593,322731,22956,2955,84469,234829,794172,623613
202210,4호선,숙대입구,50933,76445,161564,163844,117105,97114,3046,587,83347,56120,298890,296996
202210,4호선,신용산,32404,130057,148449,237059,194099,106030,1495,1083,112318,38718,294666,406917
202210,4호선,쌍문,294895,51129,349235,205001,93890,269331,24629,1277,43446,205672,712205,463079
