사용월,호선명,지하철역,출근시간 승차인원,출근시간 하차인원,09-16시 승차인원,09-16시 하차인원,퇴근시간 승차인원,퇴근시간 하차인원,새벽 승차인원,새벽 하차인원,야간 승차인원,야간 하차인원,총 승차인원,총 하차인원
201811,9호선2단계,봉은사,26309,115201,140567,230317,185909,69151,1579,938,93748,29706,262203,376162
201811,9호선2단계,삼성중앙,14376,44105,48537,66208,66289,29363,905,234,25013,18299,88831,128846
201811,9호선2단계,선정릉,22023,59210,64243,104376,87194,38662,950,803,40270,26398,127486,190787
201811,9호선2단계,언주,17665,60255,84525,120146,102079,41544,1326,588,42327,25839,145843,206828
201811,9호선2단계,종합운동장,58614,18478,70340,50549,42100,56455,2406,467,30090,45938,161450,115432
201810,9호선2단계,봉은사,25938,113094,133446,204114,169325,63031,1883,988,86002,29699,247269,347895
201810,9호선2단계,삼성중앙,14316,43190,48423,67267,63099,27840,1001,289,24469,18149,88209,128895
201810,9호선2단계,선정릉,22066,56845,62747,100966,81453,38158,1027,802,41080,26886,126920,185499
201810,9호선2단계,언주,18243,60346,84870,116040,96463,39350,1475,665,40327,27663,144915,204714
201810,9호선2단계,종합운동장,57240,18269,70099,49428,42940,53165,2567,506,32886,46262,162792,114465
201809,9호선2단계,봉은사,22396,94793,118040,177650,143839,57171,1753,933,74354,26749,216543,300125
201809,9호선2단계,삼성중앙,12675,36832,42908,58156,51471,24356,872,354,21112,16059,77567,111401
201809,9호선2단계,선정릉,18471,46694,55199,84644,67278,31692,1067,734,34234,23454,108971,155526
201809,9호선2단계,언주,16018,53176,73582,96707,81178,34783,1280,596,34483,24104,125363,174583
201809,9호선2단계,종합운동장,48142,14926,61360,43052,33668,45113,2713,466,26383,39841,138598,98285
201808,9호선2단계,봉은사,25174,111360,135279,216862,183847,65800,1984,987,93333,30727,255770,359936
201808,9호선2단계,삼성중앙,14069,43805,46771,67776,65423,28135,972,368,24973,18930,86785,130879
201808,9호선2단계,선정릉,20569,55165,58729,91740,81002,34296,1162,813,38443,26174,118903,173892
201808,9호선2단계,언주,18150,64908,80434,109592,102313,39500,1350,636,40121,28830,140055,203966
201808,9호선2단계,종합운동장,54992,17624,63795,46838,37865,50858,2920,385,30823,42402,152530,107249
201807,9호선2단계,봉은사,26387,117148,141746,232838,193344,67397,1960,1100,98936,31682,269029,382768
201807,9호선2단계,삼성중앙,14606,46536,47537,68051,65193,29039,1018,353,26361,19604,89522,134544
201807,9호선2단계,선정릉,21394,58968,60250,95580,85901,35292,1249,805,40712,27528,123605,182881
201807,9호선2단계,언주,18729,68668,81125,110983,103664,39901,1530,633,41812,28669,143196,208953
201807,9호선2단계,종합운동장,56455,17931,63438,45618,38267,52138,3027,455,29483,43635,152403,107639
201806,9호선2단계,봉은사,24350,101154,124026,192132,156439,58365,1826,974,82291,31055,232493,325315
201806,9호선2단계,삼성중앙,13290,40395,45319,64288,56626,26288,1051,351,24557,18114,84217,123148
