사용월,호선명,지하철역,출근시간 승차인원,출근시간 하차인원,09-16시 승차인원,09-16시 하차인원,퇴근시간 승차인원,퇴근시간 하차인원,새벽 승차인원,새벽 하차인원,야간 승차인원,야간 하차인원,총 승차인원,총 하차인원
201501,3호선,가락시장,52134,37697,115491,89213,59320,60401,2493,397,33354,52590,203472,179897
201501,3호선,경복궁,48919,179570,244171,358375,228046,102466,3107,1612,125697,56377,421894,595934
201501,3호선,경찰병원,55194,42608,89628,75542,47295,51516,2342,190,22598,45751,169762,164091
201501,3호선,고속터미널,101771,183686,717716,908249,479128,459253,8604,5199,398242,191868,1226333,1289002
201501,3호선,교대,22540,82863,140175,143106,141809,54382,1157,861,100084,25067,263956,251897
201501,3호선,구파발,191172,34087,202053,111948,57285,114215,7046,950,22678,120523,422949,267508
201501,3호선,금호,70263,16862,106081,66320,34209,66158,4193,1044,17507,59345,198044,143571
201501,3호선,남부터미널,84520,281398,417449,496715,359711,226314,3026,1166,215488,108029,720483,887308
201501,3호선,녹번,160148,31621,192074,105652,56718,119767,8740,1099,25721,120707,386683,259079
201501,3호선,대곡,10113,3372,13641,9062,6685,7223,613,106,3290,5576,27657,18116
201501,3호선,대청,84793,42031,122043,82954,71800,73031,3671,1061,34414,79057,244921,205103
201501,3호선,대치,65667,53043,137968,140936,84907,76563,2581,918,63515,59864,269731,254761
201501,3호선,대화,136279,36786,161649,104070,62901,79676,6300,1239,29311,83421,333539,225516
201501,3호선,도곡,40191,40139,86820,81247,60028,40709,1762,437,30230,38680,159003,160503
201501,3호선,독립문,41255,32001,104016,94556,41361,47591,5692,672,17743,41907,168706,169136
201501,3호선,동대입구,20549,86490,96219,169842,109187,49030,1503,1148,70487,28041,188758,285521
201501,3호선,마두,46344,33778,113226,111696,52544,57642,3588,1884,24895,48483,188053,195841
201501,3호선,매봉,43293,102401,114360,132686,123171,58542,1708,463,63713,40152,223074,275702
201501,3호선,무악재,43077,9624,57915,36543,17887,39636,2246,297,8454,39182,111692,85646
201501,3호선,백석,59390,52107,130478,118229,74811,72016,3694,2466,44769,60869,238331,233671
201501,3호선,불광,152321,48641,227554,244863,100974,170129,8787,1230,56432,133923,445094,428657
201501,3호선,삼송,100389,31287,144566,83830,45807,89729,5675,731,17720,92289,268350,208137
201501,3호선,수서,81056,73370,145298,118423,87543,88410,4470,975,39067,87759,269891,280527
201501,3호선,신사,47810,185734,270749,522104,332936,229375,5449,1280,294335,90180,618343,799298
201501,3호선,안국,22692,245806,260403,459538,305097,91217,1992,1555,157542,32107,442629,739006
201501,3호선,압구정,65400,261057,385635,708180,398173,216133,4565,2025,286301,82352,741901,1053614
201501,3호선,약수,84666,56283,182591,153036,93967,106206,6524,1074,60643,89847,334424,300240
201501,3호선,양재,108819,422260,381513,511963,446852,230860,5595,2841,269999,147809,765926,1084873
201501,3호선,연신내,378235,69927,501650,339810,169414,368741,24388,1747,117906,339509,1022179,750993
201501,3호선,오금,65629,24272,80478,51311,35731,47874,2851,11,15814,51336,164772,126930
201501,3호선,옥수,75445,28130,137378,100400,53444,93761,2938,1050,29675,83956,245436,213536
201501,3호선,원당,129513,30083,160197,101097,48370,105075,8151,916,22067,106594,319928,238690
201501,3호선,원흥,24916,4371,33794,16671,9236,19260,1328,123,3578,20571,63616,41736
201501,3호선,을지로3가,5755,123318,78641,145302,121363,30001,496,946,59504,9798,144396,279364
201501,3호선,일원,51705,52821,143723,139392,54478,52025,1939,1223,18926,46929,216293,240365
201501,3호선,잠원,43726,24292,74090,58656,34971,43799,1410,1175,16361,38384,135587,122507
201501,3호선,정발산,23758,31569,98773,142578,78927,66882,2214,1093,58728,37872,183473,213112
201501,3호선,종로3가,5646,60516,90283,218767,112722,48274,678,623,56614,18103,153221,298009
201501,3호선,주엽,66254,25256,131136,114775,44927,71911,4597,1408,25509,62052,227496,203491
201501,3호선,지축,11090,3892,17652,12369,4331,11696,204,57,1080,8921,30026,25239
201501,3호선,충무로,1,0,13,0,10,0,0,0,9,0,23,0
201501,3호선,학여울,11159,14547,47199,60609,26391,16299,475,299,11718,11884,70551,87339
201501,3호선,홍제,177335,46543,263971,176322,85181,166906,10155,1262,43736,148539,495197,372666
201501,3호선,화정,153223,51474,251138,218844,92971,176175,10913,1557,67282,147709,482556,419584
201502,3호선,가락시장,43775,30466,99697,77708,49886,50876,2047,337,28328,45875,173847,154386
201502,3호선,경복궁,40599,149579,216110,320462,192753,91227,2589,1310,107604,48826,366902,520177
201502,3호선,경찰병원,45288,35395,76079,64054,39647,42694,1941,135,20085,39875,143393,139459
201502,3호선,고속터미널,88269,170908,651026,849190,446192,420771,8416,4947,380231,185872,1127942,1210917
201502,3호선,교대,18759,69085,115747,115178,114803,45543,931,676,84030,21883,219467,206822
201502,3호선,구파발,158327,31655,178539,103824,51526,94039,6041,856,20485,103709,363392,240044
201502,3호선,금호,59317,14557,91013,59421,30006,55002,3313,877,15839,51484,169482,126339
201502,3호선,남부터미널,71820,237688,367482,435924,306897,204017,2634,1057,192388,97782,634324,772451
201502,3호선,녹번,134697,27415,166409,94070,48393,100072,7439,994,23518,103474,332063,225953
201502,3호선,대곡,8674,2923,12121,8261,5917,6083,522,73,2954,5012,24271,16269
201502,3호선,대청,71678,36156,108753,75420,61755,60803,3185,892,29788,68722,213404,181190
201502,3호선,대치,55482,41841,115473,116312,70071,69225,2225,739,58860,52704,232040,211596
201502,3호선,대화,111840,32018,141139,95198,55115,66291,5191,1185,25626,72069,283796,200470
201502,3호선,도곡,34081,34853,74775,70081,51855,36774,1445,374,27106,33861,137407,139169
201502,3호선,독립문,34704,28518,89636,81531,35516,39982,4875,537,15823,35671,145038,146257
201502,3호선,동대입구,16447,71060,79654,141340,91799,46629,1341,973,63700,24695,161142,238068
201502,3호선,마두,38591,27957,96149,95227,45681,48522,2961,1571,21500,41977,159201,166732
201502,3호선,매봉,36892,85367,97376,109753,101191,49023,1384,438,54541,34602,190193,230160
201502,3호선,무악재,35706,8626,49882,32040,15453,32802,1949,251,7611,33195,95148,74112
201502,3호선,백석,49722,43813,113849,101333,63004,62282,3398,1997,40357,51750,207326,198893
201502,3호선,불광,127881,41888,196005,210463,85671,142148,7808,952,48805,116481,380499,369784
201502,3호선,삼송,84149,26970,128476,78434,40646,74176,4743,623,16058,79771,233426,185798
201502,3호선,수서,68936,61265,125911,99584,73917,75187,3856,909,32939,76721,231642,238479
201502,3호선,신사,40126,150437,230153,439912,280979,197106,4335,1174,248129,77079,522743,668602
201502,3호선,안국,19844,202138,231226,407077,260807,81691,1589,1315,133366,28719,386025,639249
201502,3호선,압구정,53744,211627,323027,582755,324748,184440,3547,1725,239093,71072,619411,867179
201502,3호선,약수,72051,48341,157553,129832,78550,90482,5410,888,52538,78281,287552,257342
201502,3호선,양재,91888,349901,327543,424835,365922,192948,4428,2335,228003,128034,651862,905105
201502,3호선,연신내,317800,62837,439199,302664,150934,310053,20798,1403,105803,298835,883600,665739
201502,3호선,오금,54041,20739,68215,43085,30177,39817,2510,13,13299,44114,138065,107951
201502,3호선,옥수,62960,24613,117704,86401,45946,77145,2505,900,25860,72156,209029,184070
201502,3호선,원당,107157,25580,138207,89322,41904,87267,6863,727,19490,91793,271717,207422
201502,3호선,원흥,24618,4314,32036,16213,9091,18734,1097,108,3806,20516,61557,41151
201502,3호선,을지로3가,5152,99841,67320,118899,97718,26549,372,706,49880,9113,122724,228559
201502,3호선,일원,43003,47166,121736,114368,45815,44138,1655,1145,16934,41100,183328,203779
201502,3호선,잠원,36829,20143,62233,49061,29192,36755,1207,789,14474,33198,114743,103191
201502,3호선,정발산,20025,26235,87538,123840,67061,57958,1818,941,51795,33330,161176,184346
201502,3호선,종로3가,5198,49146,74395,181201,91542,40195,558,531,45405,17104,125556,247982
201502,3호선,주엽,55824,21710,113139,98668,38446,61007,3852,1225,21868,53937,194683,175540
201502,3호선,지축,9582,3212,15497,11133,3654,9730,148,47,941,7625,26168,22017
201502,3호선,충무로,2,0,13,0,7,0,0,0,10,0,25,0
201502,3호선,학여울,9510,18422,50537,62062,25506,13332,400,257,9291,10471,69738,91212
201502,3호선,홍제,148040,40273,228806,156851,75836,139410,8753,1125,38755,128888,424354,327137
201502,3호선,화정,126948,45238,217319,190887,80565,149646,9061,1273,60682,127045,414010,364443
201503,3호선,가락시장,62376,40659,117245,89498,60175,62992,2676,482,34944,58570,217241,189209
201503,3호선,경복궁,56480,234040,273518,403885,271273,114263,3085,1835,149455,61803,482538,701563
201503,3호선,경찰병원,64301,47067,90727,76618,48870,54152,2490,224,24277,51066,181795,174975
201503,3호선,고속터미널,116932,196113,691758,888164,491183,471275,8887,5403,423032,206642,1240609,1296322
201503,3호선,교대,26982,105395,149730,150377,151685,63328,1110,945,118690,28223,296512,284940
201503,3호선,구파발,221588,50896,216192,125881,68155,123737,8056,1278,26601,133464,472437,311519
201503,3호선,금호,84164,18408,106872,69425,35400,70443,4501,1003,19059,65723,214596,154559
201503,3호선,남부터미널,100164,313005,407779,487506,371698,242439,2944,1314,232652,118337,743539,920162
201503,3호선,녹번,187086,36205,194081,112547,59396,128892,9882,1204,27898,131956,418947,281912
201503,3호선,대곡,13948,5274,15254,11227,9020,8322,652,782,4485,6424,34339,23707
201503,3호선,대청,103099,54089,134652,90138,77965,79547,3884,1058,37535,87865,279170,233150
