사용월,호선명,지하철역,출근시간 하차인원,09-16시 승차인원,09-16시 하차인원,퇴근시간 승차인원,퇴근시간 하차인원,새벽 승차인원,새벽 하차인원,야간 승차인원,야간 하차인원,총 승차인원,총 하차인원
201501,7호선,가산디지털단지,597259,233514,468324,620834,116871,6162,3579,314057,57908,605128,1127070
201501,7호선,강남구청,173712,141581,285864,202976,72290,2227,1796,145055,41147,318406,502519
201501,7호선,건대입구,71082,174298,235948,142667,153393,4555,739,153065,85786,374801,393555
201501,7호선,고속터미널,126499,251616,277426,187785,101942,1717,2140,156497,42248,444228,448313
201501,7호선,공릉,39255,145646,112878,62985,103731,5882,1523,40587,95649,293161,249305
201501,7호선,광명사거리,61921,314889,229917,120840,259877,22602,3776,71104,226020,699061,521634
201501,7호선,군자,43746,164220,104825,90497,94683,7004,1071,68167,85490,348652,235132
201501,7호선,굴포천,20861,93353,66996,39170,79893,3904,299,24042,79756,201796,167912
201501,7호선,까치울,10606,59831,35780,21762,44640,2072,303,12077,41345,127109,88034
201501,7호선,남구로,147217,151500,166863,150530,108439,15194,1876,76035,92759,345840,408715
201501,7호선,남성,27122,143117,100648,47364,94637,5690,612,32376,86545,290104,214927
201501,7호선,내방,126906,140570,165346,136000,78166,2575,1713,76880,57546,275727,351511
201501,7호선,노원,71316,269632,307248,141804,186964,6232,2740,119822,122482,497355,503786
201501,7호선,논현,202662,157732,285855,211404,118501,5539,1261,186331,63537,391983,553315
201501,7호선,대림,32528,135371,140598,74404,85648,9369,1118,49441,69334,256000,243578
201501,7호선,도봉산,21496,131994,107154,44139,80129,7287,423,15600,103933,286157,233006
201501,7호선,뚝섬유원지,23345,98564,75038,38517,63374,4957,533,20942,58716,193495,157632
201501,7호선,마들,18139,147283,93691,39645,105029,7813,1590,19239,107657,320461,221077
201501,7호선,먹골,25478,127120,90426,49784,93349,6394,559,28840,86804,259948,203267
201501,7호선,면목,35167,173777,116944,62983,136046,11399,1092,35100,128182,378069,281385
201501,7호선,반포,39328,64663,81256,51384,33778,1073,580,40708,22230,133132,143394
201501,7호선,보라매,54484,105192,99863,66772,67329,5733,1348,39159,56206,210929,211901
201501,7호선,부천시청,40039,115420,122983,73974,105552,4572,1058,64088,80962,272966,245042
201501,7호선,부천종합운동장,18199,54726,35369,24401,39515,2959,588,12502,41984,123402,96140
201501,7호선,부평구청,27727,119655,56983,49096,73866,6417,598,25624,89359,282497,174667
201501,7호선,사가정,41860,198411,137456,77582,152741,10177,1424,51670,137970,413340,318710
201501,7호선,삼산체육관,8030,59230,42470,22447,45845,2634,392,14571,43108,131634,94000
201501,7호선,상도,31960,132983,103482,54986,84635,4533,1218,37122,80384,266607,217044
201501,7호선,상동,44252,141433,157450,84023,112367,4799,1550,75844,88038,311595,291290
201501,7호선,상봉,61384,193598,158813,107132,141139,10157,1501,74717,125757,418826,347455
201501,7호선,수락산,32502,181941,135583,65862,118914,8937,768,31256,125196,359476,294049
201501,7호선,숭실대입구,33612,168907,137492,70509,115701,5706,994,49086,110824,342665,282922
201501,7호선,신대방삼거리,55130,181626,137383,80056,129981,9721,1094,51242,116040,384209,309647
201501,7호선,신중동,54722,140492,136590,87797,111994,4363,1077,64300,92707,310520,285096
201501,7호선,신풍,38317,141180,103478,58008,98761,10650,1430,34162,90890,293795,234115
201501,7호선,어린이대공원,65522,145507,180708,103821,77615,3201,689,78161,63841,288008,310760
201501,7호선,온수,28759,104968,63028,38362,92155,6613,975,20404,97161,266197,189923
201501,7호선,용마산,15851,73492,47192,23994,51834,4440,543,10840,55525,159244,119111
201501,7호선,이수,72913,190412,187763,114240,143643,5130,1085,111129,98230,395942,359991
201501,7호선,장승배기,38754,134147,102141,55635,86225,6845,1323,31568,76322,261981,218540
201501,7호선,장암,3315,19311,10017,9090,5981,898,35,2794,5270,60467,18637
201501,7호선,중계,42754,188551,126235,60882,122101,8715,1589,38828,120122,398387,290700
201501,7호선,중곡,33602,128777,83236,48147,78908,4952,601,23476,76486,249636,193925
201501,7호선,중화,39054,139046,98517,62270,98516,8828,750,35431,95633,290235,233954
201501,7호선,천왕,19572,90995,58512,32946,63955,5493,651,14914,62977,196236,141712
201501,7호선,철산,60091,274820,214798,119012,249297,11157,2356,91749,212614,621126,489859
201501,7호선,청담,291039,188413,337108,278481,96108,5142,3614,163823,67653,410147,699414
201501,7호선,춘의,70615,65176,53065,65309,41583,3229,659,32882,42163,147575,166502
201501,7호선,태릉입구,34490,95868,71163,51247,54642,5839,1183,30991,57417,185028,164253
201501,7호선,하계,47674,250464,188030,96354,165289,7991,1528,59773,156432,500293,393664
201501,7호선,학동,298424,176914,362809,314552,77570,3708,2111,173093,45131,386708,708475
201502,7호선,가산디지털단지,482660,213524,406216,508608,104607,4919,3106,267145,49767,528742,941749
201502,7호선,강남구청,142458,119731,233893,165614,61563,1844,1486,120315,35850,266666,413687
201502,7호선,건대입구,56564,146170,202975,119391,129630,3755,625,131462,75494,317461,335658
201502,7호선,고속터미널,109151,228289,251681,166998,93001,1618,1993,152762,41830,413274,404655
201502,7호선,공릉,35167,129993,101890,54061,86389,4836,1301,35730,82613,255620,220971
201502,7호선,광명사거리,54164,282676,209878,107291,218440,18730,3131,65685,197405,607979,464578
201502,7호선,군자,35636,141806,89062,75913,79386,6013,767,57193,72699,296569,198164
201502,7호선,굴포천,17435,80494,58009,33829,66679,3500,280,21746,69504,173302,145228
201502,7호선,까치울,9237,52283,31653,18924,36288,1823,242,10709,35910,109349,77042
201502,7호선,남구로,122056,138952,150889,127447,92530,12441,1598,67776,80904,306797,355447
201502,7호선,남성,22309,123027,86663,40466,79498,4683,543,28549,74443,247285,183958
201502,7호선,내방,105273,120750,138679,111863,66803,2172,1393,65828,50639,235613,295984
201502,7호선,노원,59415,230157,263138,122284,161869,5238,2278,106011,107302,426252,432133
201502,7호선,논현,164886,134059,234892,172126,98332,4253,1037,154308,55554,328409,456369
201502,7호선,대림,26769,127819,136521,67724,77882,7612,943,47857,64091,235465,228324
201502,7호선,도봉산,19006,115452,96475,40752,66452,6071,378,14106,89766,244778,205625
201502,7호선,뚝섬유원지,20287,83526,61903,32830,54461,4017,359,20014,50943,164875,133492
201502,7호선,마들,17845,130595,83027,34889,86821,6727,1317,17813,92259,277726,194448
201502,7호선,먹골,21638,109724,78031,43084,78042,5446,477,25501,75267,222294,175413
201502,7호선,면목,30763,152793,107653,54345,113880,9646,907,31774,110578,326724,249901
201502,7호선,반포,33875,56388,70782,44642,29793,862,520,36906,19563,116739,124740
201502,7호선,보라매,48453,92670,85755,56143,55895,4649,1061,32952,49246,181381,184515
201502,7호선,부천시청,33277,102314,109583,64631,90906,3729,799,57095,69223,236184,212882
201502,7호선,부천종합운동장,15339,48318,30894,20952,33229,2444,470,10933,36931,106626,83634
201502,7호선,부평구청,24215,105149,51508,42739,62935,5331,530,23740,77729,244531,153982
201502,7호선,사가정,36176,172423,122001,68227,127827,8443,1076,46355,119741,354791,278994
201502,7호선,삼산체육관,7707,52640,39101,19859,36731,2021,334,11750,37204,112473,84346
201502,7호선,상도,25620,114772,91617,46519,70739,3977,1036,32179,68735,228557,187008
201502,7호선,상동,37356,120289,132653,71700,93943,3929,1446,65830,76541,263364,247996
201502,7호선,상봉,51647,170800,140373,91462,119057,8556,1233,65585,109466,361265,302719
201502,7호선,수락산,28212,159056,120125,57571,97948,7605,706,28030,107983,309994,257026
201502,7호선,숭실대입구,25060,143605,122404,59289,97577,5117,894,43206,95794,292114,244152
201502,7호선,신대방삼거리,46877,159479,120648,69551,108686,8234,878,44378,100265,329883,268668
201502,7호선,신중동,47466,121791,115989,75249,91604,3662,885,55408,80416,263494,244756
201502,7호선,신풍,32479,126263,92691,49776,83681,8492,1255,31384,79191,256887,205616
201502,7호선,어린이대공원,51337,120935,152080,83539,66497,2886,551,69654,54319,244429,258287
201502,7호선,온수,27793,94036,58297,33726,76483,5666,843,18671,84210,229080,171143
201502,7호선,용마산,13509,64084,43006,20651,43085,3646,425,9938,48378,136258,105318
201502,7호선,이수,61007,164528,158846,94398,120190,4273,937,93918,86434,337621,307224
201502,7호선,장승배기,32346,115972,89718,47801,72506,5752,1071,28712,66422,225738,189557
201502,7호선,장암,2821,17100,8882,7828,4875,835,70,2469,4402,50809,16175
201502,7호선,중계,38920,166465,113405,53045,101298,7433,1276,32690,103217,342468,256818
201502,7호선,중곡,30403,113908,75141,41471,66302,3956,472,20936,66203,216745,172219
201502,7호선,중화,33729,120751,86192,52919,83296,7312,570,31561,82709,250394,203200
201502,7호선,천왕,18359,81648,53123,28539,54047,4675,639,13787,54799,171361,126920
201502,7호선,철산,51969,239576,186032,102409,209430,9289,1894,80314,182748,530308,422643
201502,7호선,청담,241859,165098,283930,228207,80733,3948,3032,137300,58454,350344,587275
201502,7호선,춘의,59909,58836,45746,54062,35908,2805,729,28885,38182,130554,144566
201502,7호선,태릉입구,27522,80738,60680,42742,45830,4870,872,26540,49326,155553,138400
201502,7호선,하계,43020,218988,164062,84355,140230,6708,1295,54279,134683,431352,343060
201502,7호선,학동,242866,149871,299322,256102,66298,2988,1588,143536,39026,324449,582802
201503,7호선,가산디지털단지,623812,246248,483025,636415,126179,6845,3721,329650,62222,639580,1172780
201503,7호선,강남구청,183146,146272,290276,204696,78007,2273,1905,152071,44968,334874,520295
201503,7호선,건대입구,98131,189072,254737,160031,164509,4523,774,170244,93171,413863,446813
201503,7호선,고속터미널,137541,241499,277571,187245,109401,1747,2437,169412,48368,452617,465917
201503,7호선,공릉,71197,173057,144079,87856,117753,6267,1489,63941,107774,360108,324539
201503,7호선,광명사거리,69857,322951,233805,126641,277970,24745,4188,75215,248197,753575,556047
201503,7호선,군자,47189,169955,106275,93021,99340,7685,933,69874,90872,372971,245269
201503,7호선,굴포천,22999,95221,67331,38970,85830,4600,367,24517,88218,219930,178915
