사용월,호선명,지하철역,출근시간 하차인원,09-16시 승차인원,09-16시 하차인원,퇴근시간 승차인원,퇴근시간 하차인원,새벽 승차인원,새벽 하차인원,야간 승차인원,야간 하차인원,총 승차인원,총 하차인원
201501,경의중앙선,가좌,8175,30825,29453,12863,16942,1074,114,5805,10791,53247,48533
201501,경의중앙선,강매,2629,19680,10315,4648,14189,647,92,1615,15441,42935,28477
201501,경의중앙선,검암,0,1,0,0,0,0,0,0,0,2,0
201501,경의중앙선,계양,0,2,0,3,0,0,0,1,0,5,0
201501,경의중앙선,곡산,3302,5410,4705,3796,2868,116,206,1314,2227,9329,10440
201501,경의중앙선,공덕,19607,15753,20991,18127,10911,327,48,12196,7837,34468,48483
201501,경의중앙선,구리,34541,168954,146266,66577,130602,7620,1278,42639,104632,328056,286717
201501,경의중앙선,국수,1884,11497,10212,2899,3985,352,12,1047,4645,16899,16753
201501,경의중앙선,금릉,14355,54584,38175,22016,38888,2740,239,14597,33489,107321,86258
201501,경의중앙선,금촌,26539,82648,61073,36157,49794,3002,261,17759,42828,151272,130701
201501,경의중앙선,김포공항,0,0,0,0,0,0,0,0,0,0,0
201501,경의중앙선,능곡,8095,38503,27248,13112,26616,1287,257,7042,23658,79849,59258
201501,경의중앙선,덕소,12615,84686,58435,22990,56376,4154,768,12028,55162,157783,126980
201501,경의중앙선,도농,20117,117153,61696,33388,69631,6542,1041,12885,71260,223906,154114
201501,경의중앙선,도심,6995,30493,19482,9055,16476,1289,265,3695,15366,61682,42108
201501,경의중앙선,디지털미디어시티,6381,20217,16791,11645,12197,738,178,7347,9752,37972,33102
201501,경의중앙선,망우,19264,97466,77189,35930,69606,5869,578,17391,51042,188782,148073
201501,경의중앙선,문산,20540,84232,65947,30354,44747,4487,14,11407,41642,145612,128143
201501,경의중앙선,백마,17476,64279,41334,24712,50177,2357,793,12371,45947,143196,105550
201501,경의중앙선,상봉,13057,62573,49930,24600,46816,5274,940,15913,39476,129810,103403
201501,경의중앙선,서강대,7806,16284,20222,10368,7976,244,13,10270,4667,30854,32708
201501,경의중앙선,서울역,48157,26075,27794,43761,12089,694,7,18664,5140,52000,81098
201501,경의중앙선,수색,11802,16537,19956,13204,9086,701,151,6262,5643,31226,37552
201501,경의중앙선,신원,597,3650,2626,1241,890,56,30,217,919,4772,4172
201501,경의중앙선,신촌,10966,6415,9472,8364,4438,248,13,5865,1731,13816,22182
201501,경의중앙선,아신,1671,10130,7497,3114,4472,305,40,1115,5704,16100,14912
201501,경의중앙선,양수,3915,25418,20574,7240,11960,549,148,3264,10012,38896,34649
201501,경의중앙선,양원,10027,23429,19234,7729,11800,1419,149,2944,9413,41177,38823
201501,경의중앙선,양정,5294,8942,6683,6707,3840,341,145,1491,3087,15306,15209
201501,경의중앙선,양평,10611,54697,45844,17378,23811,1634,52,9438,22369,86068,78876
201501,경의중앙선,오빈,932,4667,2958,1021,2105,227,5,326,2223,7283,6118
201501,경의중앙선,용문,5113,47879,49011,11803,15079,836,6,2925,11196,62964,65326
201501,경의중앙선,운길산,2468,14221,16951,7207,3975,177,56,2328,3159,20139,22634
201501,경의중앙선,운정,15171,56491,32718,20949,40558,2594,173,8108,41350,120321,89412
201501,경의중앙선,원덕,638,5074,3445,1219,2170,293,4,291,1895,7433,5982
201501,경의중앙선,월롱,19960,18260,13709,17915,10567,391,4,7006,13603,32183,47276
201501,경의중앙선,일산,18965,92276,68272,31526,70706,4264,973,16304,71126,205314,159336
201501,경의중앙선,중랑,11684,74667,51076,23127,54757,4943,425,13268,45218,149369,108403
201501,경의중앙선,탄현,17741,81342,53470,29579,65222,4265,534,17755,65063,180843,136808
201501,경의중앙선,파주,4565,13878,7748,7088,4947,531,1,1649,4367,22957,16681
201501,경의중앙선,팔당,1823,9568,13181,4722,2550,161,50,1336,1399,13570,16453
201501,경의중앙선,풍산,9679,48062,36085,17728,31285,1626,259,11764,32492,96171,78515
201501,경의중앙선,행신,16189,70369,44286,25660,61288,2037,890,15830,53248,159605,114613
201501,경의중앙선,홍대입구,6073,6769,22039,8082,12100,332,42,12466,6453,21437,34607
201501,경의중앙선,화전,6158,18575,19709,11040,7326,383,153,5481,6531,30251,32551
201501,경의중앙선,회기,94286,343034,284756,160318,217166,11365,3070,118696,198861,646928,580973
201502,경의중앙선,가좌,7689,28442,26907,11959,15520,934,133,5310,10477,49530,45206
201502,경의중앙선,강매,2458,17683,9635,4462,12415,573,86,1568,13611,38481,25790
201502,경의중앙선,검암,0,1,0,3,0,0,0,0,0,1,0
201502,경의중앙선,계양,0,2,0,1,0,0,0,0,0,2,0
201502,경의중앙선,곡산,2598,4659,4217,3012,2589,109,165,1141,1913,8254,8893
201502,경의중앙선,공덕,16064,14495,17840,15423,10373,242,35,10626,7748,31185,41687
201502,경의중앙선,구리,29798,149035,128210,59205,110885,6415,1127,38254,91875,284263,251010
201502,경의중앙선,국수,2498,10967,9644,3511,3587,287,10,953,4035,15771,16187
201502,경의중앙선,금릉,12442,48757,33464,20030,33517,2298,229,12696,29950,93866,76085
201502,경의중앙선,금촌,22258,75157,56469,31742,43155,2702,230,15702,38674,134570,117631
201502,경의중앙선,김포공항,0,1,0,1,0,0,0,1,0,2,0
201502,경의중앙선,능곡,7079,35515,25582,11666,22896,1246,260,6286,21496,70976,54417
201502,경의중앙선,덕소,11472,73745,51486,20683,48238,3545,664,10725,47803,135847,111425
201502,경의중앙선,도농,17858,102130,54967,30101,57901,5560,913,11994,61879,192086,135617
201502,경의중앙선,도심,6563,26257,16872,7918,13412,1110,205,3557,13588,52836,37228
201502,경의중앙선,디지털미디어시티,5676,18618,15461,10331,11284,617,157,6657,9235,34954,30529
201502,경의중앙선,망우,16633,86810,68303,31794,58378,4979,470,15581,44442,164050,129848
201502,경의중앙선,문산,18949,73286,55650,26813,39005,3758,16,10706,38512,127199,113127
201502,경의중앙선,백마,15784,57536,36260,21936,41870,2045,698,11146,40596,124817,93338
201502,경의중앙선,상봉,11609,55525,45478,21710,39830,4548,726,14182,34722,113342,92535
201502,경의중앙선,서강대,7453,14832,18261,9723,7501,211,17,9333,4792,28174,30523
201502,경의중앙선,서울역,38738,23259,25066,35019,10698,653,4,15480,4515,45047,68323
201502,경의중앙선,수색,11303,15309,18486,12303,8242,556,120,5907,5379,28593,35288
201502,경의중앙선,신원,586,3397,2622,1155,854,63,22,194,808,4499,4038
201502,경의중앙선,신촌,8836,5720,8371,7143,3968,188,7,5180,1611,12198,18825
201502,경의중앙선,아신,1489,9667,7428,3073,4127,256,34,1078,5134,14850,14085
201502,경의중앙선,양수,3749,23412,18768,6993,10316,486,93,2572,9240,35243,31850
201502,경의중앙선,양원,11766,21477,15783,6355,9990,1183,151,2561,7883,36276,35583
201502,경의중앙선,양정,4212,7859,5918,5387,3205,256,141,1344,2705,13222,12976
201502,경의중앙선,양평,9189,49712,42279,16376,22674,1381,44,8810,20452,78150,71964
201502,경의중앙선,오빈,768,4051,2691,966,1932,223,5,313,1920,6496,5384
201502,경의중앙선,용문,5290,41729,40388,11622,13717,802,5,2820,10558,55460,56241
201502,경의중앙선,운길산,1969,12645,15808,6918,3441,150,32,2021,2910,17874,20719
201502,경의중앙선,운정,12812,49478,29271,17786,34461,2373,155,7277,36430,104385,78668
201502,경의중앙선,원덕,708,4995,3581,1301,1971,255,2,250,1624,7182,5915
201502,경의중앙선,월롱,16836,17152,14041,15280,8984,406,3,6380,12385,29869,43265
201502,경의중앙선,일산,18512,82889,61293,27930,60540,3639,842,15434,62064,179918,142711
201502,경의중앙선,중랑,10315,65539,44780,20651,46015,4087,329,11575,40017,130103,95441
201502,경의중앙선,탄현,15869,71810,47750,26918,54564,3718,449,16192,56898,156158,120966
201502,경의중앙선,파주,4231,13793,7612,6786,4527,465,1,1629,4090,22133,15934
201502,경의중앙선,팔당,1535,8707,12762,4669,2340,139,48,1324,1254,12424,15599
201502,경의중앙선,풍산,8979,42788,31255,15630,26489,1483,234,10378,28698,84355,69166
201502,경의중앙선,행신,14028,62400,39932,22336,51412,1686,689,14168,46531,137850,101180
201502,경의중앙선,홍대입구,4165,6363,20172,7354,11123,244,22,10042,6049,18435,30408
201502,경의중앙선,화전,5040,16026,17084,9434,6396,320,168,4581,5412,26166,27704
201502,경의중앙선,회기,80960,303012,260425,142416,185962,9704,2450,105397,171967,562836,515802
201503,경의중앙선,가좌,12028,36301,35350,16857,21890,1300,180,7954,14362,69569,61920
201503,경의중앙선,강매,3383,22658,12220,5681,17347,847,111,1928,20248,55129,35962
201503,경의중앙선,검암,0,0,0,0,0,0,0,1,0,4,0
