사용월,호선명,지하철역,출근시간 하차인원,09-16시 승차인원,09-16시 하차인원,퇴근시간 승차인원,퇴근시간 하차인원,새벽 승차인원,새벽 하차인원,야간 승차인원,야간 하차인원,총 승차인원,총 하차인원
201501,수인분당선,가천대,28165,84666,80479,36938,58632,4118,1001,18977,67720,157418,177365
201501,수인분당선,강남구청,61828,77085,127241,85125,50563,903,568,47440,28436,143960,218073
201501,수인분당선,개포동,11919,49244,37740,19960,31883,1261,319,12756,31183,91744,81161
201501,수인분당선,구룡,12181,27827,18163,9605,13820,671,331,3420,12284,44322,42959
201501,수인분당선,구성,14341,65082,38447,20109,51712,2097,485,8999,47651,128807,100924
201501,수인분당선,기흥,23722,83392,53072,38414,55334,3077,549,20487,60398,163187,137741
201501,수인분당선,남동인더스파크,35414,11358,10179,23101,5306,533,210,8629,4034,24453,49837
201501,수인분당선,달월,700,554,445,1173,174,0,12,97,117,745,1274
201501,수인분당선,대모산입구,14314,47850,33317,19557,28356,2111,390,8717,29590,96468,77611
201501,수인분당선,도곡,40096,68017,73746,51306,37294,1001,988,24539,29489,114687,144319
201501,수인분당선,망포,64539,108543,76603,92039,77967,3030,1976,50671,83504,238387,226622
201501,수인분당선,매교,9106,28001,21096,12257,20283,2302,247,5111,16610,56684,47059
201501,수인분당선,매탄권선,13042,46140,28995,22460,30944,1683,582,11012,33830,91883,76449
201501,수인분당선,모란,69223,309062,242443,126851,186193,12410,3260,71023,166507,565214,481433
201501,수인분당선,미금,85331,290194,260141,142417,183640,6604,636,87851,154532,509130,500640
201501,수인분당선,보정,9068,40354,20702,12684,19478,1109,125,5952,18455,75457,48350
201501,수인분당선,복정,0,2,0,0,0,0,0,1,0,3,0
201501,수인분당선,상갈,15769,65255,36177,26004,40008,2407,397,8402,43803,116761,96146
201501,수인분당선,서울숲,24139,58000,43300,33716,38547,2115,253,14792,34898,116636,102590
201501,수인분당선,서현,121133,281787,389458,235369,199814,5590,3071,197850,109299,568020,622961
201501,수인분당선,선릉,186151,58222,208352,104200,60387,1158,1125,65173,27752,135234,423380
201501,수인분당선,선정릉,91459,76001,140235,112456,38397,1133,739,57642,22565,150835,254998
201501,수인분당선,소래포구,7958,48898,51743,21927,25628,1312,295,13553,18338,85715,78334
201501,수인분당선,송도,9979,35226,30606,15776,26970,1506,310,7906,21326,73433,62221
201501,수인분당선,수내,79430,148573,191740,119333,82045,2577,1393,88893,53574,287006,326137
201501,수인분당선,수서,51488,88744,73389,58369,55632,3069,1895,28329,51286,168159,178058
201501,수인분당선,수원,19633,86917,55612,55779,52954,4715,498,52364,36296,202825,112039
201501,수인분당선,수원시청,48237,97129,119431,75842,85091,4415,666,66127,63810,208494,232144
201501,수인분당선,신갈,8623,62952,37419,17089,38730,2378,241,7307,40107,116389,86390
201501,수인분당선,압구정로데오,87078,111037,256547,156317,88577,2479,577,130118,30537,258493,374739
201501,수인분당선,야탑,132119,325934,333365,202803,212768,7101,3539,131251,157851,601628,626874
201501,수인분당선,연수,10556,34562,36057,22549,25061,1119,181,13756,19619,71695,66413
201501,수인분당선,영통,34108,90215,99189,64606,61438,2123,1039,51592,53124,177860,187460
201501,수인분당선,오리,64302,199255,145401,100499,100037,5135,405,61306,91958,380916,302066
201501,수인분당선,원인재,10776,43458,34226,18785,32363,2125,473,12103,32541,87828,78016
201501,수인분당선,월곶,5686,25637,18657,10839,17374,1122,151,5683,14279,50235,38773
201501,수인분당선,이매,19355,65614,53028,27908,35828,2449,903,15714,31636,117588,104922
201501,수인분당선,인천논현,21735,52710,50772,31101,38131,1593,244,22861,26033,102615,98784
201501,수인분당선,정자,99511,175911,195501,129876,125022,4096,890,91764,100091,347142,395993
201501,수인분당선,죽전,59800,266785,235306,121229,202177,6457,619,82201,199356,515549,495081
201501,수인분당선,청명,13128,49055,33391,23361,30616,1548,699,10692,33625,96893,80843
201501,수인분당선,태평,29289,190950,120378,55350,127687,12553,2532,28640,132305,376299,284504
201501,수인분당선,한티,69425,143072,198434,112795,89203,1689,884,94781,54582,281106,323325
201501,수인분당선,호구포,33421,23939,20821,24701,14824,795,262,14391,10680,51209,65184
201502,수인분당선,가천대,20214,64145,65631,30915,48615,3528,819,18412,57159,126856,143823
201502,수인분당선,강남구청,51135,65679,105815,70893,42971,760,501,39749,24468,122106,181919
201502,수인분당선,개포동,10508,43278,33666,17380,27074,1184,268,11392,26783,79299,71225
201502,수인분당선,구룡,10445,24871,16230,8415,11924,555,360,3200,10481,38878,37516
201502,수인분당선,구성,12392,56337,34519,18254,42832,1781,370,7999,40655,109524,87936
201502,수인분당선,기흥,19869,75214,48923,33705,47955,2542,450,19090,54649,144419,123891
201502,수인분당선,남동인더스파크,28606,11388,9303,18388,4691,452,165,7350,4142,22783,42216
201502,수인분당선,달월,1014,433,383,1107,146,1,6,67,104,612,1507
201502,수인분당선,대모산입구,12519,41830,29216,17147,24620,1892,309,7681,26133,83894,68177
201502,수인분당선,도곡,34647,58552,61430,42821,31837,817,823,21536,25279,98783,122179
201502,수인분당선,망포,52974,96094,66762,75767,66094,2501,1592,42622,72949,204712,194277
201502,수인분당선,매교,8722,25568,18681,11303,17317,1931,193,4513,14702,49853,42298
201502,수인분당선,매탄권선,11543,41960,25538,19201,26055,1363,478,9716,29746,80493,67305
201502,수인분당선,모란,58742,270332,209022,109298,158066,10431,2764,63978,143775,489025,414303
201502,수인분당선,미금,72659,249912,219809,121588,156398,5558,582,76854,134894,434714,427944
201502,수인분당선,보정,8415,34628,17965,11598,15912,855,94,5154,15887,63394,42361
201502,수인분당선,복정,0,1,0,2,0,0,0,0,0,2,0
201502,수인분당선,상갈,13905,57468,32741,23380,34160,1857,334,7989,38713,102422,85693
201502,수인분당선,서울숲,20199,50122,38535,28894,32642,1766,238,12680,30121,99510,89093
201502,수인분당선,서현,100802,243566,332633,200491,172249,4654,2705,171815,96625,488327,532765
201502,수인분당선,선릉,151200,49614,167199,83795,51235,1005,1054,51252,24009,110965,343462
201502,수인분당선,선정릉,76114,69238,117731,92321,34304,900,626,48149,20321,132300,214792
201502,수인분당선,소래포구,6902,42471,44498,19557,22981,1150,230,12229,16680,75177,68310
201502,수인분당선,송도,8872,31708,26275,13387,22801,1263,325,7331,19118,63968,54590
201502,수인분당선,수내,64902,127122,160447,98214,71971,2112,1267,76325,46416,244668,273032
201502,수인분당선,수서,42159,76907,63327,48897,46665,2685,1635,24377,44631,145235,151752
201502,수인분당선,수원,16051,77961,49261,51110,45550,3921,416,48464,32062,179126,97790
201502,수인분당선,수원시청,39347,84573,102819,64836,73508,3581,506,56501,55792,178719,198464
201502,수인분당선,신갈,7390,54070,32644,15138,32727,2083,204,6724,34885,98946,75123
201502,수인분당선,압구정로데오,71762,96370,216347,131581,75817,2098,470,110685,26423,221631,315002
201502,수인분당선,야탑,111770,282978,287880,174952,179699,6050,2952,112619,136901,515056,539503
201502,수인분당선,연수,9101,30073,30070,18591,21250,944,168,11896,17150,61815,56489
201502,수인분당선,영통,28392,79202,86027,54838,52551,1719,782,45044,46925,154423,162126
201502,수인분당선,오리,54054,170560,126211,85242,84229,4316,372,52579,78843,322797,259480
201502,수인분당선,원인재,9416,38210,30715,16443,28015,1692,427,11075,28457,76683,69015
201502,수인분당선,월곶,4793,22134,16487,10084,14036,838,140,5122,12555,42784,33975
201502,수인분당선,이매,17430,57275,46653,24660,31260,1932,768,14396,26870,101361,91721
201502,수인분당선,인천논현,18603,46466,44289,26518,32943,1409,277,20194,23612,89695,86781
201502,수인분당선,정자,80126,150387,159337,105108,106777,3602,786,77272,87216,295109,327465
201502,수인분당선,죽전,50317,229063,208589,107021,172307,5508,480,73624,173524,438419,432910
201502,수인분당선,청명,11356,42650,28430,20107,26170,1239,620,9280,28905,82183,69311
201502,수인분당선,태평,25489,167373,105663,49085,109580,10414,1938,26231,113869,323954,246959
201502,수인분당선,한티,59065,121572,164606,93550,78504,1470,733,83010,47342,241481,271746
201502,수인분당선,호구포,26903,21375,17567,19873,12496,718,243,11751,9790,44067,54503
201503,수인분당선,가천대,71187,144468,219234,94424,74128,4697,1025,68537,76518,272651,367964
201503,수인분당선,강남구청,66991,83836,132785,89009,56409,1000,583,50831,32592,159860,232951
201503,수인분당선,개포동,15066,54810,41350,21339,36892,1519,380,14219,36744,107360,93540
201503,수인분당선,구룡,18659,33452,20219,14421,16730,786,398,5496,15670,56972,54946
201503,수인분당선,구성,16224,66637,41256,21905,55373,2154,399,9978,52946,143069,110825
201503,수인분당선,기흥,40531,101473,82585,56723,64361,3323,542,33535,69850,209308,193508
201503,수인분당선,남동인더스파크,36149,13050,10912,23233,5256,539,271,9008,4592,27034,51924
201503,수인분당선,달월,1487,443,512,1600,199,13,11,75,167,711,2177
201503,수인분당선,대모산입구,17161,51493,35522,21258,31994,2432,357,9097,34154,110034,87194
201503,수인분당선,도곡,46777,72580,71298,49469,41730,969,956,26177,33424,128077,152455
201503,수인분당선,망포,73475,113157,78714,94629,88552,2915,1925,53137,96264,270357,250378
201503,수인분당선,매교,15341,28729,21854,15852,23036,2492,180,7927,18854,65574,56229
201503,수인분당선,매탄권선,17602,46463,30117,25267,36537,1731,621,12315,39396,106729,87736
201503,수인분당선,모란,81075,334473,262980,139420,202238,13489,3583,78539,182598,629093,530236
201503,수인분당선,미금,98145,293921,258720,146498,196637,6971,639,92582,168678,538747,526182
201503,수인분당선,보정,13617,39932,20772,15708,19969,962,104,8103,20306,81507,54799
201503,수인분당선,복정,0,4,0,2,0,0,0,1,0,7,0
201503,수인분당선,상갈,19930,65750,40281,29937,43578,2346,317,10326,49742,130995,110270
201503,수인분당선,서울숲,28709,69455,65379,47081,44236,2398,277,18508,39405,139144,133770
201503,수인분당선,서현,135031,283066,369885,233451,208578,5334,3083,196289,120738,583496,628737
201503,수인분당선,선릉,199331,62901,210339,108038,67579,1298,1376,67131,31140,145332,442186
201503,수인분당선,선정릉,101407,87534,150073,117624,45446,1196,818,61045,25802,170260,278100
201503,수인분당선,소래포구,8405,55233,60182,24114,30210,1343,272,13856,21948,102486,90807
201503,수인분당선,송도,17052,40804,41835,21901,31189,1571,384,12685,25025,91187,84296
201503,수인분당선,수내,85170,145784,186789,116555,89032,2574,1543,92273,59170,295750,332672
201503,수인분당선,수서,59448,95882,78124,63295,61333,3337,1975,30393,58567,190123,198114
201503,수인분당선,수원,26239,97976,58584,63024,57411,4577,447,60487,40737,236534,126007
201503,수인분당선,수원시청,52320,100925,120324,75678,88698,3775,672,64915,64991,219918,238307
201503,수인분당선,신갈,9653,60102,37376,17734,41499,2500,234,8098,44450,122847,91713
201503,수인분당선,압구정로데오,97120,118531,261815,162014,93705,2408,625,135095,33694,274219,393254
201503,수인분당선,야탑,152279,335671,339103,213957,228686,7619,3560,135358,173543,639080,668485
201503,수인분당선,연수,13492,36950,34755,22788,28443,1161,210,14207,22696,81823,71153
201503,수인분당선,영통,49841,98339,111849,73970,68976,2001,908,61722,61444,206438,224042
201503,수인분당선,오리,71453,204276,148621,104006,105385,5398,362,62682,98599,403182,319035
201503,수인분당선,원인재,14270,45949,37768,19793,37273,2269,520,13383,37664,99646,90222
201503,수인분당선,월곶,6135,29028,22079,13217,19607,949,165,6031,17070,59347,45449
201503,수인분당선,이매,27413,67984,54328,33804,40505,2303,910,19395,34920,129673,117571
201503,수인분당선,인천논현,26026,53307,50803,31543,44255,1672,328,25164,29983,114056,107140
201503,수인분당선,정자,107479,177530,191232,129835,134969,4097,980,96064,110833,367257,410524
201503,수인분당선,죽전,85044,283372,267085,147818,218945,6802,549,103845,220607,582299,573285
201503,수인분당선,청명,17786,48488,34072,26294,34607,1485,659,12633,38301,107726,90818
201503,수인분당선,태평,32285,194652,122953,57737,137778,13522,2371,30007,142504,399722,300113
201503,수인분당선,한티,82108,146514,186199,107195,102267,1874,855,98234,63805,304700,332967
201503,수인분당선,호구포,34712,24254,19720,24802,15305,968,295,13643,12278,54562,67005
201504,수인분당선,가천대,61845,137713,212528,84670,70633,4840,1066,68555,74100,267048,349539
201504,수인분당선,강남구청,69918,84113,134531,91192,55718,1149,606,51209,32102,160952,237157
201504,수인분당선,개포동,15438,53714,39603,20464,35419,1612,343,14319,35308,106007,90692
201504,수인분당선,구룡,19649,33932,20543,13308,16039,827,367,5626,14801,57627,55360
201504,수인분당선,구성,16366,66313,39907,21382,54258,2238,452,9604,51097,144592,107822
201504,수인분당선,기흥,37407,97226,80519,53394,61311,3399,558,32542,67727,204330,186211
