사용월,호선명,지하철역,출근시간 승차인원,출근시간 하차인원,09-16시 승차인원,09-16시 하차인원,퇴근시간 승차인원,퇴근시간 하차인원,새벽 승차인원,새벽 하차인원,야간 승차인원,야간 하차인원,총 승차인원,총 하차인원
202304,1호선,동대문,44094,41009,156719,171377,69531,63118,11352,2223,46531,49915,258696,264524
202304,1호선,동묘앞,22187,37540,161850,193591,70599,35355,2942,996,17288,25131,204267,257258
202304,1호선,서울역,127270,390406,560533,613914,500389,253706,8355,9010,254878,133341,951036,1146671
202304,1호선,시청,22120,288474,202007,320388,317135,69067,2276,4365,146232,30056,372635,643283
202304,1호선,신설동,62708,87736,156197,150995,111225,76614,8675,2292,41763,53091,269343,294114
202304,1호선,제기동,65019,67338,254086,293010,104774,75169,5630,2077,31352,42686,356087,405111
202304,1호선,종각,22100,388820,261126,456633,456204,118043,3800,4917,258853,33381,545879,883751
202304,1호선,종로3가,19540,107616,291734,422894,246958,106435,4039,2918,161966,35024,477279,568452
202304,1호선,종로5가,20030,154045,299819,396098,239155,90856,2026,3702,102663,28465,424538,582310
202304,1호선,청량리,102064,76473,276111,286703,119810,121877,11900,3645,46386,66014,436461,432835
202303,1호선,동대문,46953,42837,159928,174690,71629,64687,12278,2646,48439,50566,267598,270739
202303,1호선,동묘앞,23080,39867,168400,203423,72006,36815,3129,1026,17742,24608,212351,268924
202303,1호선,서울역,131032,402867,558420,621942,517472,263819,9137,8757,256993,135819,955582,1169385
202303,1호선,시청,23930,310052,205761,332172,340710,71188,2509,4586,151485,30948,383685,677758
202303,1호선,신설동,65967,94615,162808,160313,120633,82023,9534,2320,44788,54003,283097,311251
202303,1호선,제기동,68022,69626,270663,316766,113550,81836,5934,2007,33990,44601,378609,433000
202303,1호선,종각,22024,428980,275501,484918,493870,130405,3787,5316,284430,32119,585742,951333
202303,1호선,종로3가,19148,115887,313482,459925,269538,113714,3981,2984,174458,35459,511069,614255
202303,1호선,종로5가,20308,165785,317485,427460,258963,96073,2078,4081,109866,29804,449737,627130
202303,1호선,청량리,106805,80178,291862,302429,129055,129717,12258,3856,49550,69457,460475,455920
202302,1호선,동대문,36377,35286,140423,151783,63418,55008,10834,1945,39886,42510,227520,231524
202302,1호선,동묘앞,19145,25265,140439,175176,57350,30438,2746,829,14575,21211,176905,222481
202302,1호선,서울역,112981,353362,523490,578931,470751,243444,7745,7745,233515,122508,877731,1062546
202302,1호선,시청,18470,271590,171913,291191,303685,62939,2291,3869,134507,23955,327181,590605
202302,1호선,신설동,54431,79155,142440,144174,106032,71271,8097,2170,37756,46720,242724,272219
202302,1호선,제기동,56701,60030,238173,279686,100911,70559,4976,1602,29389,39229,329239,380547
202302,1호선,종각,18131,382837,250253,454242,450687,118970,3160,4728,265356,28720,536900,870527
202302,1호선,종로3가,14994,101798,279518,418713,242278,99201,3557,2699,150939,28350,449008,551560
202302,1호선,종로5가,15882,143681,269492,372732,233779,83841,1641,3331,95419,22780,382434,542524
202302,1호선,청량리,89051,65501,251990,258469,108736,112039,10624,3339,40415,60057,392080,387366
202301,1호선,동대문,35596,31669,142241,148437,62338,55082,10116,1802,37910,42540,225863,224448
