사용월,호선명,지하철역,출근시간 승차인원,출근시간 하차인원,09-16시 승차인원,09-16시 하차인원,퇴근시간 승차인원,퇴근시간 하차인원,새벽 승차인원,새벽 하차인원,야간 승차인원,야간 하차인원,총 승차인원,총 하차인원
202304,경의선,가좌,59982,17349,68623,59884,25037,52842,3108,179,12554,29817,144267,107229
202304,경의선,강매,44948,5982,36424,18250,8473,31494,1996,235,2353,24241,85721,48708
202304,경의선,계양,2,0,1,0,0,0,0,0,0,0,3,0
202304,경의선,곡산,4627,4701,6729,6230,4809,4461,257,121,1174,2743,12787,13795
202304,경의선,공덕,12491,29081,37328,31333,35534,18750,722,93,22934,12093,73475,72600
202304,경의선,금릉,50158,19608,57967,43505,27370,46428,2864,183,11230,33133,122219,96429
202304,경의선,금촌,49912,29780,82511,66232,39719,51795,3764,304,14827,38024,151014,134340
202304,경의선,능곡,44144,11564,48478,33191,15310,34540,3307,443,6377,27343,102306,72541
202304,경의선,디지털미디어시티,27626,8545,33459,23584,14484,25749,1120,462,6859,17424,69064,50015
202304,경의선,문산,39776,25581,67958,53225,31283,39367,3727,16,9675,31902,121136,110724
202304,경의선,백마,79110,19662,75486,47748,25797,67348,4523,880,11181,49226,170300,117516
202304,경의선,서강대,8963,14324,25448,30836,17980,12746,557,105,13087,8210,48055,53475
202304,경의선,서울,7577,75413,27474,55238,62759,15268,567,2,17445,5631,53063,136284
202304,경의선,수색,10134,30005,25118,28345,28697,12240,1095,539,8160,7124,44507,66013
202304,경의선,신촌,1579,11464,7814,15504,10766,4807,199,8,4831,1826,14423,28802
202304,경의선,야당,81590,17601,85647,69771,32268,94824,5129,393,32977,55694,205343,143459
202304,경의선,운정,80505,23537,77054,50937,28911,64811,4563,450,10236,43176,172358,118100
202304,경의선,운천,0,0,112,88,55,56,0,0,0,0,112,88
202304,경의선,월롱,5108,25935,25440,18811,30233,8189,555,12,7306,11450,38409,56208
202304,경의선,일산,109842,29427,111626,76869,35444,98493,7980,739,14858,66421,244306,173456
202304,경의선,임진강,0,0,366,792,509,49,0,0,0,0,366,792
202304,경의선,탄현,91182,19284,84929,52298,27768,82619,6379,590,13329,54551,195819,126723
202304,경의선,파주,7697,9164,18814,12838,12298,5382,769,8,2095,5291,29375,27301
202304,경의선,풍산,55411,14761,68025,49034,23368,50932,4108,351,12475,39368,140019,103514
202304,경의선,행신,87808,22407,86744,64987,31980,90348,3976,1607,24141,52041,202669,141042
202304,경의선,홍대입구,4076,10121,17161,36393,19256,17747,364,138,19028,9170,40629,55822
202304,경의선,화전,10985,13435,39084,45025,21285,11641,684,453,10049,10035,60802,68948
202304,경의선,효창공원앞,15756,26979,32865,35358,28911,20406,741,207,11882,15173,61244,77717
202303,경의선,가좌,63660,18864,73168,62974,26893,56230,3167,185,12848,31614,152843,113637
202303,경의선,강매,48423,6283,37419,18705,8855,34061,2048,209,2467,25503,90357,50700
202303,경의선,계양,4,0,0,0,1,0,0,0,0,0,4,0
202303,경의선,곡산,4870,5021,6766,6512,4957,4675,264,75,1157,2696,13057,14304
202303,경의선,공덕,13009,31416,37331,32617,37766,19849,635,91,24482,12085,75457,76209
202303,경의선,금릉,52621,21452,60021,44261,28578,50121,3033,334,11725,34225,127400,100272
202303,경의선,금촌,52671,31343,83443,68692,43096,55056,3841,296,15331,38567,155286,138898
202303,경의선,김포공항,0,0,1,0,1,0,0,0,1,0,2,0
202303,경의선,능곡,47218,11716,49471,32775,15947,36386,3464,464,5840,28554,105993,73509
202303,경의선,디지털미디어시티,29191,8635,34524,23950,15287,28062,1123,410,6779,18580,71617,51575
