사용월,호선명,지하철역,출근시간 승차인원,출근시간 하차인원,09-16시 승차인원,09-16시 하차인원,퇴근시간 승차인원,퇴근시간 하차인원,새벽 승차인원,새벽 하차인원,야간 승차인원,야간 하차인원,총 승차인원,총 하차인원
202304,과천선,경마공원,5860,21141,54103,176903,135984,9945,314,474,6223,4264,66500,202782
202304,과천선,과천,65709,16570,86288,51451,24451,59509,2729,368,8412,45591,163138,113980
202304,과천선,대공원,2246,28874,88218,152005,62657,9222,90,300,20282,2291,110836,183470
202304,과천선,범계,207821,97251,280965,262630,148585,250927,8143,3496,107004,137699,603933,501076
202304,과천선,선바위,41998,57283,88062,71970,72202,42842,948,1184,22895,29837,153903,160274
202304,과천선,인덕원,180201,159140,263430,200354,175104,207823,8301,4399,72858,138804,524790,502697
202304,과천선,정부과천청사,47938,114780,108525,91467,102061,61878,2046,869,32586,37126,191095,244242
202304,과천선,평촌,130256,131451,159333,137286,131769,121886,4483,3330,53639,75961,347711,348028
202303,과천선,경마공원,5902,18622,46211,145902,111085,7120,364,499,3327,4206,55804,169229
202303,과천선,과천,70503,16779,88271,51742,24708,62376,2853,392,8397,48426,170024,117339
202303,과천선,대공원,2157,19139,58426,97773,39756,4891,125,289,8375,1815,69083,119016
202303,과천선,범계,224824,102868,285605,271458,159773,271410,8014,3318,113787,145309,632230,522953
202303,과천선,선바위,45673,61892,90123,70731,77628,44339,915,1295,23173,31962,159884,165880
202303,과천선,인덕원,192867,172494,269529,206872,191981,220352,8263,5012,76418,147990,547077,532368
202303,과천선,정부과천청사,51417,123748,110159,94609,110694,65033,2033,939,34981,38898,198590,258194
202303,과천선,평촌,140526,142430,163382,142465,143694,130066,4437,3354,57601,81458,365946,369707
202302,과천선,경마공원,4822,16044,39988,132361,102444,6369,328,407,3060,3632,48198,152444
202302,과천선,과천,56622,13933,78727,46126,22288,53797,2570,351,7258,42791,145177,103201
202302,과천선,대공원,1691,14879,44762,80200,33967,3665,75,228,8487,1428,55015,96735
202302,과천선,범계,181468,89275,252852,242918,144915,229145,7061,2781,106521,128053,547902,463027
202302,과천선,선바위,37785,51968,76651,60163,67766,38724,810,1192,20000,27395,135246,140718
202302,과천선,인덕원,158552,150509,235036,178355,170264,191142,7012,4006,68462,130927,469062,463797
202302,과천선,정부과천청사,41692,105140,96609,82451,97257,55805,1709,894,31054,34739,171064,223224
202302,과천선,평촌,115655,122898,142948,126312,128655,111726,3893,2722,50699,71671,313195,323603
202301,과천선,경마공원,4777,13552,34363,104209,79571,5958,280,363,2798,3428,42218,121552
202301,과천선,과천,55551,13783,77335,44516,22186,53084,2486,347,7271,42179,142643,100825
202301,과천선,대공원,1691,14657,35456,57935,26537,3112,108,240,5034,1257,42289,74089
202301,과천선,범계,179703,90089,243143,239146,143738,225092,7366,2750,107379,122478,537591,454463
202301,과천선,선바위,36688,51976,73014,57044,65396,37293,813,1106,19220,26579,129735,136705
202301,과천선,인덕원,157057,146666,224283,173908,163925,188263,6767,3455,65901,126584,454008,450613
202301,과천선,정부과천청사,41174,104177,93901,81102,96753,55630,1564,907,30388,33890,167027,220076
202301,과천선,평촌,113210,121646,138606,125869,127301,110168,3818,2620,50536,68758,306170,318893
202212,과천선,경마공원,5265,16366,40790,128985,100419,6662,422,411,3187,3924,49664,149686
202212,과천선,과천,59835,15977,85775,50593,25209,56629,2510,350,8255,49014,156375,115934
202212,과천선,대공원,1869,18343,48168,64201,24830,3010,72,326,3668,1539,53777,84409
202212,과천선,범계,192119,95996,275532,265310,156055,244643,8554,3084,113543,140103,589748,504493
202212,과천선,선바위,40499,56026,84314,68325,71705,41704,959,1112,22286,31484,148058,156947
202212,과천선,인덕원,166752,153611,253726,198861,175708,205613,7200,3415,76432,146093,504110,501980
202212,과천선,정부과천청사,43706,104250,110292,94427,102329,61084,1751,986,34348,38727,190097,238390
202212,과천선,평촌,120171,126255,158440,142074,134028,121170,4112,2776,57488,78985,340211,350090
202211,과천선,경마공원,5770,17658,45804,138854,105611,6871,400,444,2982,3635,54956,160591
202211,과천선,과천,64492,17541,81614,49797,23193,58933,2859,343,7848,43661,156813,111342
202211,과천선,대공원,2150,22577,68826,108284,38653,4140,96,337,7862,1483,78934,132681
202211,과천선,범계,207642,100524,266535,255230,149224,252790,8775,3768,101453,128044,584405,487566
202211,과천선,선바위,44542,58278,87656,70638,75229,44126,1121,1235,20968,29527,154287,159678
202211,과천선,인덕원,181406,163078,247985,201798,180144,210888,7941,3976,69535,134025,506867,502877
202211,과천선,정부과천청사,48638,106490,103656,89999,104684,62191,2005,1074,33647,38777,187946,236340
202211,과천선,평촌,129899,132770,154778,139716,137307,126358,4544,2774,53956,73530,343177,348790
202210,과천선,경마공원,5359,20182,51011,167326,130271,6977,407,504,4047,3735,60824,191747
202210,과천선,과천,61362,17174,86920,52766,24272,56868,2878,364,8272,44428,159432,114732
202210,과천선,대공원,2552,46874,102038,167715,62486,6480,106,415,21670,2157,126366,217161
202210,과천선,범계,200523,97015,281664,270575,148967,245038,8875,3549,104042,132527,595104,503666
202210,과천선,선바위,42753,54073,92662,72320,70348,43697,1164,1090,21944,30708,158523,158191
202210,과천선,인덕원,175665,151359,265453,205948,168964,207263,8301,3953,70114,137364,519533,498624
202210,과천선,정부과천청사,47673,99256,107824,90897,95693,61710,2262,993,29799,36675,187558,227821
202210,과천선,평촌,122282,121936,157949,139938,126384,119330,4532,2769,52819,73949,337582,338592
202209,과천선,경마공원,5384,16242,36674,116500,91481,6201,405,495,3242,3500,45705,136737
202209,과천선,과천,61630,16133,77427,46992,23403,54961,2620,377,8056,42192,149733,105694
202209,과천선,대공원,2770,29399,61583,123217,48046,6809,91,471,29086,2047,93530,155134
202209,과천선,범계,195306,94809,250641,241699,141540,236120,8094,3307,99280,125024,553321,464839
202209,과천선,선바위,42272,52671,83266,62972,66366,42656,949,1175,20076,29548,146563,146366
202209,과천선,인덕원,169165,151250,233738,183490,165998,195644,7593,3479,64807,128925,475303,467144
202209,과천선,정부과천청사,48375,100208,99250,84221,97136,59872,2179,1033,29360,35571,179164,221033
202209,과천선,평촌,120535,122150,142537,127518,125743,114701,4162,2671,50341,69915,317575,322254
202208,과천선,경마공원,5328,12287,30233,134091,73609,11605,440,370,51680,3768,87681,150516
202208,과천선,과천,59594,15905,76631,47254,23147,54811,2556,353,8364,42024,147145,105536
202208,과천선,대공원,2585,20439,41262,72961,33537,6834,95,510,15135,1629,59077,95539
