사용월,호선명,지하철역,출근시간 승차인원,출근시간 하차인원,09-16시 승차인원,09-16시 하차인원,퇴근시간 승차인원,퇴근시간 하차인원,새벽 승차인원,새벽 하차인원,야간 승차인원,야간 하차인원,총 승차인원,총 하차인원
202304,신림선,관악산,13047,19044,46674,59661,21814,10984,748,671,5806,9748,66275,89124
202304,신림선,당곡,34964,11873,53040,39295,21304,38917,1899,224,10715,25580,100618,76972
202304,신림선,대방,18857,9004,34461,21430,14870,16558,1587,361,8827,12664,63732,43459
202304,신림선,보라매,23454,19678,41980,28430,23393,27387,1604,286,11612,17575,78650,65969
202304,신림선,보라매공원,13475,13366,26104,24701,13856,16191,503,408,4373,9708,44455,48183
202304,신림선,보라매병원,17338,64340,71287,78937,65797,26363,834,561,17411,14191,106870,158029
202304,신림선,샛강,4874,39350,19163,33178,34394,11392,330,726,14086,4813,38453,78067
202304,신림선,서울대벤처타운,80978,19092,113685,70311,37467,80052,5225,222,19775,65484,219663,155109
202304,신림선,서울지방병무청,24961,9776,37143,28070,10849,26421,959,357,4890,18506,67953,56709
202304,신림선,서원,37227,3992,42757,20441,9429,29202,2033,199,4346,26107,86363,50739
202304,신림선,신림,12091,4688,20106,23886,8669,24552,886,178,6149,14012,39232,42764
202303,신림선,관악산,13207,19603,49793,64060,22867,11337,659,600,5674,10111,69333,94374
202303,신림선,당곡,36335,13181,54482,40728,22266,41101,1974,186,10931,26876,103722,80971
202303,신림선,대방,19570,9320,34284,21893,15574,17228,1596,325,9406,12954,64856,44492
202303,신림선,보라매,24735,20058,41277,28194,24036,28752,1482,255,12309,17804,79803,66311
202303,신림선,보라매공원,14233,14162,24719,21819,13250,16264,471,456,4354,10055,43777,46492
202303,신림선,보라매병원,17682,70601,72266,80594,70569,26868,811,640,17615,14195,108374,166030
202303,신림선,샛강,5078,41823,18901,32285,35923,11408,345,770,14455,4963,38779,79841
202303,신림선,서울대벤처타운,84121,17924,115581,71291,38604,83760,5378,251,19538,67259,224618,156725
202303,신림선,서울지방병무청,26572,11454,38652,29330,11230,27591,1114,332,5212,19358,71550,60474
202303,신림선,서원,38748,3910,43539,20620,9764,30027,2145,203,4770,27086,89202,51819
202303,신림선,신림,12534,4751,20396,24112,8747,25250,912,158,6100,13827,39942,42848
202302,신림선,관악산,10843,10112,36643,42157,13853,8995,638,400,3496,8062,51620,60731
202302,신림선,당곡,30395,11910,48454,36459,20912,36964,1759,201,10124,23778,90732,72348
202302,신림선,대방,15087,7963,29289,19311,14321,15269,1275,301,8562,11252,54213,38827
202302,신림선,보라매,20160,13913,35030,25956,21205,24737,1207,256,10695,15929,67092,56054
202302,신림선,보라매공원,10808,11071,20863,18233,11271,13542,370,386,3702,8830,35743,38520
202302,신림선,보라매병원,14487,65347,66156,74882,66293,24293,760,509,16183,12594,97586,153332
202302,신림선,샛강,3733,36724,15353,27339,31662,9483,339,584,12389,4099,31814,68746
202302,신림선,서울대벤처타운,68131,14760,98898,62755,33602,71889,4556,223,15964,56048,187549,133786
202302,신림선,서울지방병무청,20882,8533,34424,26025,10309,24253,890,319,4470,16610,60666,51487
202302,신림선,서원,33701,3459,38650,18382,8871,26906,1942,133,3751,23654,78044,45628
202302,신림선,신림,10565,4140,17996,21234,7955,22333,724,124,5695,12120,34980,37618
202301,신림선,관악산,10334,9757,30864,33302,12479,9127,577,327,3291,7518,45066,50904
202301,신림선,당곡,29790,11487,47299,35891,20731,36187,1531,230,10155,23560,88775,71168
202301,신림선,대방,14506,7722,26046,17809,13583,14592,1115,258,7727,10479,49394,36268
202301,신림선,보라매,19766,14273,35008,24935,20613,24189,1077,244,10525,15593,66376,55045
202301,신림선,보라매공원,10473,11008,20309,17315,11206,13360,309,332,3446,8533,34537,37188
202301,신림선,보라매병원,14366,64881,63385,71180,65040,22477,705,602,14958,12270,93414,148933
202301,신림선,샛강,3677,36869,14364,25760,30851,8827,298,575,11728,3718,30067,66922
202301,신림선,서울대벤처타운,63731,14596,95264,63070,34016,69571,4395,255,16061,54074,179451,131995
202301,신림선,서울지방병무청,20298,7745,31255,23834,10151,23533,778,345,4282,16311,56613,48235
202301,신림선,서원,33125,3594,38466,18527,9436,26927,1851,107,3940,23144,77382,45372
202301,신림선,신림,10134,3497,16794,19531,7760,20655,679,94,5461,11466,33068,34588
202212,신림선,관악산,11087,12311,33705,35878,12755,9957,579,340,4224,8322,49595,56851
202212,신림선,당곡,31445,11811,50613,38647,22092,38238,1508,136,11190,24625,94756,75219
202212,신림선,대방,15638,8578,29730,19951,15081,15468,1178,229,10301,11544,56847,40302
202212,신림선,보라매,21017,17232,39330,26772,21781,25601,1001,285,11612,16740,72960,61029
202212,신림선,보라매공원,11703,12033,22213,18448,11855,13725,312,316,3581,9393,37809,40190
202212,신림선,보라매병원,15729,68343,70736,79332,71323,26223,750,594,17343,13792,104558,162061
202212,신림선,샛강,3982,39961,15416,27873,32142,10288,350,572,12441,4095,32189,72501
202212,신림선,서울대벤처타운,65643,14667,101363,65138,35404,72028,4487,155,15992,58660,187485,138620
202212,신림선,서울지방병무청,21785,8497,33551,25407,11092,25546,677,311,4765,18605,60778,52820
202212,신림선,서원,34956,3712,40817,19867,9968,28337,1979,100,4165,25176,81917,48855
202212,신림선,신림,11639,4127,19337,23132,9018,23384,748,126,6350,13077,38074,40462
202211,신림선,관악산,11814,15186,45616,55663,17088,9984,660,556,4156,8083,62246,79488
202211,신림선,당곡,31922,11056,46777,34524,19043,36229,1377,104,9244,21967,89320,67651
202211,신림선,대방,16139,9199,29071,19512,15205,15755,1154,234,8459,9922,54823,38867
202211,신림선,보라매,21168,17824,37164,24207,20834,24513,1202,245,10135,14725,69669,57001
202211,신림선,보라매공원,11679,11842,22087,19480,11393,13896,404,307,3552,8199,37722,39828
202211,신림선,보라매병원,16104,64523,66190,75092,68613,24977,838,544,15759,12200,98891,152359
202211,신림선,샛강,4407,40190,16010,28835,33728,10284,346,627,12179,4002,32942,73654
202211,신림선,서울대벤처타운,65987,15477,94725,61681,31668,71175,4656,158,14667,53504,180035,130820
202211,신림선,서울지방병무청,21585,9989,32411,24789,10288,24351,687,299,4142,16034,58825,51111
202211,신림선,서원,34372,3755,37726,18688,8508,26967,2058,94,3648,21961,77804,44498
202211,신림선,신림,11605,4032,18734,21399,7926,22697,682,161,5287,11936,36308,37528
202210,신림선,관악산,11225,17007,51831,64164,18982,10451,625,669,4896,8336,68577,90176
202210,신림선,당곡,29362,10045,47020,34695,19213,33584,1424,147,8917,21653,86723,66540
202210,신림선,대방,14558,8022,29338,19217,14479,14137,1184,225,9021,10097,54101,37561
202210,신림선,보라매,18993,15610,36457,24097,18671,22605,1239,230,9704,14398,66393,54335
202210,신림선,보라매공원,10734,10736,23197,20030,11372,13460,369,338,3712,8677,38012,39781
202210,신림선,보라매병원,14756,58136,63800,70895,61580,23720,867,539,15186,12367,94609,141937
