사용월,호선명,지하철역,출근시간 승차인원,출근시간 하차인원,09-16시 승차인원,09-16시 하차인원,퇴근시간 승차인원,퇴근시간 하차인원,야간 승차인원,야간 하차인원
202304,경부선,가산디지털단지,40958,220894,109903,183248,221209,76798,69063,47078
202304,경부선,관악,83555,21687,87549,68190,31587,71476,14031,45759
202304,경부선,광명,26076,17030,36862,35381,28159,26900,14722,12134
202304,경부선,구로,96246,116424,176691,192386,135867,114884,54504,84338
202304,경부선,군포,48264,83727,60885,47756,71272,39716,19510,25533
202304,경부선,금정,230217,154614,284653,225043,176855,247162,79356,167635
202304,경부선,금천구청,111349,50531,129516,99032,55359,112234,22633,64359
202304,경부선,남영,39064,90038,95107,112480,89764,59469,48451,36534
202304,경부선,노량진,50782,28965,97070,91014,52110,89209,51117,44052
202304,경부선,당정,61998,28925,71007,53501,33955,53131,13816,40100
202304,경부선,대방,70555,82006,114827,108395,78146,81486,29597,54504
202304,경부선,독산,114549,159169,152676,139922,163459,111078,41895,77935
202304,경부선,두정,46795,40733,100860,109927,52185,61830,25947,44616
202304,경부선,명학,61106,94218,82568,75648,81996,51283,27733,34555
202304,경부선,병점,136062,68566,193436,151823,90154,144625,39307,107074
202304,경부선,서동탄,19454,4055,13428,8997,5460,14183,2036,10187
202304,경부선,서울역,32367,16552,114513,28069,57462,21535,51901,10293
202304,경부선,서정리,48377,53621,101311,77221,81390,59520,26389,46094
202304,경부선,석수,94458,34722,103132,70629,43436,82056,16947,53339
202304,경부선,성균관대,156548,45790,166770,136513,69721,152745,42200,100201
202304,경부선,성환,17939,39897,85280,82060,47790,24470,13503,23290
202304,경부선,세류,36562,11429,34222,26659,15931,30354,7074,21049
202304,경부선,세마,27528,17732,33862,22686,17975,25721,6248,17259
202304,경부선,송탄,35542,19823,61193,42354,27527,41504,12197,34287
202304,경부선,수원,190060,173201,422044,532712,279161,325574,222382,167751
202304,경부선,신길,69597,53692,91706,63509,60721,55596,23243,43075
202304,경부선,신도림,24009,23996,37063,41154,29212,31761,14577,16334
202304,경부선,안양,200003,92974,294925,289482,133261,220212,80207,121115
202304,경부선,영등포,118792,219013,410517,588765,374976,278565,257158,121696
202304,경부선,오산,73347,58821,130654,107219,69989,88597,29871,55612
202304,경부선,오산대,33151,18838,47942,39623,24391,34088,9816,19864
202304,경부선,용산,63640,283254,386930,565926,391646,224582,291331,91224
202304,경부선,의왕,71195,76914,95461,72003,67257,65208,21490,45039
202304,경부선,직산,5957,8067,10305,8724,8408,6049,2167,4415
202304,경부선,진위,7744,20799,16537,11472,21338,7415,4197,5447
202304,경부선,천안,30331,28534,110948,101877,53631,54162,22571,28773
202304,경부선,평택,78646,56852,180388,179987,91683,117160,60755,64121
202304,경부선,평택지제,27727,35007,44321,32338,38983,27618,16797,21817
202304,경부선,화서,105351,26927,88087,62869,32872,91560,13678,53588
202303,경부선,가산디지털단지,41097,240370,112429,192197,239918,81193,76123,48190
202303,경부선,관악,89272,22841,91310,70339,33639,76026,14102,48476
202303,경부선,광명,27752,17560,36511,35070,29228,28084,14297,12551
202303,경부선,구로,101570,124695,180924,198388,144788,122203,57160,88017
202303,경부선,군포,51254,90348,62440,49031,77460,41875,19804,26351
202303,경부선,금정,247501,165368,288900,229001,187046,263904,83514,175840
202303,경부선,금천구청,119619,53312,133441,100724,58620,120248,23106,67452
202303,경부선,남영,41403,96558,98640,118523,98450,64696,52014,37636
202303,경부선,노량진,54154,31570,97491,90248,53353,92672,52108,45101
202303,경부선,당정,67174,32046,75004,58184,38188,57203,14780,42653
202303,경부선,대방,76041,89200,121604,113467,84211,87665,31882,57899
202303,경부선,독산,122960,174565,154795,146431,179455,119326,45656,80581
202303,경부선,두정,49671,48160,106461,117743,59675,67555,29939,46368
202303,경부선,명학,65228,101826,87333,80659,89478,55960,29177,36554
202303,경부선,병점,144973,76001,200041,158497,100760,154955,42568,113043
202303,경부선,서동탄,20744,4191,13717,9203,5602,15080,1982,10548
202303,경부선,서울역,33944,16543,114595,26840,58907,22715,49943,10536
202303,경부선,서정리,50649,56862,101611,78851,89123,62204,27533,47455
202303,경부선,석수,99789,36368,107924,72261,46064,87751,17257,56335
202303,경부선,성균관대,170520,50270,172542,143173,78025,166551,47432,109574
202303,경부선,성환,18513,43225,88470,88475,52737,26136,14925,23346
202303,경부선,세류,38700,11246,33437,25579,16237,31509,7097,22069
202303,경부선,세마,29919,18700,34911,23197,19572,28135,6428,18142
202303,경부선,송탄,37064,20979,61882,42860,29219,43425,12585,35223
202303,경부선,수원,203768,184263,430841,546803,300058,352224,233669,173724
202303,경부선,신길,74453,56287,94480,64326,64380,59659,24433,44398
202303,경부선,신도림,25362,26280,38745,41953,32026,34352,15777,16216
202303,경부선,안양,215354,101453,309107,304472,142626,238374,84599,128623
202303,경부선,영등포,122828,227672,417635,612104,391085,297309,270212,120373
202303,경부선,오산,79363,62281,133082,108179,73603,95292,30770,57950
202303,경부선,오산대,35957,20603,48071,38019,25156,36889,10492,20964
202303,경부선,용산,63821,282339,383508,573150,411512,232062,294679,88625
202303,경부선,의왕,77534,80625,97835,72917,72296,71224,22720,47750
202303,경부선,직산,6107,8632,10683,8537,8791,6640,2410,4621
202303,경부선,진위,8323,22469,16723,12413,23745,7886,4681,5564
202303,경부선,천안,31229,29538,113558,105177,57046,56958,23732,29498
202303,경부선,평택,83378,59494,183250,183465,97937,125179,62706,66247
202303,경부선,평택지제,29199,37675,44631,32681,43378,29405,17759,22718
202303,경부선,화서,112817,26890,90087,62297,33251,97551,13591,57351
202302,경부선,가산디지털단지,33960,213051,97907,175552,218303,71433,67741,42029
202302,경부선,관악,72671,18503,76278,58396,27982,64729,11570,41358
202302,경부선,광명,23930,15465,33121,32369,26427,25206,13795,11328
202302,경부선,구로,83447,108868,159786,176802,130934,104973,50846,75193
202302,경부선,군포,42581,80310,53168,41296,69775,36639,17713,22864
202302,경부선,금정,201996,141988,249649,197497,165633,224151,74581,153030
202302,경부선,금천구청,95860,46372,116253,86919,53172,101925,20392,57173
202302,경부선,남영,33947,70611,80297,91386,84200,55321,41316,32579
202302,경부선,노량진,42994,27392,84834,79525,46615,80479,45195,39468
202302,경부선,당정,53557,25259,57386,37768,28883,46884,11186,36717
202302,경부선,대방,59854,77958,98725,95701,76272,72875,28186,47694
202302,경부선,독산,100325,157597,131193,128290,165965,102330,41816,68987
202302,경부선,두정,35042,17969,66235,64483,36129,48847,17458,35609
202302,경부선,명학,55242,82269,66135,53461,71026,47901,21821,31651
202302,경부선,병점,105478,51659,154809,107435,75091,118311,32668,96539
202302,경부선,서동탄,16721,3728,12286,7726,4887,12389,1698,9282
202302,경부선,서울역,30187,15783,114767,27466,54593,21446,50058,9478
202302,경부선,서정리,37260,41413,85234,62385,67692,51234,24042,41842
202302,경부선,석수,81341,30277,89679,60818,40131,73949,14940,48393
202302,경부선,성균관대,137368,32185,135869,107107,58191,139643,35155,90826
202302,경부선,성환,14258,18938,43604,35194,25397,19452,6614,17171
202302,경부선,세류,30869,9697,28843,21872,14482,26400,6182,19198
202302,경부선,세마,20777,15333,31182,19462,16652,21492,5469,16114
202302,경부선,송탄,29055,15957,52699,36595,24966,35681,10839,30326
202302,경부선,수원,157092,131529,349360,464716,242462,289925,209044,148891
202302,경부선,신길,63018,47047,81439,56751,56017,51691,20240,38599
