사용월,호선명,지하철역,출근시간 승차인원,출근시간 하차인원,09-16시 승차인원,09-16시 하차인원,퇴근시간 승차인원,퇴근시간 하차인원,새벽 승차인원,새벽 하차인원,야간 승차인원,야간 하차인원,총 승차인원,총 하차인원
202304,경원선,가능,60437,26963,81142,59398,28955,55819,8378,2038,13380,39501,163337,127900
202304,경원선,광운대,71819,31219,100770,95326,40536,64371,8541,1092,24515,50287,205645,177924
202304,경원선,녹양,42759,17053,56422,39802,20953,39274,5439,736,7702,29737,112322,87328
202304,경원선,녹천,50355,11700,54325,31974,13673,37553,5262,681,6345,26513,116287,70868
202304,경원선,덕계,49756,15645,48663,30159,16309,39202,4080,1027,5252,24761,107751,71592
202304,경원선,덕정,48179,36874,79455,59192,35420,44232,3600,1591,12012,31816,143246,129473
202304,경원선,도봉,49142,17383,74734,60774,25374,46554,7416,1424,8829,30198,140121,109779
202304,경원선,도봉산,52146,16100,119050,97631,43988,29123,6723,983,12036,19045,189955,133759
202304,경원선,동두천,14991,19372,34855,33862,14377,14473,1202,758,3558,11744,54606,65736
202304,경원선,동두천중앙,22821,16649,40970,33864,16710,20254,2471,571,4959,14746,71221,65830
202304,경원선,망월사,70268,33666,117259,105911,42701,72082,8436,1208,19153,49230,215116,190015
202304,경원선,방학,84649,35210,121478,96282,44345,85063,13250,1892,20304,52732,239681,186116
202304,경원선,보산,10349,6847,21504,14063,10302,12051,1574,449,2886,10210,36313,31569
202304,경원선,서빙고,9614,18477,27954,24999,19283,11706,1185,704,7748,7252,46501,51432
202304,경원선,석계,63814,18999,101428,79598,32841,90886,8134,1888,21782,58076,195158,158561
202304,경원선,소요산,9440,8187,54278,53221,15600,9214,1029,626,2516,5553,67263,67587
202304,경원선,신이문,91083,16429,101629,63572,25096,77150,10130,2424,10041,52818,212883,135243
202304,경원선,양주,68079,29654,102352,67163,37023,63414,6836,1699,10730,48492,187997,147008
202304,경원선,옥수,194,413,541,678,905,180,0,38,138,25,873,1154
