사용월,호선명,지하철역,출근시간 승차인원,출근시간 하차인원,09-16시 승차인원,09-16시 하차인원,퇴근시간 승차인원,퇴근시간 하차인원,새벽 승차인원,새벽 하차인원,야간 승차인원,야간 하차인원,총 승차인원,총 하차인원
202304,경인선,간석,56138,16811,68241,51109,23364,52011,6005,1323,12368,35023,142752,104266
202304,경인선,개봉,228929,48295,257657,186948,82006,221364,20210,5789,41203,139029,547999,380061
202304,경인선,구일,62367,29464,86947,91626,47865,76910,4294,1716,35970,38058,189578,160864
202304,경인선,도원,19196,30917,41518,30715,22642,21426,2715,1103,8454,13615,71883,76350
202304,경인선,도화,38775,12713,50484,37460,17603,32532,4946,695,6973,23083,101178,73951
202304,경인선,동암,157047,37632,187691,137024,61737,160164,19914,3530,33253,114842,397905,293028
202304,경인선,동인천,96452,68832,168346,158262,100051,99266,8431,2439,34884,66205,308113,295738
202304,경인선,백운,66844,17570,83703,59642,24208,62827,8066,1462,11171,45276,169784,123950
202304,경인선,부개,95192,20489,103572,71698,29327,81501,12249,1615,13044,56838,224057,150640
202304,경인선,부천,255195,81187,374874,346901,154860,307563,41242,4477,101110,186344,772421,618909
202304,경인선,부평,200857,67372,319067,335270,153498,303112,30396,5540,125312,170728,675632,578910
202304,경인선,소사,74118,28199,105313,89350,35340,71210,14983,3202,14702,52336,209116,173087
202304,경인선,송내,243685,124247,276873,218444,152908,239971,18639,8935,67221,159319,606418,510945
202304,경인선,역곡,283630,65099,321596,259770,111376,285846,29764,2818,61790,181624,696780,509311
202304,경인선,오류동,122748,21918,144097,95135,38686,111669,13117,1803,18897,77529,298859,196385
202304,경인선,온수,54275,28323,87933,61782,31488,55807,5632,1228,15190,37098,163030,128431
202304,경인선,인천,15035,18107,55801,62319,39861,13080,1623,986,11511,8774,83970,90186
202304,경인선,제물포,89524,55154,127474,94648,58215,82668,8424,2365,21400,60820,246822,212987
202304,경인선,주안,148410,57813,222727,167835,101621,156407,15134,4375,63591,114437,449862,344460
202304,경인선,중동,99393,21181,104685,76101,31982,85447,12146,1083,14809,57312,231033,155677
202303,경인선,간석,59940,17829,69695,52428,25196,54763,6134,1345,12755,36692,148524,108294
202303,경인선,개봉,243147,50552,266293,193520,87487,236045,20702,5749,42541,144650,572683,394471
202303,경인선,구일,66373,32839,93145,85377,42121,65085,4448,1571,15450,39457,179416,159244
202303,경인선,도원,20146,33312,46858,34179,24149,20185,2720,1024,5798,14228,75522,82743
202303,경인선,도화,41765,13557,52398,38807,18765,34792,4808,549,7106,23966,106077,76879
202303,경인선,동암,168490,39930,191057,142736,65704,170769,20459,3652,34136,118027,414142,304345
202303,경인선,동인천,102314,73281,171913,157773,105938,104676,8588,2917,34417,68636,317232,302607
202303,경인선,백운,72222,18888,87506,62769,24890,67629,8072,1601,11377,46514,179177,129772
202303,경인선,부개,101923,21328,105607,72829,31079,87872,12630,1593,13273,58320,233433,154070
202303,경인선,부천,273104,87542,386662,359352,164358,329520,43254,4476,106378,193556,809398,644926
202303,경인선,부평,214006,70011,323287,345461,161541,325034,31656,5825,133683,174447,702632,595744
202303,경인선,소사,78230,29652,107992,89127,37481,76860,15774,3302,14891,54169,216887,176250
202303,경인선,송내,261560,132730,286233,226581,162545,256460,18880,9389,68948,166733,635621,535433
202303,경인선,역곡,301000,69593,333524,272417,122739,305234,31105,2788,66278,190811,731907,535609
202303,경인선,오류동,131502,22600,150227,98209,41064,118474,13595,1690,18848,83741,314172,206240
202303,경인선,온수,57280,30500,91415,64087,35058,59320,5978,1319,15205,39597,169878,135503
202303,경인선,인천,15924,19318,51464,55422,37120,12497,1623,1077,10246,8838,79257,84655
202303,경인선,제물포,95748,59796,131372,98178,63438,87574,8668,2530,22259,64083,258047,224587
202303,경인선,주안,158102,63105,229773,178242,111621,167729,15961,4480,69086,118506,472922,364333
202303,경인선,중동,106467,22003,108981,79848,34326,91460,12782,1211,15269,61078,243499,164140
202302,경인선,간석,47280,12962,62290,45444,22109,45803,5373,1138,10754,32054,125697,91598
202302,경인선,개봉,202262,42394,232425,166763,75803,205529,17263,4603,37613,127102,489563,340862
202302,경인선,구일,55312,19638,63636,43046,24949,53980,3883,1251,9187,35028,132018,98963
202302,경인선,도원,15977,13297,32763,27147,13957,16916,2298,801,4782,12440,55820,53685
202302,경인선,도화,32471,10381,45563,32675,15498,28872,4089,454,6023,20799,88146,64309
202302,경인선,동암,138251,33987,169670,123013,58741,146288,17696,2961,31439,104503,357056,264464
202302,경인선,동인천,82155,58003,148901,138722,92023,89426,7319,2540,30738,60345,269113,259610
202302,경인선,백운,57577,14452,75490,52884,21358,57234,6979,1372,9540,39694,149586,108402
202302,경인선,부개,82132,15793,91632,63147,26714,73107,10651,1490,11451,50325,195866,130755
202302,경인선,부천,234903,60026,331002,311402,140489,289499,36817,4047,90186,169968,692908,545443
202302,경인선,부평,178494,58930,293073,322775,148310,284363,27168,4851,127683,154156,626418,540712
202302,경인선,소사,66817,19979,92300,71306,28544,65575,13808,2491,11324,47247,184249,141023
202302,경인선,송내,216917,105364,246908,193942,138882,217410,15799,7847,60137,145271,539761,452424
202302,경인선,역곡,252780,46092,269749,195360,86446,261419,27231,2786,47073,164479,596833,408717
202302,경인선,오류동,106915,19014,129338,85217,35471,100665,11650,1482,16840,68557,264743,174270
