사용월,호선명,지하철역,출근시간 승차인원,출근시간 하차인원,09-16시 승차인원,09-16시 하차인원,퇴근시간 승차인원,퇴근시간 하차인원,새벽 승차인원,새벽 하차인원,야간 승차인원,야간 하차인원,총 승차인원,총 하차인원
202304,경춘선,가평,9639,10456,28534,31234,15334,10636,714,214,3815,6494,42702,48398
202304,경춘선,갈매,33139,12162,33329,21164,12440,26263,1741,662,7044,14711,75253,48699
202304,경춘선,강촌,1519,2727,10660,11781,4775,2165,248,21,816,1420,13243,15949
202304,경춘선,굴봉산,466,1016,3742,4355,977,458,53,13,263,282,4524,5666
202304,경춘선,금곡,12184,9184,19902,14381,8824,11737,1578,316,2350,6804,36014,30685
202304,경춘선,김유정,1378,1797,6443,10912,3699,1824,83,20,538,860,8442,13589
202304,경춘선,남춘천,14415,9157,45611,45827,16407,21347,1848,27,8899,16074,70773,71085
202304,경춘선,대성리,8189,2667,18144,21697,4876,5124,3102,118,1183,1800,30618,26282
202304,경춘선,마석,38939,16995,53644,42396,18133,36269,1431,482,7267,21128,101281,81001
202304,경춘선,백양리,137,632,1572,1934,671,160,11,4,95,123,1815,2693
202304,경춘선,별내,27292,15988,35686,27353,18175,26882,1415,1314,7884,13950,72277,58605
202304,경춘선,사릉,24030,11658,25995,19723,12410,21988,1986,670,3385,12258,55396,44309
202304,경춘선,상천,1749,1912,8312,9431,2563,1600,224,49,297,864,10582,12256
202304,경춘선,신내,19025,17708,24190,16385,14050,15155,924,697,4689,8925,48828,43715
202304,경춘선,천마산,18742,4563,22083,15240,5293,15357,1146,169,1786,9584,43757,29556
202304,경춘선,청평,11941,8042,28825,25948,11502,13232,1685,197,2670,7467,45121,41654
202304,경춘선,춘천,5701,6561,30059,30224,14669,8314,852,6,3886,6082,40498,42873
202304,경춘선,퇴계원,38912,10964,40911,26658,13999,33952,2988,574,5496,20560,88307,58756
202304,경춘선,평내호평,69047,17209,70307,55740,23086,67390,6597,743,13994,35705,159945,109397
202303,경춘선,가평,9562,9685,24280,24291,13247,10990,674,195,3481,6733,37997,40904
202303,경춘선,갈매,35186,12846,32592,20316,13320,27739,1720,730,7329,15518,76827,49410
202303,경춘선,강촌,1146,2037,8340,10597,4169,2078,315,24,742,1323,10543,13981
202303,경춘선,굴봉산,409,355,2014,2666,742,442,45,1,285,296,2753,3318
202303,경춘선,금곡,13139,9938,20513,14384,9721,12664,1568,283,2334,7201,37554,31806
202303,경춘선,김유정,1443,1403,5848,9000,3004,1813,84,20,468,882,7843,11305
202303,경춘선,남춘천,15075,9376,46398,44232,17960,22940,1889,24,9553,16773,72915,70405
202303,경춘선,대성리,7183,2212,13549,17003,3641,6310,2263,73,989,1891,23984,21179
202303,경춘선,마석,41842,16942,54470,40950,18429,39849,1498,480,7355,22093,105165,80465
202303,경춘선,백양리,155,699,1770,1984,1059,159,9,17,145,212,2079,2912
202303,경춘선,별내,29600,16407,36251,28172,19137,28965,1498,1343,8507,15017,75856,60939
202303,경춘선,사릉,25467,12294,27222,19669,13060,23609,2112,680,3355,12981,58156,45624
202303,경춘선,상천,1776,1185,5728,5730,1566,1649,341,41,300,838,8145,7794
202303,경춘선,신내,20317,18972,24896,17007,15606,16250,1082,758,4590,9445,50885,46182
202303,경춘선,천마산,19597,4599,23338,15671,5398,16457,1172,191,1799,10018,45906,30479
202303,경춘선,청평,12369,6720,25260,22379,9841,14168,1248,191,2701,7505,41578,36795
202303,경춘선,춘천,5593,6622,29571,29579,15260,8619,871,5,4195,5757,40230,41963
202303,경춘선,퇴계원,41693,11855,42327,27681,15038,36375,2947,594,5687,21636,92654,61766
202303,경춘선,평내호평,73820,18025,73692,56938,25319,74359,6670,832,14849,38964,169031,114759
202302,경춘선,가평,7366,6681,27868,25301,9571,9361,575,98,3041,6040,38850,38120
202302,경춘선,갈매,28609,8907,28681,18267,10579,23653,1596,648,6050,13212,64936,41034
202302,경춘선,강촌,863,1049,6476,6681,2173,1663,131,7,555,1312,8025,9049
202302,경춘선,굴봉산,347,377,2268,3133,646,550,42,1,337,284,2994,3795
202302,경춘선,금곡,10034,6579,16815,12497,7054,10366,1232,249,1972,6084,30053,25409
202302,경춘선,김유정,1008,1009,5628,7076,2417,1411,86,18,383,689,7105,8792
202302,경춘선,남춘천,12981,5202,38532,34150,11628,19798,1601,24,6984,14596,60098,53972
202302,경춘선,대성리,2606,1742,10937,9511,2729,2625,414,35,670,1354,14627,12642
202302,경춘선,마석,27500,13718,46656,34009,15491,28393,1226,422,6408,17649,81790,65798
202302,경춘선,백양리,227,1869,4962,5509,3162,1022,35,21,2282,596,7506,7995
202302,경춘선,별내,24321,11998,31225,24389,15370,23960,1132,1190,7237,12619,63915,50196
202302,경춘선,사릉,18902,9710,22963,16039,10227,18489,1823,495,2727,10933,46415,37177
202302,경춘선,상천,1240,742,4141,3484,1025,1163,88,7,163,724,5632,4957
202302,경춘선,신내,15803,13882,20380,14591,13036,13112,919,602,3965,8282,41067,37357
202302,경춘선,천마산,14463,3721,20171,12857,4581,12691,1011,159,1558,8223,37203,24960
202302,경춘선,청평,8857,4356,25736,20176,7231,10795,789,154,2338,6778,37720,31464
202302,경춘선,춘천,5185,2427,19707,18795,7379,7087,644,6,2323,4584,27859,25812
202302,경춘선,퇴계원,33398,9614,37502,23918,12666,29848,2555,434,4541,18217,77996,52183
202302,경춘선,평내호평,54073,13959,61950,48803,21224,56754,5741,803,13103,31785,134867,95350
202301,경춘선,가평,6873,7259,26374,23275,10234,9193,533,60,2959,5751,36739,36345
202301,경춘선,갈매,27906,8448,27882,17212,10186,23202,1609,589,5919,12723,63316,38972
202301,경춘선,강촌,897,1010,6518,5815,1916,1812,102,7,505,1237,8022,8069
202301,경춘선,굴봉산,336,363,2068,2924,570,601,26,5,416,320,2846,3612
202301,경춘선,금곡,9508,6611,16332,11961,6924,9955,1115,217,1905,5899,28860,24688
202301,경춘선,김유정,903,1049,4608,5380,2022,1179,90,22,323,672,5924,7123
202301,경춘선,남춘천,11721,5146,36262,32361,11680,19774,1568,28,6984,13621,56535,51156
202301,경춘선,대성리,2499,1570,9967,8362,2355,2363,260,46,590,1300,13316,11278
202301,경춘선,마석,27303,13577,45298,33872,15275,27451,1189,404,6171,17191,79961,65044
202301,경춘선,백양리,246,1815,4385,5548,3773,1092,25,10,2522,650,7178,8023
202301,경춘선,별내,23477,11821,29532,23548,14928,23572,1180,1151,7444,11986,61633,48506
202301,경춘선,사릉,18621,9604,22856,16064,10326,18373,1707,417,2585,10511,45769,36596
202301,경춘선,상천,1156,608,3572,2815,831,1172,100,9,154,645,4982,4077
202301,경춘선,신내,15260,13436,19331,14051,12530,12939,771,510,3978,7714,39340,35711
202301,경춘선,천마산,14098,3791,19514,12528,4558,12146,934,176,1501,7780,36047,24275
202301,경춘선,청평,8730,4177,25182,19351,7237,10848,670,156,2325,6271,36907,29955
202301,경춘선,춘천,4602,2679,18951,17137,7513,6762,720,11,2334,4557,26607,24384
202301,경춘선,퇴계원,32247,9296,36668,23673,12366,29319,2312,407,4388,17918,75615,51294
202301,경춘선,평내호평,52860,13687,59768,48225,21326,54792,5451,735,13485,31073,131564,93720
202212,경춘선,가평,8273,8201,26258,23361,10281,10025,564,77,3360,6549,38455,38188
202212,경춘선,갈매,31365,9902,30557,19447,12112,24468,1862,885,5705,13763,69489,43997
