사용월,호선명,지하철역,출근시간 승차인원,출근시간 하차인원,09-16시 승차인원,09-16시 하차인원,퇴근시간 승차인원,퇴근시간 하차인원,새벽 승차인원,새벽 하차인원,야간 승차인원,야간 하차인원,총 승차인원,총 하차인원
202304,공항철도 1호선,검암,75198,26013,64606,40312,25400,64754,8500,596,10250,53503,158554,120424
202304,공항철도 1호선,계양,165756,15762,134812,66270,30423,135747,11822,1021,12396,105292,324786,188345
202304,공항철도 1호선,공덕,15041,16566,23716,31202,19897,29621,1756,140,11571,20642,52084,68550
202304,공항철도 1호선,공항화물청사,5655,40763,12938,13842,30242,4292,514,659,7977,3286,27084,58550
202304,공항철도 1호선,김포공항,26546,55199,134322,80315,75292,32531,2181,2166,66645,9030,229694,146710
202304,공항철도 1호선,디지털미디어시티,49804,125661,88604,119782,166224,62679,3861,1128,63216,37133,205485,283704
202304,공항철도 1호선,마곡나루,36917,110060,67647,86721,128579,48209,2547,997,41609,29065,148720,226843
202304,공항철도 1호선,서울역,32193,66915,146218,149708,96982,66325,3349,1516,73080,42519,254840,260658
202304,공항철도 1호선,영종,38160,9302,48751,31887,14857,36736,3496,191,6711,32815,97118,74195
202304,공항철도 1호선,운서,79000,32311,98935,71916,40219,77855,13394,781,21534,80240,212863,185248
202304,공항철도 1호선,인천공항1터미널,43397,81233,139996,150424,80058,52729,7698,8329,69690,33835,260781,273821
202304,공항철도 1호선,인천공항2터미널,18431,41009,40534,48810,45551,15613,3968,3440,19989,6437,82922,99696
202304,공항철도 1호선,청라국제도시,70311,28691,64532,39524,38700,61992,5459,186,11095,51849,151397,120250
202304,공항철도 1호선,홍대입구,32541,39273,123959,189337,112056,100338,5341,408,117474,50460,279315,279478
202303,공항철도 1호선,검암,81288,26143,65519,40422,26915,68675,8892,428,10562,56331,166261,123324
202303,공항철도 1호선,계양,178714,15815,137794,66573,30949,145991,12116,951,12046,110300,340670,193639
202303,공항철도 1호선,공덕,16035,17905,24323,31908,20916,31650,2022,138,11982,20742,54362,70693
202303,공항철도 1호선,공항화물청사,5846,44115,12917,14399,33127,4285,539,753,8474,3212,27776,62479
202303,공항철도 1호선,김포공항,26588,56042,137562,81334,76702,34238,2222,2180,64064,9035,230436,148591
202303,공항철도 1호선,디지털미디어시티,52501,139029,90692,125469,182859,68234,3973,1111,68423,38858,215589,304467
202303,공항철도 1호선,마곡나루,39065,120511,67058,81137,136512,45379,2596,1090,37082,30011,145801,232749
202303,공항철도 1호선,서울역,32204,66765,141273,137987,103026,62427,3686,1784,72241,37610,249404,244146
202303,공항철도 1호선,영종,40042,9377,48190,30597,14954,38586,3602,166,6779,33445,98613,73585
202303,공항철도 1호선,운서,82209,32999,97249,68277,39766,81065,13134,850,21823,80575,214415,182701
202303,공항철도 1호선,인천공항1터미널,46229,83734,142110,156484,88930,48284,7250,8330,72648,31023,268237,279571
202303,공항철도 1호선,인천공항2터미널,18445,40147,38945,47143,46326,13976,3779,3350,20998,6187,82167,96827
202303,공항철도 1호선,청라국제도시,76354,31581,65669,39529,42417,66051,5632,178,11849,55019,159504,126307
202303,공항철도 1호선,홍대입구,32156,41297,121686,194683,117630,106417,5317,408,121209,48701,280368,285089
202302,공항철도 1호선,검암,69970,22849,59828,35331,24640,60300,7507,449,9614,49917,146919,108546
202302,공항철도 1호선,계양,153521,12539,122827,55734,27113,126603,10293,865,10592,98813,297233,167951
202302,공항철도 1호선,공덕,13810,15955,22434,29986,19077,29288,1607,135,11132,18141,48983,64217
202302,공항철도 1호선,공항화물청사,5141,38953,11635,12975,29844,3717,467,644,7429,2940,24672,55512
202302,공항철도 1호선,김포공항,24046,47361,129918,74853,70958,30934,2048,1757,59611,8658,215623,132629
202302,공항철도 1호선,디지털미디어시티,44947,124159,82212,114676,167951,60307,3662,996,59478,35405,190299,275236
202302,공항철도 1호선,마곡나루,31274,105583,60324,78003,122589,44530,2100,942,41725,24970,135423,209498
202302,공항철도 1호선,서울역,27090,56762,123449,127352,88765,60733,3202,1364,63870,35955,217611,221433
202302,공항철도 1호선,영종,32830,7927,45529,27707,13396,33258,3003,116,5994,30442,87356,66192
202302,공항철도 1호선,운서,69831,28440,89383,62525,35793,70759,11104,621,19786,72263,190104,163849
202302,공항철도 1호선,인천공항1터미널,38707,73104,122729,137195,79317,44247,5695,7105,67292,27925,234423,245329
202302,공항철도 1호선,인천공항2터미널,15218,35557,36675,43349,39753,12803,3109,2868,19537,6043,74539,87817
202302,공항철도 1호선,청라국제도시,64349,28066,62031,35340,38019,57659,5111,140,10721,50611,142212,114157
202302,공항철도 1호선,홍대입구,26124,34024,111649,191585,111026,94010,4326,349,112351,39779,254450,265737
202301,공항철도 1호선,검암,68587,23519,59374,35261,24961,59598,7451,416,9385,47980,144797,107176
202301,공항철도 1호선,계양,148603,12686,119486,56562,26779,122884,9687,761,10559,94686,288335,164695
202301,공항철도 1호선,공덕,14312,15470,22307,28566,18682,28801,1788,118,10749,18719,49156,62873
202301,공항철도 1호선,공항화물청사,5444,44119,13105,12988,32973,3876,443,562,7628,3244,26620,60913
202301,공항철도 1호선,김포공항,24702,50670,133891,79294,74742,32915,2098,2064,64641,9211,225332,141239
202301,공항철도 1호선,디지털미디어시티,43888,124710,79386,109079,164351,58406,3424,899,56668,33998,183366,268686
202301,공항철도 1호선,마곡나루,30730,104784,57876,74358,120936,41170,2205,893,38480,23727,129291,203762
202301,공항철도 1호선,서울역,28894,54969,125309,126695,86788,58811,3282,1443,64162,35413,221647,218520
202301,공항철도 1호선,영종,32375,7876,44434,27043,12574,32708,3037,90,5859,29437,85705,64446
202301,공항철도 1호선,운서,71623,29106,90922,63737,35813,73169,11537,618,19351,73244,193433,166705
202301,공항철도 1호선,인천공항1터미널,38656,78883,118758,143657,79644,47479,6037,7502,70242,31220,233693,261262
202301,공항철도 1호선,인천공항2터미널,16678,38245,37265,46458,41065,14313,2877,2915,20474,6368,77294,93986
202301,공항철도 1호선,청라국제도시,62273,28596,60989,35931,38136,56187,4995,147,10578,48565,138835,113239
202301,공항철도 1호선,홍대입구,26407,33657,107674,181680,103154,91426,4726,285,106797,40268,245604,255890
202212,공항철도 1호선,검암,73333,25769,65382,38461,27234,62095,7529,502,10532,53981,156776,118713
202212,공항철도 1호선,계양,157052,14218,132033,62644,30013,128545,10613,909,11469,104972,311167,182743
202212,공항철도 1호선,공덕,14866,16741,24102,32469,19448,32091,1657,130,12381,19376,53006,68716
202212,공항철도 1호선,공항화물청사,5657,42179,13843,14020,31274,4046,559,634,8136,3268,28195,60101
202212,공항철도 1호선,김포공항,25415,52098,134944,81259,76851,33017,2349,1908,63545,9536,226253,144801
202212,공항철도 1호선,디지털미디어시티,45865,129473,90465,120180,170984,63563,3610,923,63226,37332,203166,287908
202212,공항철도 1호선,마곡나루,34175,105901,65476,78759,115953,40991,2255,833,34314,27134,136220,212627
202212,공항철도 1호선,서울역,28869,58335,135614,137392,94261,62633,3441,1253,70332,38872,238256,235852
202212,공항철도 1호선,영종,34857,8753,49063,29577,13700,35448,3015,96,6462,32408,93397,70834
202212,공항철도 1호선,운서,75411,31113,96976,65656,38842,76267,11193,664,21947,77931,205527,175364
202212,공항철도 1호선,인천공항1터미널,40160,76926,122311,141877,80012,47118,5626,6747,69083,31046,237180,256596
202212,공항철도 1호선,인천공항2터미널,17029,38128,36547,45629,42075,14747,3098,2768,20033,6722,76707,93247
202212,공항철도 1호선,청라국제도시,67392,31505,67350,38871,42124,60417,4829,121,11328,54308,150899,124805
202212,공항철도 1호선,홍대입구,28498,36076,116989,188336,106457,101529,4592,330,114970,46436,265049,271178
202211,공항철도 1호선,검암,79326,26173,63632,39872,27486,67051,8286,486,10415,52684,161659,119215
202211,공항철도 1호선,계양,164169,15071,124907,62610,29378,133949,11189,841,10798,96477,311063,174999
202211,공항철도 1호선,공덕,15464,17461,22391,31301,20480,29934,1715,121,10917,17424,50487,66307
202211,공항철도 1호선,공항화물청사,5399,41613,13567,14904,32111,4154,552,547,7856,3433,27374,60497
202211,공항철도 1호선,김포공항,28700,54012,137765,80550,74547,33011,2353,1810,67969,9267,236787,145639
202211,공항철도 1호선,디지털미디어시티,48150,134436,87248,121332,180544,63505,3940,964,57480,34275,196818,291007
202211,공항철도 1호선,마곡나루,38012,113643,65196,77624,130137,43822,2350,912,32032,28077,137590,220256
202211,공항철도 1호선,서울역,30103,61490,122839,128673,91930,59651,3692,1371,64697,35127,221331,226661
202211,공항철도 1호선,영종,36839,9473,44972,28970,13546,35623,3175,119,5929,29905,90915,68467
202211,공항철도 1호선,운서,77265,31406,90105,62676,37572,76979,10577,645,20150,70691,198097,165418
202211,공항철도 1호선,인천공항1터미널,37472,72045,105424,120429,73622,39793,5181,6361,49608,26212,197685,225047
202211,공항철도 1호선,인천공항2터미널,16085,36389,31204,41662,39699,12322,3697,2531,16355,5278,67341,85860
202211,공항철도 1호선,청라국제도시,73134,31607,65259,40539,42200,64297,5129,147,10603,50218,154125,122511
202211,공항철도 1호선,홍대입구,29879,38801,105627,169016,100056,96013,4672,301,104582,42147,244760,250265
202210,공항철도 1호선,검암,74702,25770,67454,43342,28052,63959,8471,594,10855,54455,161482,124161
202210,공항철도 1호선,계양,151898,15063,130083,65337,30796,125018,11076,1077,11871,97254,304928,178731
202210,공항철도 1호선,공덕,14981,16255,22825,31949,19173,28659,1715,134,11427,17661,50948,65999
202210,공항철도 1호선,공항화물청사,5581,39126,13736,15336,29800,4333,531,628,7947,3557,27795,58647
202210,공항철도 1호선,김포공항,27163,57665,157336,87128,84980,35912,2444,1780,77876,9381,264819,155954
202210,공항철도 1호선,디지털미디어시티,45823,122546,86798,119143,164897,60781,3932,876,57199,35007,193752,277572
202210,공항철도 1호선,마곡나루,35176,99072,65000,76536,113825,43402,2419,837,32698,29248,135293,205693
202210,공항철도 1호선,서울역,30816,62843,129077,134700,94170,61786,3777,1838,70613,37431,234283,236812
202210,공항철도 1호선,영종,35451,9795,48300,32743,15556,35670,3288,167,6965,30928,94004,73633
202210,공항철도 1호선,운서,75445,30315,93660,67378,37772,74390,10051,609,19598,71448,198754,169750
202210,공항철도 1호선,인천공항1터미널,36333,78002,107889,102600,73835,43074,4291,5394,39451,18088,187964,204084
202210,공항철도 1호선,인천공항2터미널,16229,36992,34172,43761,41430,12688,4251,2436,15888,5534,70540,88723
202210,공항철도 1호선,청라국제도시,69592,30418,67978,42248,41115,61557,5100,165,11614,51300,154284,124131
202210,공항철도 1호선,홍대입구,30566,36224,114143,185754,107768,97262,5383,356,110260,45855,260352,268189
202209,공항철도 1호선,검암,73512,24748,60279,38260,26919,62167,7508,487,10112,51352,151411,114847
202209,공항철도 1호선,계양,146451,14391,115600,59755,28986,118446,9647,861,10890,89072,282588,164079
202209,공항철도 1호선,공덕,14087,15957,20457,28179,18872,26655,1522,127,10310,16130,46376,60393
202209,공항철도 1호선,공항화물청사,5262,39492,12933,14722,29283,4224,534,598,8236,3233,26965,58045
202209,공항철도 1호선,김포공항,23887,53833,140319,80674,80721,34858,2214,1545,69994,8900,236414,144952
202209,공항철도 1호선,디지털미디어시티,44567,124028,82009,111047,161435,58149,3563,709,62391,32078,192530,267862
202209,공항철도 1호선,마곡나루,34122,96650,57819,63929,109244,37718,2214,750,27959,26922,122114,188251
202209,공항철도 1호선,서울역,26823,54961,107297,113493,82366,55794,3007,1202,60961,32517,198088,202173
202209,공항철도 1호선,영종,33575,9528,42653,29128,13924,32726,2976,148,6442,28175,85646,66979
202209,공항철도 1호선,운서,70380,28518,82497,60574,36519,67583,8832,539,18900,65372,180609,155003
202209,공항철도 1호선,인천공항1터미널,29754,67457,88491,85772,62786,40029,3346,4573,37474,16632,159065,174434
202209,공항철도 1호선,인천공항2터미널,14354,35339,31509,39108,39841,11313,3341,2184,13699,5161,62903,81792
202209,공항철도 1호선,청라국제도시,68232,30020,60944,38885,40549,59322,4579,135,11289,47895,145044,116935
202209,공항철도 1호선,홍대입구,28363,35497,94522,163648,95558,90521,4242,281,103173,41166,230300,240592
202208,공항철도 1호선,검암,73757,24427,58688,36338,26316,63254,7832,535,9676,50360,149953,111660
202208,공항철도 1호선,계양,141568,13423,109182,53105,26109,118534,9928,835,10207,86903,270885,154266
202208,공항철도 1호선,공덕,13936,16003,21276,28385,18633,27400,1625,139,10515,15933,47352,60460
202208,공항철도 1호선,공항화물청사,5579,42433,12753,15051,32294,4041,483,738,8961,3341,27776,61563
202208,공항철도 1호선,김포공항,25728,55684,148124,85088,83661,35048,2570,1575,72301,8820,248723,151167
202208,공항철도 1호선,디지털미디어시티,43879,129479,77128,108555,171431,56507,3796,817,53706,31733,178509,270584
202208,공항철도 1호선,마곡나루,31664,95814,49836,58299,109332,35189,2311,781,27729,23984,111540,178878
202208,공항철도 1호선,서울역,26801,53954,106728,116322,80047,53680,3232,1196,56364,31883,193125,203355
202208,공항철도 1호선,영종,32909,9714,43175,29866,13625,32335,3051,167,6978,27769,86113,67516
202208,공항철도 1호선,운서,70124,28907,82310,63116,35830,66864,9111,656,19395,64255,180940,156934
202208,공항철도 1호선,인천공항1터미널,31925,69212,102583,97249,69400,40487,4190,4800,42134,17556,180832,188817
202208,공항철도 1호선,인천공항2터미널,13661,33359,34940,43119,41823,11571,3090,2179,14493,5020,66184,83677
202208,공항철도 1호선,청라국제도시,66875,31122,60499,35917,40790,59225,4611,156,11384,47883,143369,115078
202208,공항철도 1호선,홍대입구,27069,34102,97265,175070,98448,89485,4361,324,103696,37647,232391,247143
202207,공항철도 1호선,검암,75553,25084,62025,38172,27091,64064,7887,469,10927,53818,156392,117543
202207,공항철도 1호선,계양,142112,14320,112347,54384,27669,117015,9909,935,11173,89783,275541,159422
202207,공항철도 1호선,공덕,14070,16226,21379,28992,18856,27771,1623,130,10451,16590,47523,61938
202207,공항철도 1호선,공항화물청사,5843,42781,12804,15404,32893,4132,430,676,8580,3394,27657,62255
202207,공항철도 1호선,김포공항,25034,57002,153047,88063,88234,35651,2397,1714,78250,9619,258728,156398
202207,공항철도 1호선,디지털미디어시티,45603,133655,80146,110403,173596,59244,3733,852,61410,33875,190892,278785
202207,공항철도 1호선,마곡나루,32887,99826,52493,60920,112874,36060,2284,885,28703,25537,116367,187168
202207,공항철도 1호선,서울역,26998,53711,107973,114287,78210,54716,3192,1186,55953,34766,194116,203950
202207,공항철도 1호선,영종,33063,9975,44234,30111,14053,32656,3010,170,7260,28829,87567,69085
202207,공항철도 1호선,운서,69463,29299,84588,63158,37462,67981,9012,598,21045,65258,184108,158313
202207,공항철도 1호선,인천공항1터미널,30239,65868,91295,92490,63765,37456,3997,4547,36427,17281,161958,180186
202207,공항철도 1호선,인천공항2터미널,14277,33904,34965,44341,40136,11390,2720,2207,12929,4942,64891,85394
202207,공항철도 1호선,청라국제도시,70577,32488,63368,38815,42492,60395,4743,201,12374,50686,151062,122190
202207,공항철도 1호선,홍대입구,28529,34414,97801,178016,100231,90931,4551,353,110371,39612,241252,252395
202206,공항철도 1호선,검암,74367,24660,62108,38728,26740,62982,7500,489,10691,52953,154666,116830
202206,공항철도 1호선,계양,137714,14305,109980,54050,26910,113355,9645,920,10964,87639,268303,156914
202206,공항철도 1호선,공덕,14171,15434,20060,28240,17690,26484,1499,123,10382,15409,46112,59206
202206,공항철도 1호선,공항화물청사,5548,40544,12825,15324,30509,4083,383,669,8238,3229,26994,59766
202206,공항철도 1호선,김포공항,25330,58161,155738,88279,87134,34724,2340,1723,77877,9708,261285,157871
202206,공항철도 1호선,디지털미디어시티,45187,130599,79420,111611,167283,58913,3545,829,64915,33216,193067,276255
202206,공항철도 1호선,마곡나루,33177,98803,54986,64418,111334,37088,2266,828,29432,26895,119861,190944
202206,공항철도 1호선,서울역,26645,54023,102698,115017,79609,53133,2898,1076,56027,33896,188268,204012
202206,공항철도 1호선,영종,29190,9377,41945,28860,13519,29164,2616,177,6799,26436,80550,64850
202206,공항철도 1호선,운서,65127,28293,79657,59034,35558,63972,8233,555,20764,60048,173781,147930
202206,공항철도 1호선,인천공항1터미널,26364,60302,73758,77543,58740,25445,3016,3576,24274,14922,127412,156343
202206,공항철도 1호선,인천공항2터미널,12088,30509,27346,33659,34657,10491,1985,2000,11220,4323,52639,70491
202206,공항철도 1호선,청라국제도시,73056,31240,62804,38729,41255,61672,4604,199,11512,51353,151976,121521
