사용월,호선명,지하철역,출근시간 승차인원,출근시간 하차인원,09-16시 승차인원,09-16시 하차인원,퇴근시간 승차인원,퇴근시간 하차인원,새벽 승차인원,새벽 하차인원,야간 승차인원,야간 하차인원,총 승차인원,총 하차인원
202304,분당선,가천대,52761,51849,144030,166640,73976,62690,4846,866,35981,59645,237618,279000
202304,분당선,강남구청,21407,75644,83818,140445,103246,51835,1427,655,41259,24177,147911,240921
202304,분당선,개포동,30585,21074,57095,52509,24983,35431,1059,542,15653,23842,104392,97967
202304,분당선,구룡,12472,25803,35273,18187,15352,12990,545,1013,5271,8830,53561,53833
202304,분당선,구성,53881,15344,61069,38910,18777,56134,2788,394,7397,38081,125135,92729
202304,분당선,기흥,93194,47964,111341,86596,62878,88959,5849,945,28702,60842,239086,196347
202304,분당선,대모산입구,49679,20248,64281,43881,25244,41978,2122,747,8155,30635,124237,95511
202304,분당선,도곡,30476,46384,85937,76626,55783,39145,1652,1191,21679,25710,139744,149911
202304,분당선,망포,140304,75128,134039,101541,99768,134384,5589,2666,46371,91860,326303,271195
202304,분당선,매교,50112,21119,46819,37248,23094,45071,4485,651,9130,27324,110546,86342
202304,분당선,매탄권선,56297,22172,55974,37008,25617,51973,4041,689,11183,35465,127495,95334
202304,분당선,모란,143903,72379,263374,243235,108370,160386,15139,3176,52828,112397,475244,431187
202304,분당선,미금,71586,77629,179761,181088,95249,108070,4084,667,53272,70458,308703,329842
202304,분당선,보정,24002,11985,33848,19358,11693,20089,1145,86,4417,15173,63412,46602
202304,분당선,복정,4,0,3,0,8,0,0,0,5,0,12,0
202304,분당선,상갈,53267,20075,62817,45924,28005,47820,3315,549,10869,37518,130268,104066
202304,분당선,서울숲,39831,77617,143063,256769,167487,81640,2603,642,67651,30618,253148,365646
202304,분당선,서현,93866,131249,239014,299895,200107,160234,5196,2989,124825,83572,462901,517705
202304,분당선,선릉,15374,189858,87696,234935,160524,62852,1208,1351,64117,25022,168395,451166
202304,분당선,선정릉,15163,67846,63784,102694,90926,26521,1054,1081,29426,15108,109427,186729
202304,분당선,수내,53145,95226,132222,162680,127694,77168,3125,1977,66148,43950,254640,303833
202304,분당선,수서,75327,91609,168522,150919,99528,109722,3580,4139,58696,64267,306125,310934
202304,분당선,수원,59596,29416,79593,82684,53970,67631,5561,846,45741,29991,190491,142937
202304,분당선,수원시청,78062,75500,126620,143483,94077,121971,6154,1791,64203,68616,275039,289390
202304,분당선,신갈,51455,10663,56004,37351,14161,46218,2888,237,5737,33077,116084,81328
202304,분당선,압구정로데오,19065,116216,157869,355758,227941,120649,3092,891,144874,39175,324900,512040
202304,분당선,야탑,139356,158300,281388,286329,193044,188327,7593,3340,86750,114431,515087,562400
202304,분당선,영통,48390,41779,92086,101988,66447,71940,2715,1486,48997,44053,192188,189306
